drinking water source,total,geo_code,geo_level,geo_version
Uncovered Well/Kuwa,924,24011,local,2016
CoveredWell/Kuwa,28,24007,local,2016
Not Stated Source of Water,19,24007,local,2016
Other Source of water,1,24007,local,2016
River/Stream,92,24007,local,2016
Sprout Water,152,24007,local,2016
Tap/Piped,2459,24007,local,2016
Tubewell/HandPump,3,24007,local,2016
Uncovered Well/Kuwa,156,24007,local,2016
CoveredWell/Kuwa,719,24010,local,2016
Not Stated Source of Water,70,24010,local,2016
Other Source of water,7,24010,local,2016
River/Stream,26,24010,local,2016
Sprout Water,175,24010,local,2016
Tap/Piped,8925,24010,local,2016
Tubewell/HandPump,13,24010,local,2016
Uncovered Well/Kuwa,261,24010,local,2016
CoveredWell/Kuwa,309,24008,local,2016
Not Stated Source of Water,28,24008,local,2016
Other Source of water,24,24008,local,2016
River/Stream,9,24008,local,2016
Sprout Water,1023,24008,local,2016
Tap/Piped,5211,24008,local,2016
Tubewell/HandPump,4,24008,local,2016
Uncovered Well/Kuwa,720,24008,local,2016
CoveredWell/Kuwa,21,24002,local,2016
Not Stated Source of Water,10,24002,local,2016
Other Source of water,2,24002,local,2016
River/Stream,49,24002,local,2016
Sprout Water,64,24002,local,2016
Tap/Piped,3382,24002,local,2016
Tubewell/HandPump,1,24002,local,2016
Uncovered Well/Kuwa,72,24002,local,2016
CoveredWell/Kuwa,50,24012,local,2016
Not Stated Source of Water,25,24012,local,2016
Other Source of water,6,24012,local,2016
River/Stream,110,24012,local,2016
Sprout Water,51,24012,local,2016
Tap/Piped,5479,24012,local,2016
Tubewell/HandPump,3,24012,local,2016
Uncovered Well/Kuwa,172,24012,local,2016
CoveredWell/Kuwa,264,24005,local,2016
Not Stated Source of Water,241,24005,local,2016
Other Source of water,47,24005,local,2016
River/Stream,19,24005,local,2016
Sprout Water,402,24005,local,2016
Tap/Piped,5721,24005,local,2016
Tubewell/HandPump,4,24005,local,2016
Uncovered Well/Kuwa,363,24005,local,2016
CoveredWell/Kuwa,7,24006,local,2016
Not Stated Source of Water,8,24006,local,2016
Other Source of water,7,24006,local,2016
River/Stream,57,24006,local,2016
Sprout Water,10,24006,local,2016
Tap/Piped,2194,24006,local,2016
Tubewell/HandPump,1,24006,local,2016
Uncovered Well/Kuwa,88,24006,local,2016
CoveredWell/Kuwa,812,24009,local,2016
Not Stated Source of Water,37,24009,local,2016
Other Source of water,13,24009,local,2016
River/Stream,23,24009,local,2016
Sprout Water,414,24009,local,2016
Tap/Piped,3940,24009,local,2016
Tubewell/HandPump,13,24009,local,2016
Uncovered Well/Kuwa,1332,24009,local,2016
CoveredWell/Kuwa,56,24004,local,2016
Not Stated Source of Water,21,24004,local,2016
Other Source of water,0,24004,local,2016
River/Stream,25,24004,local,2016
Sprout Water,394,24004,local,2016
Tap/Piped,3754,24004,local,2016
Tubewell/HandPump,2,24004,local,2016
Uncovered Well/Kuwa,412,24004,local,2016
CoveredWell/Kuwa,438,24013,local,2016
Not Stated Source of Water,22,24013,local,2016
Other Source of water,1,24013,local,2016
River/Stream,45,24013,local,2016
Sprout Water,464,24013,local,2016
Tap/Piped,3564,24013,local,2016
Tubewell/HandPump,11,24013,local,2016
Uncovered Well/Kuwa,331,24013,local,2016
CoveredWell/Kuwa,29,24003,local,2016
Not Stated Source of Water,35,24003,local,2016
Other Source of water,1,24003,local,2016
River/Stream,26,24003,local,2016
Sprout Water,106,24003,local,2016
Tap/Piped,4156,24003,local,2016
Tubewell/HandPump,2,24003,local,2016
Uncovered Well/Kuwa,158,24003,local,2016
CoveredWell/Kuwa,29085,35,district,2016
Not Stated Source of Water,3223,35,district,2016
Other Source of water,72051,35,district,2016
River/Stream,1471,35,district,2016
Sprout Water,19263,35,district,2016
Tap/Piped,269909,35,district,2016
Tubewell/HandPump,34977,35,district,2016
Uncovered Well/Kuwa,5565,35,district,2016
CoveredWell/Kuwa,10890,27006,local,2016
Not Stated Source of Water,1991,27006,local,2016
Other Source of water,53275,27006,local,2016
River/Stream,52,27006,local,2016
Sprout Water,4830,27006,local,2016
Tap/Piped,163339,27006,local,2016
Tubewell/HandPump,18574,27006,local,2016
Uncovered Well/Kuwa,1341,27006,local,2016
