caste or ethnic group,total,geo_code,geo_level,geo_version
Thulung,243,3,province,2016
Topkegola,30,3,province,2016
Undefined Others,1238,3,province,2016
Yadav,10102,3,province,2016
Yakkha,432,3,province,2016
Yamphu,29,3,province,2016
Badi,53,56,district,2016
Brahman - Hill,6405,56,district,2016
Brahman - Tarai,17,56,district,2016
Chhetri,838,56,district,2016
Damai/Dholi,438,56,district,2016
Ghale,1008,56,district,2016
Gharti/Bhujel,24,56,district,2016
Gurung,1312,56,district,2016
Hajam/Thakur,14,56,district,2016
Hyolmo,100,56,district,2016
Kami,791,56,district,2016
Magar,495,56,district,2016
Newar,974,56,district,2016
Others,283,56,district,2016
Rai,11,56,district,2016
Sherpa,43,56,district,2016
Tamang,29327,56,district,2016
Badi,53,29005,local,2016
Brahman - Hill,2279,29005,local,2016
Brahman - Tarai,17,29005,local,2016
Chhetri,368,29005,local,2016
Damai/Dholi,112,29005,local,2016
Ghale,109,29005,local,2016
Gurung,1046,29005,local,2016
Kami,192,29005,local,2016
Magar,225,29005,local,2016
Newar,163,29005,local,2016
Others,43,29005,local,2016
Tamang,3648,29005,local,2016
Brahman - Hill,331,29001,local,2016
Chhetri,126,29001,local,2016
Damai/Dholi,29,29001,local,2016
Ghale,283,29001,local,2016
Gharti/Bhujel,11,29001,local,2016
Gurung,66,29001,local,2016
Hajam/Thakur,14,29001,local,2016
Hyolmo,100,29001,local,2016
Kami,109,29001,local,2016
Magar,92,29001,local,2016
Newar,229,29001,local,2016
Others,97,29001,local,2016
Rai,11,29001,local,2016
Sherpa,43,29001,local,2016
Tamang,5602,29001,local,2016
Brahman - Hill,354,29003,local,2016
Chhetri,115,29003,local,2016
Damai/Dholi,14,29003,local,2016
Ghale,402,29003,local,2016
Gurung,173,29003,local,2016
Kami,259,29003,local,2016
Magar,42,29003,local,2016
Newar,373,29003,local,2016
Others,42,29003,local,2016
Tamang,10050,29003,local,2016
Brahman - Hill,3396,29002,local,2016
Chhetri,229,29002,local,2016
Damai/Dholi,283,29002,local,2016
Ghale,84,29002,local,2016
Gharti/Bhujel,13,29002,local,2016
Gurung,27,29002,local,2016
Kami,146,29002,local,2016
Magar,136,29002,local,2016
Newar,150,29002,local,2016
Others,48,29002,local,2016
Tamang,4909,29002,local,2016
