foundation type,total,geo_code,geo_level
Mud Bonded Bricks/Stone,58275,36001,local
Not Stated about House,350,36001,local
Others,187,36001,local
Rcc with Pillar,3660,36001,local
Wooden Pillar,1702,36001,local
Cement Bonded Bricks/Stone,2284,36003,local
Mud Bonded Bricks/Stone,58275,36003,local
Not Stated about House,350,36003,local
Others,187,36003,local
Rcc with Pillar,3660,36003,local
Wooden Pillar,1702,36003,local
Cement Bonded Bricks/Stone,2284,36006,local
Mud Bonded Bricks/Stone,58275,36006,local
Not Stated about House,350,36006,local
Others,187,36006,local
Rcc with Pillar,3660,36006,local
Wooden Pillar,1702,36006,local
Cement Bonded Bricks/Stone,2284,36010,local
Mud Bonded Bricks/Stone,58275,36010,local
Not Stated about House,350,36010,local
Others,187,36010,local
Rcc with Pillar,3660,36010,local
Wooden Pillar,1702,36010,local
Cement Bonded Bricks/Stone,2284,36002,local
Mud Bonded Bricks/Stone,58275,36002,local
Not Stated about House,350,36002,local
Others,187,36002,local
Rcc with Pillar,3660,36002,local
Wooden Pillar,1702,36002,local
Cement Bonded Bricks/Stone,2284,36007,local
Mud Bonded Bricks/Stone,58275,36007,local
Not Stated about House,350,36007,local
Others,187,36007,local
Rcc with Pillar,3660,36007,local
Wooden Pillar,1702,36007,local
Cement Bonded Bricks/Stone,2284,36004,local
Mud Bonded Bricks/Stone,58275,36004,local
Not Stated about House,350,36004,local
Others,187,36004,local
Rcc with Pillar,3660,36004,local
Wooden Pillar,1702,36004,local
Cement Bonded Bricks/Stone,2284,36005,local
Mud Bonded Bricks/Stone,58275,36005,local
Not Stated about House,350,36005,local
Others,187,36005,local
Rcc with Pillar,3660,36005,local
Wooden Pillar,1702,36005,local
Cement Bonded Bricks/Stone,2284,36009,local
Mud Bonded Bricks/Stone,58275,36009,local
Not Stated about House,350,36009,local
Others,187,36009,local
Rcc with Pillar,3660,36009,local
Wooden Pillar,1702,36009,local
Cement Bonded Bricks/Stone,1777,03,district
Mud Bonded Bricks/Stone,55890,03,district
Not Stated about House,407,03,district
Others,24,03,district
Rcc with Pillar,2791,03,district
Wooden Pillar,593,03,district
Cement Bonded Bricks/Stone,1777,45008,local
Mud Bonded Bricks/Stone,55890,45008,local
Not Stated about House,407,45008,local
Others,24,45008,local
Rcc with Pillar,2791,45008,local
Wooden Pillar,593,45008,local
Cement Bonded Bricks/Stone,1777,45007,local
Mud Bonded Bricks/Stone,55890,45007,local
Not Stated about House,407,45007,local
Others,24,45007,local
Rcc with Pillar,2791,45007,local
Wooden Pillar,593,45007,local
Cement Bonded Bricks/Stone,1777,45005,local
Mud Bonded Bricks/Stone,55890,45005,local
Not Stated about House,407,45005,local
Others,24,45005,local
Rcc with Pillar,2791,45005,local
Wooden Pillar,593,45005,local
Cement Bonded Bricks/Stone,1777,45001,local
Mud Bonded Bricks/Stone,55890,45001,local
Not Stated about House,407,45001,local
Others,24,45001,local
Rcc with Pillar,2791,45001,local
Wooden Pillar,593,45001,local
Cement Bonded Bricks/Stone,1777,45002,local
Mud Bonded Bricks/Stone,55890,45002,local
Not Stated about House,407,45002,local
Others,24,45002,local
Rcc with Pillar,2791,45002,local
Wooden Pillar,593,45002,local
Cement Bonded Bricks/Stone,1777,45003,local
Mud Bonded Bricks/Stone,55890,45003,local
Not Stated about House,407,45003,local
Others,24,45003,local
Rcc with Pillar,2791,45003,local
Wooden Pillar,593,45003,local
Cement Bonded Bricks/Stone,1777,45009,local
Mud Bonded Bricks/Stone,55890,45009,local
Not Stated about House,407,45009,local
Others,24,45009,local
Rcc with Pillar,2791,45009,local
Wooden Pillar,593,45009,local
Cement Bonded Bricks/Stone,1777,45004,local
Mud Bonded Bricks/Stone,55890,45004,local
Not Stated about House,407,45004,local
Others,24,45004,local
Rcc with Pillar,2791,45004,local
Wooden Pillar,593,45004,local
Cement Bonded Bricks/Stone,1777,45010,local
Mud Bonded Bricks/Stone,55890,45010,local
Not Stated about House,407,45010,local
Others,24,45010,local
Rcc with Pillar,2791,45010,local
Wooden Pillar,593,45010,local
Cement Bonded Bricks/Stone,1777,45006,local
Mud Bonded Bricks/Stone,55890,45006,local
Not Stated about House,407,45006,local
Others,24,45006,local
Rcc with Pillar,2791,45006,local
Wooden Pillar,593,45006,local
Cement Bonded Bricks/Stone,5484,71,district
Mud Bonded Bricks/Stone,57087,71,district
Not Stated about House,275,71,district
Others,72,71,district
Rcc with Pillar,4986,71,district
Wooden Pillar,952,71,district
Cement Bonded Bricks/Stone,5484,39008,local
Mud Bonded Bricks/Stone,57087,39008,local
Not Stated about House,275,39008,local
Others,72,39008,local
Rcc with Pillar,4986,39008,local
Wooden Pillar,952,39008,local
Cement Bonded Bricks/Stone,5484,39005,local
Mud Bonded Bricks/Stone,57087,39005,local
Not Stated about House,275,39005,local
Others,72,39005,local
Rcc with Pillar,4986,39005,local
Wooden Pillar,952,39005,local
Cement Bonded Bricks/Stone,5484,39009,local
Mud Bonded Bricks/Stone,57087,39009,local
Not Stated about House,275,39009,local
Others,72,39009,local
Rcc with Pillar,4986,39009,local
Wooden Pillar,952,39009,local
Cement Bonded Bricks/Stone,5484,39001,local
Mud Bonded Bricks/Stone,57087,39001,local
Not Stated about House,275,39001,local
Others,72,39001,local
Rcc with Pillar,4986,39001,local
Wooden Pillar,952,39001,local
Cement Bonded Bricks/Stone,5484,39004,local
Mud Bonded Bricks/Stone,57087,39004,local
Not Stated about House,275,39004,local
Others,72,39004,local
Rcc with Pillar,4986,39004,local
Wooden Pillar,952,39004,local
Cement Bonded Bricks/Stone,5484,39003,local
Mud Bonded Bricks/Stone,57087,39003,local
Not Stated about House,275,39003,local
Others,72,39003,local
Rcc with Pillar,4986,39003,local
Wooden Pillar,952,39003,local
Cement Bonded Bricks/Stone,5484,39011,local
Mud Bonded Bricks/Stone,57087,39011,local
Not Stated about House,275,39011,local
Others,72,39011,local
Rcc with Pillar,4986,39011,local
Wooden Pillar,952,39011,local
Cement Bonded Bricks/Stone,5484,39006,local
Mud Bonded Bricks/Stone,57087,39006,local
Not Stated about House,275,39006,local
Others,72,39006,local
Rcc with Pillar,4986,39006,local
Wooden Pillar,952,39006,local
Cement Bonded Bricks/Stone,5484,39002,local
Mud Bonded Bricks/Stone,57087,39002,local
Not Stated about House,275,39002,local
Others,72,39002,local
Rcc with Pillar,4986,39002,local
Wooden Pillar,952,39002,local
Cement Bonded Bricks/Stone,5484,39010,local
Mud Bonded Bricks/Stone,57087,39010,local
Not Stated about House,275,39010,local
Others,72,39010,local
Rcc with Pillar,4986,39010,local
Wooden Pillar,952,39010,local
Cement Bonded Bricks/Stone,5484,39007,local
Mud Bonded Bricks/Stone,57087,39007,local
Not Stated about House,275,39007,local
Others,72,39007,local
Rcc with Pillar,4986,39007,local
Wooden Pillar,952,39007,local
Cement Bonded Bricks/Stone,17805,47,district
Mud Bonded Bricks/Stone,19858,47,district
Not Stated about House,521,47,district
Others,388,47,district
Rcc with Pillar,8448,47,district
Wooden Pillar,19895,47,district
Cement Bonded Bricks/Stone,17805,76004,local
Mud Bonded Bricks/Stone,19858,76004,local
Not Stated about House,521,76004,local
Others,388,76004,local
Rcc with Pillar,8448,76004,local
Wooden Pillar,19895,76004,local
Cement Bonded Bricks/Stone,17805,76002,local
Mud Bonded Bricks/Stone,19858,76002,local
Not Stated about House,521,76002,local
Others,388,76002,local
Rcc with Pillar,8448,76002,local
Wooden Pillar,19895,76002,local
Cement Bonded Bricks/Stone,17805,76007,local
Mud Bonded Bricks/Stone,19858,76007,local
Not Stated about House,521,76007,local
Others,388,76007,local
Rcc with Pillar,8448,76007,local
Wooden Pillar,19895,76007,local
Cement Bonded Bricks/Stone,17805,76008,local
Mud Bonded Bricks/Stone,19858,76008,local
Not Stated about House,521,76008,local
Others,388,76008,local
Rcc with Pillar,8448,76008,local
Wooden Pillar,19895,76008,local
Cement Bonded Bricks/Stone,17805,76001,local
Mud Bonded Bricks/Stone,19858,76001,local
Not Stated about House,521,76001,local
Others,388,76001,local
Rcc with Pillar,8448,76001,local
Wooden Pillar,19895,76001,local
Cement Bonded Bricks/Stone,17805,76005,local
Mud Bonded Bricks/Stone,19858,76005,local
Not Stated about House,521,76005,local
Others,388,76005,local
Rcc with Pillar,8448,76005,local
Wooden Pillar,19895,76005,local
Cement Bonded Bricks/Stone,17805,76006,local
Mud Bonded Bricks/Stone,19858,76006,local
Not Stated about House,521,76006,local
Others,388,76006,local
Rcc with Pillar,8448,76006,local
Wooden Pillar,19895,76006,local
Cement Bonded Bricks/Stone,17805,76003,local
Mud Bonded Bricks/Stone,19858,76003,local
Not Stated about House,521,76003,local
Others,388,76003,local
Rcc with Pillar,8448,76003,local
Wooden Pillar,19895,76003,local
Cement Bonded Bricks/Stone,782,46,district
Mud Bonded Bricks/Stone,24973,46,district
Not Stated about House,117,46,district
Others,4,46,district
Rcc with Pillar,1593,46,district
Wooden Pillar,258,46,district
Cement Bonded Bricks/Stone,782,43003,local
Mud Bonded Bricks/Stone,24973,43003,local
Not Stated about House,117,43003,local
Others,4,43003,local
Rcc with Pillar,1593,43003,local
Wooden Pillar,258,43003,local
Cement Bonded Bricks/Stone,782,43002,local
Mud Bonded Bricks/Stone,24973,43002,local
Not Stated about House,117,43002,local
Others,4,43002,local
Rcc with Pillar,1593,43002,local
Wooden Pillar,258,43002,local
Cement Bonded Bricks/Stone,782,43004,local
Mud Bonded Bricks/Stone,24973,43004,local
Not Stated about House,117,43004,local
Others,4,43004,local
Rcc with Pillar,1593,43004,local
Wooden Pillar,258,43004,local
Cement Bonded Bricks/Stone,782,43001,local
Mud Bonded Bricks/Stone,24973,43001,local
Not Stated about House,117,43001,local
Others,4,43001,local
Rcc with Pillar,1593,43001,local
Wooden Pillar,258,43001,local
Cement Bonded Bricks/Stone,782,43005,local
Mud Bonded Bricks/Stone,24973,43005,local
Not Stated about House,117,43005,local
Others,4,43005,local
Rcc with Pillar,1593,43005,local
Wooden Pillar,258,43005,local
Cement Bonded Bricks/Stone,782,43006,local
Mud Bonded Bricks/Stone,24973,43006,local
Not Stated about House,117,43006,local
Others,4,43006,local
Rcc with Pillar,1593,43006,local
Wooden Pillar,258,43006,local
Cement Bonded Bricks/Stone,3403,39,district
Mud Bonded Bricks/Stone,33594,39,district
Not Stated about House,211,39,district
Others,40,39,district
Rcc with Pillar,3774,39,district
Wooden Pillar,1026,39,district
Cement Bonded Bricks/Stone,3403,37005,local
Mud Bonded Bricks/Stone,33594,37005,local
Not Stated about House,211,37005,local
Others,40,37005,local
Rcc with Pillar,3774,37005,local
Wooden Pillar,1026,37005,local
Cement Bonded Bricks/Stone,3403,37007,local
Mud Bonded Bricks/Stone,33594,37007,local
Not Stated about House,211,37007,local
Others,40,37007,local
Rcc with Pillar,3774,37007,local
Wooden Pillar,1026,37007,local
Cement Bonded Bricks/Stone,3403,37001,local
Mud Bonded Bricks/Stone,33594,37001,local
Not Stated about House,211,37001,local
Others,40,37001,local
Rcc with Pillar,3774,37001,local
Wooden Pillar,1026,37001,local
Cement Bonded Bricks/Stone,3403,37006,local
Mud Bonded Bricks/Stone,33594,37006,local
Not Stated about House,211,37006,local
Others,40,37006,local
Rcc with Pillar,3774,37006,local
Wooden Pillar,1026,37006,local
Cement Bonded Bricks/Stone,3403,37008,local
Mud Bonded Bricks/Stone,33594,37008,local
Not Stated about House,211,37008,local
Others,40,37008,local
Rcc with Pillar,3774,37008,local
Wooden Pillar,1026,37008,local
Cement Bonded Bricks/Stone,3403,37004,local
Mud Bonded Bricks/Stone,33594,37004,local
Not Stated about House,211,37004,local
Others,40,37004,local
Rcc with Pillar,3774,37004,local
Wooden Pillar,1026,37004,local
Cement Bonded Bricks/Stone,3403,37003,local
Mud Bonded Bricks/Stone,33594,37003,local
Not Stated about House,211,37003,local
Others,40,37003,local
Rcc with Pillar,3774,37003,local
Wooden Pillar,1026,37003,local
Cement Bonded Bricks/Stone,3403,37002,local
Mud Bonded Bricks/Stone,33594,37002,local
Not Stated about House,211,37002,local
Others,40,37002,local
Rcc with Pillar,3774,37002,local
Wooden Pillar,1026,37002,local
Cement Bonded Bricks/Stone,42003,34,district
Mud Bonded Bricks/Stone,47380,34,district
Not Stated about House,762,34,district
Others,438,34,district
Rcc with Pillar,34114,34,district
Wooden Pillar,762,34,district
Cement Bonded Bricks/Stone,42003,40005,local
Mud Bonded Bricks/Stone,47380,40005,local
Not Stated about House,762,40005,local
Others,438,40005,local
Rcc with Pillar,34114,40005,local
Wooden Pillar,762,40005,local
Cement Bonded Bricks/Stone,42003,40001,local
Mud Bonded Bricks/Stone,47380,40001,local
Not Stated about House,762,40001,local
Others,438,40001,local
Rcc with Pillar,34114,40001,local
Wooden Pillar,762,40001,local
Cement Bonded Bricks/Stone,42003,40003,local
Mud Bonded Bricks/Stone,47380,40003,local
Not Stated about House,762,40003,local
Others,438,40003,local
Rcc with Pillar,34114,40003,local
Wooden Pillar,762,40003,local
Cement Bonded Bricks/Stone,42003,40002,local
Mud Bonded Bricks/Stone,47380,40002,local
Not Stated about House,762,40002,local
Others,438,40002,local
Rcc with Pillar,34114,40002,local
Wooden Pillar,762,40002,local
Cement Bonded Bricks/Stone,42003,40004,local
Mud Bonded Bricks/Stone,47380,40004,local
Not Stated about House,762,40004,local
Others,438,40004,local
Rcc with Pillar,34114,40004,local
Wooden Pillar,762,40004,local
Cement Bonded Bricks/Stone,44,42,district
Mud Bonded Bricks/Stone,1332,42,district
Not Stated about House,7,42,district
Others,0,42,district
Rcc with Pillar,4,42,district
Wooden Pillar,61,42,district
Cement Bonded Bricks/Stone,44,41003,local
Mud Bonded Bricks/Stone,1332,41003,local
Not Stated about House,7,41003,local
Others,0,41003,local
Rcc with Pillar,4,41003,local
Wooden Pillar,61,41003,local
Cement Bonded Bricks/Stone,44,41001,local
Mud Bonded Bricks/Stone,1332,41001,local
Not Stated about House,7,41001,local
Others,0,41001,local
Rcc with Pillar,4,41001,local
Wooden Pillar,61,41001,local
Cement Bonded Bricks/Stone,44,41004,local
Mud Bonded Bricks/Stone,1332,41004,local
Not Stated about House,7,41004,local
Others,0,41004,local
Rcc with Pillar,4,41004,local
Wooden Pillar,61,41004,local
Cement Bonded Bricks/Stone,44,41002,local
Mud Bonded Bricks/Stone,1332,41002,local
Not Stated about House,7,41002,local
Others,0,41002,local
Rcc with Pillar,4,41002,local
Wooden Pillar,61,41002,local
Cement Bonded Bricks/Stone,11553,72,district
Mud Bonded Bricks/Stone,54293,72,district
Not Stated about House,572,72,district
Others,183,72,district
Rcc with Pillar,8596,72,district
Wooden Pillar,3089,72,district
Cement Bonded Bricks/Stone,11553,38006,local
Mud Bonded Bricks/Stone,54293,38006,local
Not Stated about House,572,38006,local
Others,183,38006,local
Rcc with Pillar,8596,38006,local
Wooden Pillar,3089,38006,local
Cement Bonded Bricks/Stone,11553,38009,local
Mud Bonded Bricks/Stone,54293,38009,local
Not Stated about House,572,38009,local
Others,183,38009,local
Rcc with Pillar,8596,38009,local
Wooden Pillar,3089,38009,local
Cement Bonded Bricks/Stone,11553,38001,local
Mud Bonded Bricks/Stone,54293,38001,local
Not Stated about House,572,38001,local
Others,183,38001,local
Rcc with Pillar,8596,38001,local
Wooden Pillar,3089,38001,local
Cement Bonded Bricks/Stone,11553,38004,local
Mud Bonded Bricks/Stone,54293,38004,local
Not Stated about House,572,38004,local
Others,183,38004,local
Rcc with Pillar,8596,38004,local
Wooden Pillar,3089,38004,local
Cement Bonded Bricks/Stone,11553,38003,local
Mud Bonded Bricks/Stone,54293,38003,local
Not Stated about House,572,38003,local
Others,183,38003,local
Rcc with Pillar,8596,38003,local
Wooden Pillar,3089,38003,local
Cement Bonded Bricks/Stone,11553,38002,local
Mud Bonded Bricks/Stone,54293,38002,local
Not Stated about House,572,38002,local
Others,183,38002,local
Rcc with Pillar,8596,38002,local
Wooden Pillar,3089,38002,local
Cement Bonded Bricks/Stone,11553,38007,local
Mud Bonded Bricks/Stone,54293,38007,local
Not Stated about House,572,38007,local
Others,183,38007,local
Rcc with Pillar,8596,38007,local
Wooden Pillar,3089,38007,local
Cement Bonded Bricks/Stone,11553,38010,local
Mud Bonded Bricks/Stone,54293,38010,local
Not Stated about House,572,38010,local
Others,183,38010,local
Rcc with Pillar,8596,38010,local
Wooden Pillar,3089,38010,local
Cement Bonded Bricks/Stone,11553,38005,local
Mud Bonded Bricks/Stone,54293,38005,local
Not Stated about House,572,38005,local
Others,183,38005,local
Rcc with Pillar,8596,38005,local
Wooden Pillar,3089,38005,local
Cement Bonded Bricks/Stone,11553,38008,local
Mud Bonded Bricks/Stone,54293,38008,local
Not Stated about House,572,38008,local
Others,183,38008,local
Rcc with Pillar,8596,38008,local
Wooden Pillar,3089,38008,local
Cement Bonded Bricks/Stone,146,45,district
Mud Bonded Bricks/Stone,3097,45,district
Not Stated about House,21,45,district
Others,7,45,district
Rcc with Pillar,3,45,district
Wooden Pillar,31,45,district
Cement Bonded Bricks/Stone,146,42001,local
Mud Bonded Bricks/Stone,3097,42001,local
Not Stated about House,21,42001,local
Others,7,42001,local
Rcc with Pillar,3,42001,local
Wooden Pillar,31,42001,local
Cement Bonded Bricks/Stone,146,42004,local
Mud Bonded Bricks/Stone,3097,42004,local
Not Stated about House,21,42004,local
Others,7,42004,local
Rcc with Pillar,3,42004,local
Wooden Pillar,31,42004,local
Cement Bonded Bricks/Stone,146,42005,local
Mud Bonded Bricks/Stone,3097,42005,local
Not Stated about House,21,42005,local
Others,7,42005,local
Rcc with Pillar,3,42005,local
Wooden Pillar,31,42005,local
Cement Bonded Bricks/Stone,146,42002,local
Mud Bonded Bricks/Stone,3097,42002,local
Not Stated about House,21,42002,local
Others,7,42002,local
Rcc with Pillar,3,42002,local
Wooden Pillar,31,42002,local
Cement Bonded Bricks/Stone,146,42003,local
Mud Bonded Bricks/Stone,3097,42003,local
Not Stated about House,21,42003,local
Others,7,42003,local
Rcc with Pillar,3,42003,local
Wooden Pillar,31,42003,local
Cement Bonded Bricks/Stone,2367,52,district
Mud Bonded Bricks/Stone,31532,52,district
Not Stated about House,135,52,district
Others,41,52,district
Rcc with Pillar,1290,52,district
Wooden Pillar,333,52,district
Cement Bonded Bricks/Stone,2367,44004,local
Mud Bonded Bricks/Stone,31532,44004,local
Not Stated about House,135,44004,local
Others,41,44004,local
Rcc with Pillar,1290,44004,local
Wooden Pillar,333,44004,local
Cement Bonded Bricks/Stone,2367,44006,local
Mud Bonded Bricks/Stone,31532,44006,local
Not Stated about House,135,44006,local
Others,41,44006,local
Rcc with Pillar,1290,44006,local
Wooden Pillar,333,44006,local
Cement Bonded Bricks/Stone,2367,44002,local
Mud Bonded Bricks/Stone,31532,44002,local
Not Stated about House,135,44002,local
Others,41,44002,local
Rcc with Pillar,1290,44002,local
Wooden Pillar,333,44002,local
Cement Bonded Bricks/Stone,2367,44007,local
Mud Bonded Bricks/Stone,31532,44007,local
Not Stated about House,135,44007,local
Others,41,44007,local
Rcc with Pillar,1290,44007,local
Wooden Pillar,333,44007,local
Cement Bonded Bricks/Stone,2367,44003,local
Mud Bonded Bricks/Stone,31532,44003,local
Not Stated about House,135,44003,local
Others,41,44003,local
Rcc with Pillar,1290,44003,local
Wooden Pillar,333,44003,local
Cement Bonded Bricks/Stone,2367,44001,local
Mud Bonded Bricks/Stone,31532,44001,local
Not Stated about House,135,44001,local
Others,41,44001,local
Rcc with Pillar,1290,44001,local
Wooden Pillar,333,44001,local
Cement Bonded Bricks/Stone,2367,44005,local
Mud Bonded Bricks/Stone,31532,44005,local
Not Stated about House,135,44005,local
Others,41,44005,local
Rcc with Pillar,1290,44005,local
Wooden Pillar,333,44005,local
Cement Bonded Bricks/Stone,213922,2,province
Mud Bonded Bricks/Stone,67588,2,province
Not Stated about House,14265,2,province
Others,18338,2,province
Rcc with Pillar,39003,2,province
Wooden Pillar,578971,2,province
Cement Bonded Bricks/Stone,25207,64,district
Mud Bonded Bricks/Stone,8311,64,district
Not Stated about House,1668,64,district
Others,3391,64,district
Rcc with Pillar,6966,64,district
Wooden Pillar,87260,64,district
Cement Bonded Bricks/Stone,25207,19020,local
Mud Bonded Bricks/Stone,8311,19020,local
Not Stated about House,1668,19020,local
Others,3391,19020,local
Rcc with Pillar,6966,19020,local
Wooden Pillar,87260,19020,local
Cement Bonded Bricks/Stone,25207,19005,local
Mud Bonded Bricks/Stone,8311,19005,local
Not Stated about House,1668,19005,local
Others,3391,19005,local
Rcc with Pillar,6966,19005,local
Wooden Pillar,87260,19005,local
Cement Bonded Bricks/Stone,25207,19008,local
Mud Bonded Bricks/Stone,8311,19008,local
Not Stated about House,1668,19008,local
Others,3391,19008,local
Rcc with Pillar,6966,19008,local
Wooden Pillar,87260,19008,local
Cement Bonded Bricks/Stone,25207,19016,local
Mud Bonded Bricks/Stone,8311,19016,local
Not Stated about House,1668,19016,local
Others,3391,19016,local
Rcc with Pillar,6966,19016,local
Wooden Pillar,87260,19016,local
Cement Bonded Bricks/Stone,25207,19012,local
Mud Bonded Bricks/Stone,8311,19012,local
Not Stated about House,1668,19012,local
Others,3391,19012,local
Rcc with Pillar,6966,19012,local
Wooden Pillar,87260,19012,local
Cement Bonded Bricks/Stone,25207,19009,local
Mud Bonded Bricks/Stone,8311,19009,local
Not Stated about House,1668,19009,local
Others,3391,19009,local
Rcc with Pillar,6966,19009,local
Wooden Pillar,87260,19009,local
Cement Bonded Bricks/Stone,25207,19010,local
Mud Bonded Bricks/Stone,8311,19010,local
Not Stated about House,1668,19010,local
Others,3391,19010,local
Rcc with Pillar,6966,19010,local
Wooden Pillar,87260,19010,local
Cement Bonded Bricks/Stone,25207,19013,local
Mud Bonded Bricks/Stone,8311,19013,local
Not Stated about House,1668,19013,local
Others,3391,19013,local
Rcc with Pillar,6966,19013,local
Wooden Pillar,87260,19013,local
Cement Bonded Bricks/Stone,25207,19007,local
Mud Bonded Bricks/Stone,8311,19007,local
Not Stated about House,1668,19007,local
Others,3391,19007,local
Rcc with Pillar,6966,19007,local
Wooden Pillar,87260,19007,local
Cement Bonded Bricks/Stone,25207,19017,local
Mud Bonded Bricks/Stone,8311,19017,local
Not Stated about House,1668,19017,local
Others,3391,19017,local
Rcc with Pillar,6966,19017,local
Wooden Pillar,87260,19017,local
Cement Bonded Bricks/Stone,25207,19018,local
Mud Bonded Bricks/Stone,8311,19018,local
Not Stated about House,1668,19018,local
Others,3391,19018,local
Rcc with Pillar,6966,19018,local
Wooden Pillar,87260,19018,local
Cement Bonded Bricks/Stone,25207,19011,local
Mud Bonded Bricks/Stone,8311,19011,local
Not Stated about House,1668,19011,local
Others,3391,19011,local
Rcc with Pillar,6966,19011,local
Wooden Pillar,87260,19011,local
Cement Bonded Bricks/Stone,25207,19001,local
Mud Bonded Bricks/Stone,8311,19001,local
Not Stated about House,1668,19001,local
Others,3391,19001,local
Rcc with Pillar,6966,19001,local
Wooden Pillar,87260,19001,local
Cement Bonded Bricks/Stone,25207,19014,local
Mud Bonded Bricks/Stone,8311,19014,local
Not Stated about House,1668,19014,local
Others,3391,19014,local
Rcc with Pillar,6966,19014,local
Wooden Pillar,87260,19014,local
Cement Bonded Bricks/Stone,25207,19015,local
Mud Bonded Bricks/Stone,8311,19015,local
Not Stated about House,1668,19015,local
Others,3391,19015,local
Rcc with Pillar,6966,19015,local
Wooden Pillar,87260,19015,local
Cement Bonded Bricks/Stone,25207,19003,local
Mud Bonded Bricks/Stone,8311,19003,local
Not Stated about House,1668,19003,local
Others,3391,19003,local
Rcc with Pillar,6966,19003,local
Wooden Pillar,87260,19003,local
Cement Bonded Bricks/Stone,25207,19004,local
Mud Bonded Bricks/Stone,8311,19004,local
Not Stated about House,1668,19004,local
Others,3391,19004,local
Rcc with Pillar,6966,19004,local
Wooden Pillar,87260,19004,local
Cement Bonded Bricks/Stone,25207,19019,local
Mud Bonded Bricks/Stone,8311,19019,local
Not Stated about House,1668,19019,local
Others,3391,19019,local
Rcc with Pillar,6966,19019,local
Wooden Pillar,87260,19019,local
Cement Bonded Bricks/Stone,25207,19006,local
Mud Bonded Bricks/Stone,8311,19006,local
Not Stated about House,1668,19006,local
Others,3391,19006,local
Rcc with Pillar,6966,19006,local
Wooden Pillar,87260,19006,local
Cement Bonded Bricks/Stone,25207,19002,local
Mud Bonded Bricks/Stone,8311,19002,local
Not Stated about House,1668,19002,local
Others,3391,19002,local
Rcc with Pillar,6966,19002,local
Wooden Pillar,87260,19002,local
Cement Bonded Bricks/Stone,26028,67,district
Mud Bonded Bricks/Stone,6569,67,district
Not Stated about House,1540,67,district
Others,1718,67,district
Rcc with Pillar,4511,67,district
Wooden Pillar,77563,67,district
Cement Bonded Bricks/Stone,26028,16011,local
Mud Bonded Bricks/Stone,6569,16011,local
Not Stated about House,1540,16011,local
Others,1718,16011,local
Rcc with Pillar,4511,16011,local
Wooden Pillar,77563,16011,local
Cement Bonded Bricks/Stone,26028,16007,local
Mud Bonded Bricks/Stone,6569,16007,local
Not Stated about House,1540,16007,local
Others,1718,16007,local
Rcc with Pillar,4511,16007,local
Wooden Pillar,77563,16007,local
Cement Bonded Bricks/Stone,26028,16015,local
Mud Bonded Bricks/Stone,6569,16015,local
Not Stated about House,1540,16015,local
Others,1718,16015,local
Rcc with Pillar,4511,16015,local
Wooden Pillar,77563,16015,local
Cement Bonded Bricks/Stone,26028,16010,local
Mud Bonded Bricks/Stone,6569,16010,local
Not Stated about House,1540,16010,local
Others,1718,16010,local
Rcc with Pillar,4511,16010,local
Wooden Pillar,77563,16010,local
Cement Bonded Bricks/Stone,26028,16008,local
Mud Bonded Bricks/Stone,6569,16008,local
Not Stated about House,1540,16008,local
Others,1718,16008,local
Rcc with Pillar,4511,16008,local
Wooden Pillar,77563,16008,local
Cement Bonded Bricks/Stone,26028,16009,local
Mud Bonded Bricks/Stone,6569,16009,local
Not Stated about House,1540,16009,local
Others,1718,16009,local
Rcc with Pillar,4511,16009,local
Wooden Pillar,77563,16009,local
Cement Bonded Bricks/Stone,26028,16014,local
Mud Bonded Bricks/Stone,6569,16014,local
Not Stated about House,1540,16014,local
Others,1718,16014,local
Rcc with Pillar,4511,16014,local
Wooden Pillar,77563,16014,local
Cement Bonded Bricks/Stone,26028,16003,local
Mud Bonded Bricks/Stone,6569,16003,local
Not Stated about House,1540,16003,local
Others,1718,16003,local
Rcc with Pillar,4511,16003,local
Wooden Pillar,77563,16003,local
Cement Bonded Bricks/Stone,26028,16004,local
Mud Bonded Bricks/Stone,6569,16004,local
Not Stated about House,1540,16004,local
Others,1718,16004,local
Rcc with Pillar,4511,16004,local
Wooden Pillar,77563,16004,local
Cement Bonded Bricks/Stone,26028,16005,local
Mud Bonded Bricks/Stone,6569,16005,local
Not Stated about House,1540,16005,local
Others,1718,16005,local
Rcc with Pillar,4511,16005,local
Wooden Pillar,77563,16005,local
Cement Bonded Bricks/Stone,26028,16001,local
Mud Bonded Bricks/Stone,6569,16001,local
Not Stated about House,1540,16001,local
Others,1718,16001,local
Rcc with Pillar,4511,16001,local
Wooden Pillar,77563,16001,local
Cement Bonded Bricks/Stone,26028,16006,local
Mud Bonded Bricks/Stone,6569,16006,local
Not Stated about House,1540,16006,local
Others,1718,16006,local
Rcc with Pillar,4511,16006,local
Wooden Pillar,77563,16006,local
Cement Bonded Bricks/Stone,26028,16012,local
Mud Bonded Bricks/Stone,6569,16012,local
Not Stated about House,1540,16012,local
Others,1718,16012,local
Rcc with Pillar,4511,16012,local
Wooden Pillar,77563,16012,local
Cement Bonded Bricks/Stone,26028,16013,local
Mud Bonded Bricks/Stone,6569,16013,local
Not Stated about House,1540,16013,local
Others,1718,16013,local
Rcc with Pillar,4511,16013,local
Wooden Pillar,77563,16013,local
Cement Bonded Bricks/Stone,26028,16016,local
Mud Bonded Bricks/Stone,6569,16016,local
