foundation type,total,geo_code,geo_level
Others,273,26004,local
Rcc with Pillar,20868,26004,local
Wooden Pillar,290,26004,local
Cement Bonded Bricks/Stone,17894,26002,local
Mud Bonded Bricks/Stone,28269,26002,local
Not Stated about House,963,26002,local
Others,273,26002,local
Rcc with Pillar,20868,26002,local
Wooden Pillar,290,26002,local
Cement Bonded Bricks/Stone,17894,26003,local
Mud Bonded Bricks/Stone,28269,26003,local
Not Stated about House,963,26003,local
Others,273,26003,local
Rcc with Pillar,20868,26003,local
Wooden Pillar,290,26003,local
Cement Bonded Bricks/Stone,17894,26001,local
Mud Bonded Bricks/Stone,28269,26001,local
Not Stated about House,963,26001,local
Others,273,26001,local
Rcc with Pillar,20868,26001,local
Wooden Pillar,290,26001,local
Cement Bonded Bricks/Stone,917,20,district
Mud Bonded Bricks/Stone,42960,20,district
Not Stated about House,214,20,district
Others,43,20,district
Rcc with Pillar,887,20,district
Wooden Pillar,637,20,district
Cement Bonded Bricks/Stone,917,22003,local
Mud Bonded Bricks/Stone,42960,22003,local
Not Stated about House,214,22003,local
Others,43,22003,local
Rcc with Pillar,887,22003,local
Wooden Pillar,637,22003,local
Cement Bonded Bricks/Stone,917,22008,local
Mud Bonded Bricks/Stone,42960,22008,local
Not Stated about House,214,22008,local
Others,43,22008,local
Rcc with Pillar,887,22008,local
Wooden Pillar,637,22008,local
Cement Bonded Bricks/Stone,917,22009,local
Mud Bonded Bricks/Stone,42960,22009,local
Not Stated about House,214,22009,local
Others,43,22009,local
Rcc with Pillar,887,22009,local
Wooden Pillar,637,22009,local
Cement Bonded Bricks/Stone,917,22002,local
Mud Bonded Bricks/Stone,42960,22002,local
Not Stated about House,214,22002,local
Others,43,22002,local
Rcc with Pillar,887,22002,local
Wooden Pillar,637,22002,local
Cement Bonded Bricks/Stone,917,22004,local
Mud Bonded Bricks/Stone,42960,22004,local
Not Stated about House,214,22004,local
Others,43,22004,local
Rcc with Pillar,887,22004,local
Wooden Pillar,637,22004,local
Cement Bonded Bricks/Stone,917,22006,local
Mud Bonded Bricks/Stone,42960,22006,local
Not Stated about House,214,22006,local
Others,43,22006,local
Rcc with Pillar,887,22006,local
Wooden Pillar,637,22006,local
Cement Bonded Bricks/Stone,917,22005,local
Mud Bonded Bricks/Stone,42960,22005,local
Not Stated about House,214,22005,local
Others,43,22005,local
Rcc with Pillar,887,22005,local
Wooden Pillar,637,22005,local
Cement Bonded Bricks/Stone,917,22007,local
Mud Bonded Bricks/Stone,42960,22007,local
Not Stated about House,214,22007,local
Others,43,22007,local
Rcc with Pillar,887,22007,local
Wooden Pillar,637,22007,local
Cement Bonded Bricks/Stone,917,22001,local
Mud Bonded Bricks/Stone,42960,22001,local
Not Stated about House,214,22001,local
Others,43,22001,local
Rcc with Pillar,887,22001,local
Wooden Pillar,637,22001,local
Cement Bonded Bricks/Stone,11671,41,district
Mud Bonded Bricks/Stone,44230,41,district
Not Stated about House,380,41,district
Others,272,41,district
Rcc with Pillar,3082,41,district
Wooden Pillar,26410,41,district
Cement Bonded Bricks/Stone,11671,31010,local
Mud Bonded Bricks/Stone,44230,31010,local
Not Stated about House,380,31010,local
Others,272,31010,local
Rcc with Pillar,3082,31010,local
Wooden Pillar,26410,31010,local
Cement Bonded Bricks/Stone,11671,31006,local
Mud Bonded Bricks/Stone,44230,31006,local
Not Stated about House,380,31006,local
Others,272,31006,local
Rcc with Pillar,3082,31006,local
Wooden Pillar,26410,31006,local
Cement Bonded Bricks/Stone,11671,31003,local
Mud Bonded Bricks/Stone,44230,31003,local
Not Stated about House,380,31003,local
Others,272,31003,local
Rcc with Pillar,3082,31003,local
Wooden Pillar,26410,31003,local
Cement Bonded Bricks/Stone,11671,31001,local
Mud Bonded Bricks/Stone,44230,31001,local
Not Stated about House,380,31001,local
Others,272,31001,local
Rcc with Pillar,3082,31001,local
Wooden Pillar,26410,31001,local
Cement Bonded Bricks/Stone,11671,31005,local
Mud Bonded Bricks/Stone,44230,31005,local
Not Stated about House,380,31005,local
Others,272,31005,local
Rcc with Pillar,3082,31005,local
Wooden Pillar,26410,31005,local
Cement Bonded Bricks/Stone,11671,31002,local
Mud Bonded Bricks/Stone,44230,31002,local
Not Stated about House,380,31002,local
Others,272,31002,local
Rcc with Pillar,3082,31002,local
Wooden Pillar,26410,31002,local
Cement Bonded Bricks/Stone,11671,31008,local
Mud Bonded Bricks/Stone,44230,31008,local
Not Stated about House,380,31008,local
Others,272,31008,local
Rcc with Pillar,3082,31008,local
Wooden Pillar,26410,31008,local
Cement Bonded Bricks/Stone,11671,31009,local
Mud Bonded Bricks/Stone,44230,31009,local
Not Stated about House,380,31009,local
Others,272,31009,local
Rcc with Pillar,3082,31009,local
Wooden Pillar,26410,31009,local
Cement Bonded Bricks/Stone,11671,31007,local
Mud Bonded Bricks/Stone,44230,31007,local
Not Stated about House,380,31007,local
Others,272,31007,local
Rcc with Pillar,3082,31007,local
Wooden Pillar,26410,31007,local
Cement Bonded Bricks/Stone,11671,31004,local
Mud Bonded Bricks/Stone,44230,31004,local
Not Stated about House,380,31004,local
Others,272,31004,local
Rcc with Pillar,3082,31004,local
Wooden Pillar,26410,31004,local
Cement Bonded Bricks/Stone,5382,36,district
Mud Bonded Bricks/Stone,68449,36,district
Not Stated about House,966,36,district
Others,146,36,district
Rcc with Pillar,5095,36,district
Wooden Pillar,613,36,district
Cement Bonded Bricks/Stone,5382,24001,local
Mud Bonded Bricks/Stone,68449,24001,local
Not Stated about House,966,24001,local
Others,146,24001,local
Rcc with Pillar,5095,24001,local
Wooden Pillar,613,24001,local
Cement Bonded Bricks/Stone,5382,24011,local
Mud Bonded Bricks/Stone,68449,24011,local
Not Stated about House,966,24011,local
Others,146,24011,local
Rcc with Pillar,5095,24011,local
Wooden Pillar,613,24011,local
Cement Bonded Bricks/Stone,5382,24007,local
Mud Bonded Bricks/Stone,68449,24007,local
Not Stated about House,966,24007,local
Others,146,24007,local
Rcc with Pillar,5095,24007,local
Wooden Pillar,613,24007,local
Cement Bonded Bricks/Stone,5382,24010,local
Mud Bonded Bricks/Stone,68449,24010,local
Not Stated about House,966,24010,local
Others,146,24010,local
Rcc with Pillar,5095,24010,local
Wooden Pillar,613,24010,local
Cement Bonded Bricks/Stone,5382,24008,local
Mud Bonded Bricks/Stone,68449,24008,local
Not Stated about House,966,24008,local
Others,146,24008,local
Rcc with Pillar,5095,24008,local
Wooden Pillar,613,24008,local
Cement Bonded Bricks/Stone,5382,24002,local
Mud Bonded Bricks/Stone,68449,24002,local
Not Stated about House,966,24002,local
Others,146,24002,local
Rcc with Pillar,5095,24002,local
Wooden Pillar,613,24002,local
Cement Bonded Bricks/Stone,5382,24012,local
Mud Bonded Bricks/Stone,68449,24012,local
Not Stated about House,966,24012,local
Others,146,24012,local
Rcc with Pillar,5095,24012,local
Wooden Pillar,613,24012,local
Cement Bonded Bricks/Stone,5382,24005,local
Mud Bonded Bricks/Stone,68449,24005,local
Not Stated about House,966,24005,local
Others,146,24005,local
Rcc with Pillar,5095,24005,local
Wooden Pillar,613,24005,local
Cement Bonded Bricks/Stone,5382,24006,local
Mud Bonded Bricks/Stone,68449,24006,local
Not Stated about House,966,24006,local
Others,146,24006,local
Rcc with Pillar,5095,24006,local
Wooden Pillar,613,24006,local
Cement Bonded Bricks/Stone,5382,24009,local
Mud Bonded Bricks/Stone,68449,24009,local
Not Stated about House,966,24009,local
Others,146,24009,local
Rcc with Pillar,5095,24009,local
Wooden Pillar,613,24009,local
Cement Bonded Bricks/Stone,5382,24004,local
Mud Bonded Bricks/Stone,68449,24004,local
Not Stated about House,966,24004,local
Others,146,24004,local
Rcc with Pillar,5095,24004,local
Wooden Pillar,613,24004,local
Cement Bonded Bricks/Stone,5382,24013,local
Mud Bonded Bricks/Stone,68449,24013,local
Not Stated about House,966,24013,local
Others,146,24013,local
Rcc with Pillar,5095,24013,local
Wooden Pillar,613,24013,local
Cement Bonded Bricks/Stone,5382,24003,local
Mud Bonded Bricks/Stone,68449,24003,local
Not Stated about House,966,24003,local
Others,146,24003,local
Rcc with Pillar,5095,24003,local
Wooden Pillar,613,24003,local
Cement Bonded Bricks/Stone,165677,35,district
Mud Bonded Bricks/Stone,80811,35,district
Not Stated about House,10375,35,district
Others,1243,35,district
Rcc with Pillar,174916,35,district
Wooden Pillar,2522,35,district
Cement Bonded Bricks/Stone,165677,27006,local
Mud Bonded Bricks/Stone,80811,27006,local
Not Stated about House,10375,27006,local
Others,1243,27006,local
Rcc with Pillar,174916,27006,local
Wooden Pillar,2522,27006,local
Cement Bonded Bricks/Stone,165677,27002,local
Mud Bonded Bricks/Stone,80811,27002,local
Not Stated about House,10375,27002,local
Others,1243,27002,local
