roof type,total,geo_code,geo_level,geo_version
Galvanized Iron Plate,13,34005,local,2016
Mud Roof,0,34005,local,2016
Not Stated Roof,49,34005,local,2016
Other Type of Roof,4,34005,local,2016
RCC Roof,475,34005,local,2016
Thatch/Straw Roof,1130,34005,local,2016
Tile/Slate Roof,1291,34005,local,2016
Wood/Planks Roof,13,34005,local,2016
Galvanized Iron Plate,33,34007,local,2016
Mud Roof,0,34007,local,2016
Not Stated Roof,50,34007,local,2016
Other Type of Roof,116,34007,local,2016
RCC Roof,337,34007,local,2016
Thatch/Straw Roof,654,34007,local,2016
Tile/Slate Roof,2875,34007,local,2016
Wood/Planks Roof,52,34007,local,2016
Galvanized Iron Plate,2108,34003,local,2016
Mud Roof,0,34003,local,2016
Not Stated Roof,943,34003,local,2016
Other Type of Roof,226,34003,local,2016
RCC Roof,23177,34003,local,2016
Thatch/Straw Roof,3889,34003,local,2016
Tile/Slate Roof,8648,34003,local,2016
Wood/Planks Roof,295,34003,local,2016
Galvanized Iron Plate,79,34011,local,2016
Mud Roof,0,34011,local,2016
Not Stated Roof,32,34011,local,2016
Other Type of Roof,2,34011,local,2016
RCC Roof,282,34011,local,2016
Thatch/Straw Roof,799,34011,local,2016
Tile/Slate Roof,2796,34011,local,2016
Wood/Planks Roof,12,34011,local,2016
Galvanized Iron Plate,25,34012,local,2016
Mud Roof,0,34012,local,2016
Not Stated Roof,37,34012,local,2016
Other Type of Roof,4,34012,local,2016
RCC Roof,574,34012,local,2016
Thatch/Straw Roof,1338,34012,local,2016
Tile/Slate Roof,2876,34012,local,2016
Wood/Planks Roof,21,34012,local,2016
Galvanized Iron Plate,13,34002,local,2016
Mud Roof,0,34002,local,2016
Not Stated Roof,45,34002,local,2016
Other Type of Roof,3,34002,local,2016
RCC Roof,877,34002,local,2016
Thatch/Straw Roof,797,34002,local,2016
Tile/Slate Roof,1803,34002,local,2016
Wood/Planks Roof,38,34002,local,2016
Galvanized Iron Plate,798,34014,local,2016
Mud Roof,0,34014,local,2016
Not Stated Roof,33,34014,local,2016
Other Type of Roof,11,34014,local,2016
RCC Roof,112,34014,local,2016
Thatch/Straw Roof,684,34014,local,2016
Tile/Slate Roof,2580,34014,local,2016
Wood/Planks Roof,29,34014,local,2016
Galvanized Iron Plate,65,34004,local,2016
Mud Roof,0,34004,local,2016
Not Stated Roof,72,34004,local,2016
Other Type of Roof,4,34004,local,2016
RCC Roof,807,34004,local,2016
Thatch/Straw Roof,1486,34004,local,2016
Tile/Slate Roof,1540,34004,local,2016
Wood/Planks Roof,9,34004,local,2016
Galvanized Iron Plate,19,34001,local,2016
Mud Roof,0,34001,local,2016
Not Stated Roof,64,34001,local,2016
Other Type of Roof,11,34001,local,2016
RCC Roof,1004,34001,local,2016
Thatch/Straw Roof,772,34001,local,2016
Tile/Slate Roof,3788,34001,local,2016
Wood/Planks Roof,23,34001,local,2016
Galvanized Iron Plate,320,34010,local,2016
Mud Roof,0,34010,local,2016
Not Stated Roof,54,34010,local,2016
Other Type of Roof,22,34010,local,2016
RCC Roof,377,34010,local,2016
Thatch/Straw Roof,1033,34010,local,2016
Tile/Slate Roof,4456,34010,local,2016
Wood/Planks Roof,150,34010,local,2016
Galvanized Iron Plate,19,34013,local,2016
Mud Roof,0,34013,local,2016
Not Stated Roof,74,34013,local,2016
Other Type of Roof,3,34013,local,2016
RCC Roof,315,34013,local,2016
Thatch/Straw Roof,1324,34013,local,2016
Tile/Slate Roof,3554,34013,local,2016
Wood/Planks Roof,40,34013,local,2016
Galvanized Iron Plate,19,34009,local,2016
Mud Roof,0,34009,local,2016
Not Stated Roof,80,34009,local,2016
Other Type of Roof,1,34009,local,2016
RCC Roof,452,34009,local,2016
Thatch/Straw Roof,942,34009,local,2016
Tile/Slate Roof,1529,34009,local,2016
Wood/Planks Roof,15,34009,local,2016
Galvanized Iron Plate,27716,63,district,2016
Mud Roof,0,63,district,2016
Not Stated Roof,2264,63,district,2016
Other Type of Roof,233,63,district,2016
RCC Roof,14167,63,district,2016
Thatch/Straw Roof,62465,63,district,2016
Tile/Slate Roof,13602,63,district,2016
Wood/Planks Roof,617,63,district,2016
Galvanized Iron Plate,343,15002,local,2016
Mud Roof,0,15002,local,2016
Not Stated Roof,70,15002,local,2016
Other Type of Roof,13,15002,local,2016
RCC Roof,349,15002,local,2016
Thatch/Straw Roof,2937,15002,local,2016
Tile/Slate Roof,257,15002,local,2016
Wood/Planks Roof,7,15002,local,2016
Galvanized Iron Plate,1625,15005,local,2016
Mud Roof,0,15005,local,2016
Not Stated Roof,150,15005,local,2016
Other Type of Roof,52,15005,local,2016
RCC Roof,812,15005,local,2016
Thatch/Straw Roof,4750,15005,local,2016
Tile/Slate Roof,571,15005,local,2016
Wood/Planks Roof,62,15005,local,2016
Galvanized Iron Plate,1558,15007,local,2016
Mud Roof,0,15007,local,2016
Not Stated Roof,148,15007,local,2016
Other Type of Roof,29,15007,local,2016
RCC Roof,876,15007,local,2016
Thatch/Straw Roof,4899,15007,local,2016
Tile/Slate Roof,624,15007,local,2016
Wood/Planks Roof,15,15007,local,2016
Galvanized Iron Plate,1414,15010,local,2016
Mud Roof,0,15010,local,2016
Not Stated Roof,122,15010,local,2016
Other Type of Roof,18,15010,local,2016
RCC Roof,1269,15010,local,2016
Thatch/Straw Roof,3761,15010,local,2016
Tile/Slate Roof,1980,15010,local,2016
Wood/Planks Roof,51,15010,local,2016
Galvanized Iron Plate,791,15004,local,2016
Mud Roof,0,15004,local,2016
Not Stated Roof,36,15004,local,2016
Other Type of Roof,8,15004,local,2016
RCC Roof,401,15004,local,2016
Thatch/Straw Roof,2646,15004,local,2016
Tile/Slate Roof,476,15004,local,2016
Wood/Planks Roof,12,15004,local,2016
Galvanized Iron Plate,2081,15008,local,2016
Mud Roof,0,15008,local,2016
Not Stated Roof,154,15008,local,2016
Other Type of Roof,6,15008,local,2016
RCC Roof,480,15008,local,2016
Thatch/Straw Roof,5147,15008,local,2016
Tile/Slate Roof,121,15008,local,2016
Wood/Planks Roof,163,15008,local,2016
Galvanized Iron Plate,755,15003,local,2016
Mud Roof,0,15003,local,2016
Not Stated Roof,93,15003,local,2016
Other Type of Roof,6,15003,local,2016
RCC Roof,416,15003,local,2016
Thatch/Straw Roof,3613,15003,local,2016
Tile/Slate Roof,339,15003,local,2016
Wood/Planks Roof,20,15003,local,2016
Galvanized Iron Plate,968,15018,local,2016
Mud Roof,0,15018,local,2016
Not Stated Roof,114,15018,local,2016
Other Type of Roof,3,15018,local,2016
RCC Roof,147,15018,local,2016
Thatch/Straw Roof,2726,15018,local,2016
Tile/Slate Roof,83,15018,local,2016
Wood/Planks Roof,37,15018,local,2016
Galvanized Iron Plate,2906,15012,local,2016
Mud Roof,0,15012,local,2016
Not Stated Roof,443,15012,local,2016
Other Type of Roof,55,15012,local,2016
RCC Roof,4715,15012,local,2016
Thatch/Straw Roof,4037,15012,local,2016
Tile/Slate Roof,1148,15012,local,2016
Wood/Planks Roof,46,15012,local,2016
Galvanized Iron Plate,2094,15001,local,2016
Mud Roof,0,15001,local,2016
Not Stated Roof,92,15001,local,2016
Other Type of Roof,1,15001,local,2016
RCC Roof,359,15001,local,2016
Thatch/Straw Roof,2180,15001,local,2016
Tile/Slate Roof,673,15001,local,2016
Wood/Planks Roof,23,15001,local,2016
Galvanized Iron Plate,864,15016,local,2016
Mud Roof,0,15016,local,2016
Not Stated Roof,101,15016,local,2016
Other Type of Roof,3,15016,local,2016
RCC Roof,500,15016,local,2016
Thatch/Straw Roof,3275,15016,local,2016
Tile/Slate Roof,3882,15016,local,2016
Wood/Planks Roof,25,15016,local,2016
Galvanized Iron Plate,1005,15013,local,2016
Mud Roof,0,15013,local,2016
Not Stated Roof,44,15013,local,2016
Other Type of Roof,4,15013,local,2016
RCC Roof,418,15013,local,2016
Thatch/Straw Roof,2526,15013,local,2016
Tile/Slate Roof,995,15013,local,2016
Wood/Planks Roof,20,15013,local,2016
Galvanized Iron Plate,1110,15017,local,2016
Mud Roof,0,15017,local,2016
Not Stated Roof,35,15017,local,2016
Other Type of Roof,16,15017,local,2016
RCC Roof,593,15017,local,2016
Thatch/Straw Roof,3728,15017,local,2016
Tile/Slate Roof,189,15017,local,2016
Wood/Planks Roof,26,15017,local,2016
Galvanized Iron Plate,1397,15015,local,2016
Mud Roof,0,15015,local,2016
Not Stated Roof,82,15015,local,2016
Other Type of Roof,1,15015,local,2016
RCC Roof,712,15015,local,2016
Thatch/Straw Roof,3178,15015,local,2016
Tile/Slate Roof,1368,15015,local,2016
Wood/Planks Roof,26,15015,local,2016
Galvanized Iron Plate,2150,15014,local,2016
Mud Roof,0,15014,local,2016
Not Stated Roof,55,15014,local,2016
Other Type of Roof,2,15014,local,2016
RCC Roof,337,15014,local,2016
Thatch/Straw Roof,1831,15014,local,2016
Tile/Slate Roof,159,15014,local,2016
Wood/Planks Roof,5,15014,local,2016
Galvanized Iron Plate,1380,15011,local,2016
Mud Roof,0,15011,local,2016
Not Stated Roof,132,15011,local,2016
Other Type of Roof,6,15011,local,2016
RCC Roof,366,15011,local,2016
Thatch/Straw Roof,3376,15011,local,2016
Tile/Slate Roof,117,15011,local,2016
Wood/Planks Roof,18,15011,local,2016
Galvanized Iron Plate,4304,15009,local,2016
Mud Roof,0,15009,local,2016
Not Stated Roof,173,15009,local,2016
Other Type of Roof,5,15009,local,2016
RCC Roof,903,15009,local,2016
Thatch/Straw Roof,4468,15009,local,2016
Tile/Slate Roof,292,15009,local,2016
Wood/Planks Roof,47,15009,local,2016
Galvanized Iron Plate,971,15006,local,2016
Mud Roof,0,15006,local,2016
Not Stated Roof,220,15006,local,2016
Other Type of Roof,5,15006,local,2016
RCC Roof,514,15006,local,2016
Thatch/Straw Roof,3387,15006,local,2016
Tile/Slate Roof,328,15006,local,2016
Wood/Planks Roof,14,15006,local,2016
Galvanized Iron Plate,1611,57,district,2016
Mud Roof,0,57,district,2016
Not Stated Roof,2640,57,district,2016
Other Type of Roof,444,57,district,2016
RCC Roof,11062,57,district,2016
Thatch/Straw Roof,15379,57,district,2016
Tile/Slate Roof,74251,57,district,2016
Wood/Planks Roof,1265,57,district,2016
Galvanized Iron Plate,29,32002,local,2016
Mud Roof,0,32002,local,2016
Not Stated Roof,129,32002,local,2016
Other Type of Roof,11,32002,local,2016
RCC Roof,313,32002,local,2016
Thatch/Straw Roof,940,32002,local,2016
Tile/Slate Roof,4908,32002,local,2016
Wood/Planks Roof,44,32002,local,2016
Galvanized Iron Plate,48,32001,local,2016
Mud Roof,0,32001,local,2016
Not Stated Roof,59,32001,local,2016
Other Type of Roof,1,32001,local,2016
RCC Roof,631,32001,local,2016
Thatch/Straw Roof,530,32001,local,2016
Tile/Slate Roof,3263,32001,local,2016
Wood/Planks Roof,275,32001,local,2016
Galvanized Iron Plate,37,32005,local,2016
Mud Roof,0,32005,local,2016
Not Stated Roof,48,32005,local,2016
Other Type of Roof,6,32005,local,2016
RCC Roof,411,32005,local,2016
Thatch/Straw Roof,989,32005,local,2016
Tile/Slate Roof,2317,32005,local,2016
Wood/Planks Roof,4,32005,local,2016
Galvanized Iron Plate,920,32003,local,2016
Mud Roof,0,32003,local,2016
Not Stated Roof,216,32003,local,2016
Other Type of Roof,36,32003,local,2016
RCC Roof,1186,32003,local,2016
Thatch/Straw Roof,1056,32003,local,2016
Tile/Slate Roof,9773,32003,local,2016
Wood/Planks Roof,258,32003,local,2016
Galvanized Iron Plate,47,32010,local,2016
Mud Roof,0,32010,local,2016
Not Stated Roof,195,32010,local,2016
Other Type of Roof,19,32010,local,2016
RCC Roof,1242,32010,local,2016
Thatch/Straw Roof,747,32010,local,2016
Tile/Slate Roof,3572,32010,local,2016
Wood/Planks Roof,12,32010,local,2016
Galvanized Iron Plate,83,32015,local,2016
Mud Roof,0,32015,local,2016
Not Stated Roof,117,32015,local,2016
Other Type of Roof,13,32015,local,2016
RCC Roof,235,32015,local,2016
Thatch/Straw Roof,880,32015,local,2016
Tile/Slate Roof,4261,32015,local,2016
Wood/Planks Roof,44,32015,local,2016
Galvanized Iron Plate,31,32011,local,2016
Mud Roof,0,32011,local,2016
Not Stated Roof,111,32011,local,2016
Other Type of Roof,12,32011,local,2016
RCC Roof,346,32011,local,2016
Thatch/Straw Roof,566,32011,local,2016
Tile/Slate Roof,4828,32011,local,2016
Wood/Planks Roof,25,32011,local,2016
Galvanized Iron Plate,45,32006,local,2016
Mud Roof,0,32006,local,2016
Not Stated Roof,142,32006,local,2016
Other Type of Roof,24,32006,local,2016
RCC Roof,278,32006,local,2016
Thatch/Straw Roof,748,32006,local,2016
Tile/Slate Roof,4802,32006,local,2016
Wood/Planks Roof,30,32006,local,2016
Galvanized Iron Plate,24,32016,local,2016
Mud Roof,0,32016,local,2016
Not Stated Roof,165,32016,local,2016
Other Type of Roof,127,32016,local,2016
RCC Roof,552,32016,local,2016
Thatch/Straw Roof,1937,32016,local,2016
Tile/Slate Roof,2512,32016,local,2016
Wood/Planks Roof,48,32016,local,2016
Galvanized Iron Plate,50,32017,local,2016
Mud Roof,0,32017,local,2016
Not Stated Roof,105,32017,local,2016
Other Type of Roof,25,32017,local,2016
RCC Roof,697,32017,local,2016
Thatch/Straw Roof,885,32017,local,2016
Tile/Slate Roof,3948,32017,local,2016
Wood/Planks Roof,58,32017,local,2016
Galvanized Iron Plate,36,32018,local,2016
Mud Roof,0,32018,local,2016
Not Stated Roof,34,32018,local,2016
Other Type of Roof,3,32018,local,2016
RCC Roof,307,32018,local,2016
Thatch/Straw Roof,676,32018,local,2016
Tile/Slate Roof,2664,32018,local,2016
Wood/Planks Roof,56,32018,local,2016
Galvanized Iron Plate,45,32007,local,2016
Mud Roof,0,32007,local,2016
Not Stated Roof,135,32007,local,2016
Other Type of Roof,20,32007,local,2016
RCC Roof,855,32007,local,2016
Thatch/Straw Roof,951,32007,local,2016
Tile/Slate Roof,5316,32007,local,2016
Wood/Planks Roof,122,32007,local,2016
Galvanized Iron Plate,13,32014,local,2016
Mud Roof,0,32014,local,2016
Not Stated Roof,163,32014,local,2016
Other Type of Roof,46,32014,local,2016
RCC Roof,678,32014,local,2016
Thatch/Straw Roof,842,32014,local,2016
Tile/Slate Roof,3541,32014,local,2016
Wood/Planks Roof,97,32014,local,2016
Galvanized Iron Plate,29,32004,local,2016
Mud Roof,0,32004,local,2016
Not Stated Roof,199,32004,local,2016
Other Type of Roof,6,32004,local,2016
RCC Roof,268,32004,local,2016
Thatch/Straw Roof,909,32004,local,2016
Tile/Slate Roof,3244,32004,local,2016
Wood/Planks Roof,36,32004,local,2016
Galvanized Iron Plate,82,32009,local,2016
Mud Roof,0,32009,local,2016
Not Stated Roof,252,32009,local,2016
Other Type of Roof,32,32009,local,2016
RCC Roof,197,32009,local,2016
Thatch/Straw Roof,450,32009,local,2016
Tile/Slate Roof,6317,32009,local,2016
Wood/Planks Roof,61,32009,local,2016
Galvanized Iron Plate,23,32012,local,2016
Mud Roof,0,32012,local,2016
Not Stated Roof,269,32012,local,2016
Other Type of Roof,5,32012,local,2016
RCC Roof,432,32012,local,2016
Thatch/Straw Roof,990,32012,local,2016
Tile/Slate Roof,3719,32012,local,2016
Wood/Planks Roof,41,32012,local,2016
Galvanized Iron Plate,28,32013,local,2016
Mud Roof,0,32013,local,2016
Not Stated Roof,157,32013,local,2016
Other Type of Roof,8,32013,local,2016
RCC Roof,297,32013,local,2016
Thatch/Straw Roof,608,32013,local,2016
Tile/Slate Roof,2722,32013,local,2016
Wood/Planks Roof,10,32013,local,2016
Galvanized Iron Plate,41,32008,local,2016
Mud Roof,0,32008,local,2016
Not Stated Roof,144,32008,local,2016
Other Type of Roof,50,32008,local,2016
RCC Roof,2137,32008,local,2016
Thatch/Straw Roof,675,32008,local,2016
Tile/Slate Roof,2544,32008,local,2016
Wood/Planks Roof,44,32008,local,2016
Galvanized Iron Plate,4748,08,district,2016
Mud Roof,0,08,district,2016
Not Stated Roof,1647,08,district,2016
Other Type of Roof,300,08,district,2016
RCC Roof,21462,08,district,2016
Thatch/Straw Roof,17103,08,district,2016
Tile/Slate Roof,62433,08,district,2016
Wood/Planks Roof,907,08,district,2016
Galvanized Iron Plate,24,33014,local,2016
Mud Roof,0,33014,local,2016
Not Stated Roof,55,33014,local,2016
Other Type of Roof,5,33014,local,2016
RCC Roof,1047,33014,local,2016
Thatch/Straw Roof,705,33014,local,2016
Tile/Slate Roof,1746,33014,local,2016
Wood/Planks Roof,44,33014,local,2016
Galvanized Iron Plate,30,33016,local,2016
Mud Roof,0,33016,local,2016
Not Stated Roof,102,33016,local,2016
Other Type of Roof,15,33016,local,2016
RCC Roof,444,33016,local,2016
Thatch/Straw Roof,696,33016,local,2016
Tile/Slate Roof,2742,33016,local,2016
Wood/Planks Roof,6,33016,local,2016
Galvanized Iron Plate,53,33012,local,2016
Mud Roof,0,33012,local,2016
Not Stated Roof,96,33012,local,2016
Other Type of Roof,6,33012,local,2016
RCC Roof,1324,33012,local,2016
Thatch/Straw Roof,431,33012,local,2016
Tile/Slate Roof,1232,33012,local,2016
Wood/Planks Roof,24,33012,local,2016
Galvanized Iron Plate,32,33007,local,2016
Mud Roof,0,33007,local,2016
Not Stated Roof,62,33007,local,2016
Other Type of Roof,9,33007,local,2016
RCC Roof,305,33007,local,2016
Thatch/Straw Roof,418,33007,local,2016
Tile/Slate Roof,3333,33007,local,2016
Wood/Planks Roof,14,33007,local,2016
Galvanized Iron Plate,43,33004,local,2016
Mud Roof,0,33004,local,2016
Not Stated Roof,157,33004,local,2016
Other Type of Roof,4,33004,local,2016
RCC Roof,437,33004,local,2016
Thatch/Straw Roof,992,33004,local,2016
Tile/Slate Roof,1532,33004,local,2016
Wood/Planks Roof,20,33004,local,2016
Galvanized Iron Plate,269,33010,local,2016
Mud Roof,0,33010,local,2016
Not Stated Roof,74,33010,local,2016
Other Type of Roof,12,33010,local,2016
RCC Roof,608,33010,local,2016
Thatch/Straw Roof,545,33010,local,2016
Tile/Slate Roof,5582,33010,local,2016
Wood/Planks Roof,72,33010,local,2016
Galvanized Iron Plate,20,33002,local,2016
Mud Roof,0,33002,local,2016
Not Stated Roof,28,33002,local,2016
Other Type of Roof,22,33002,local,2016
RCC Roof,407,33002,local,2016
Thatch/Straw Roof,757,33002,local,2016
Tile/Slate Roof,3019,33002,local,2016
Wood/Planks Roof,17,33002,local,2016
Galvanized Iron Plate,3541,33005,local,2016
Mud Roof,0,33005,local,2016
Not Stated Roof,259,33005,local,2016
Other Type of Roof,49,33005,local,2016
RCC Roof,5524,33005,local,2016
Thatch/Straw Roof,2206,33005,local,2016
Tile/Slate Roof,9886,33005,local,2016
Wood/Planks Roof,205,33005,local,2016
Galvanized Iron Plate,33,33001,local,2016
Mud Roof,0,33001,local,2016
Not Stated Roof,37,33001,local,2016
Other Type of Roof,17,33001,local,2016
RCC Roof,370,33001,local,2016
Thatch/Straw Roof,861,33001,local,2016
Tile/Slate Roof,2634,33001,local,2016
Wood/Planks Roof,8,33001,local,2016
Galvanized Iron Plate,28,33013,local,2016
Mud Roof,0,33013,local,2016
Not Stated Roof,13,33013,local,2016
Other Type of Roof,3,33013,local,2016
RCC Roof,890,33013,local,2016
Thatch/Straw Roof,1035,33013,local,2016
Tile/Slate Roof,1611,33013,local,2016
Wood/Planks Roof,5,33013,local,2016
Galvanized Iron Plate,52,33011,local,2016
Mud Roof,0,33011,local,2016
Not Stated Roof,54,33011,local,2016
Other Type of Roof,28,33011,local,2016
RCC Roof,660,33011,local,2016
Thatch/Straw Roof,792,33011,local,2016
Tile/Slate Roof,3075,33011,local,2016
Wood/Planks Roof,46,33011,local,2016
Galvanized Iron Plate,45,33009,local,2016
Mud Roof,0,33009,local,2016
Not Stated Roof,134,33009,local,2016
Other Type of Roof,34,33009,local,2016
RCC Roof,1319,33009,local,2016
Thatch/Straw Roof,1380,33009,local,2016
Tile/Slate Roof,4808,33009,local,2016
Wood/Planks Roof,53,33009,local,2016
Galvanized Iron Plate,182,33006,local,2016
Mud Roof,0,33006,local,2016
Not Stated Roof,382,33006,local,2016
Other Type of Roof,54,33006,local,2016
RCC Roof,5514,33006,local,2016
Thatch/Straw Roof,3505,33006,local,2016
Tile/Slate Roof,8931,33006,local,2016
Wood/Planks Roof,121,33006,local,2016
Galvanized Iron Plate,73,33003,local,2016
Mud Roof,0,33003,local,2016
Not Stated Roof,44,33003,local,2016
Other Type of Roof,5,33003,local,2016
RCC Roof,952,33003,local,2016
Thatch/Straw Roof,1163,33003,local,2016
Tile/Slate Roof,1139,33003,local,2016
Wood/Planks Roof,19,33003,local,2016
Galvanized Iron Plate,274,33008,local,2016
Mud Roof,0,33008,local,2016
Not Stated Roof,94,33008,local,2016
Other Type of Roof,9,33008,local,2016
RCC Roof,644,33008,local,2016
Thatch/Straw Roof,284,33008,local,2016
Tile/Slate Roof,6771,33008,local,2016
Wood/Planks Roof,35,33008,local,2016
Galvanized Iron Plate,49,33015,local,2016
Mud Roof,0,33015,local,2016
Not Stated Roof,56,33015,local,2016
Other Type of Roof,28,33015,local,2016
RCC Roof,1017,33015,local,2016
Thatch/Straw Roof,1333,33015,local,2016
Tile/Slate Roof,4392,33015,local,2016
Wood/Planks Roof,218,33015,local,2016
Galvanized Iron Plate,3076,19,district,2016
Mud Roof,0,19,district,2016
Not Stated Roof,3391,19,district,2016
Other Type of Roof,127,19,district,2016
RCC Roof,27573,19,district,2016
Thatch/Straw Roof,20142,19,district,2016
Tile/Slate Roof,82263,19,district,2016
Wood/Planks Roof,1653,19,district,2016
Galvanized Iron Plate,175,17013,local,2016
Mud Roof,0,17013,local,2016
Not Stated Roof,128,17013,local,2016
Other Type of Roof,5,17013,local,2016
RCC Roof,500,17013,local,2016
Thatch/Straw Roof,382,17013,local,2016
Tile/Slate Roof,6995,17013,local,2016
Wood/Planks Roof,44,17013,local,2016
Galvanized Iron Plate,161,17017,local,2016
Mud Roof,0,17017,local,2016
Not Stated Roof,287,17017,local,2016
Other Type of Roof,12,17017,local,2016
RCC Roof,1409,17017,local,2016
Thatch/Straw Roof,2134,17017,local,2016
Tile/Slate Roof,5971,17017,local,2016
Wood/Planks Roof,99,17017,local,2016
Galvanized Iron Plate,95,17004,local,2016
Mud Roof,0,17004,local,2016
Not Stated Roof,123,17004,local,2016
Other Type of Roof,6,17004,local,2016
RCC Roof,1313,17004,local,2016
Thatch/Straw Roof,529,17004,local,2016
Tile/Slate Roof,5627,17004,local,2016
Wood/Planks Roof,82,17004,local,2016
Galvanized Iron Plate,88,17015,local,2016
Mud Roof,0,17015,local,2016
Not Stated Roof,111,17015,local,2016
Other Type of Roof,2,17015,local,2016
RCC Roof,536,17015,local,2016
Thatch/Straw Roof,678,17015,local,2016
Tile/Slate Roof,2677,17015,local,2016
Wood/Planks Roof,38,17015,local,2016
Galvanized Iron Plate,170,17011,local,2016
Mud Roof,0,17011,local,2016
Not Stated Roof,154,17011,local,2016
Other Type of Roof,6,17011,local,2016
RCC Roof,500,17011,local,2016
Thatch/Straw Roof,1590,17011,local,2016
Tile/Slate Roof,4531,17011,local,2016
Wood/Planks Roof,48,17011,local,2016
Galvanized Iron Plate,104,17016,local,2016
Mud Roof,0,17016,local,2016
Not Stated Roof,82,17016,local,2016
Other Type of Roof,4,17016,local,2016
RCC Roof,1017,17016,local,2016
Thatch/Straw Roof,1202,17016,local,2016
Tile/Slate Roof,3921,17016,local,2016
Wood/Planks Roof,35,17016,local,2016
Galvanized Iron Plate,155,17006,local,2016
Mud Roof,0,17006,local,2016
Not Stated Roof,173,17006,local,2016
Other Type of Roof,6,17006,local,2016
RCC Roof,407,17006,local,2016
Thatch/Straw Roof,1383,17006,local,2016
Tile/Slate Roof,6333,17006,local,2016
Wood/Planks Roof,258,17006,local,2016
Galvanized Iron Plate,129,17018,local,2016
Mud Roof,0,17018,local,2016
Not Stated Roof,228,17018,local,2016
Other Type of Roof,3,17018,local,2016
RCC Roof,1077,17018,local,2016
Thatch/Straw Roof,2165,17018,local,2016
Tile/Slate Roof,4933,17018,local,2016
Wood/Planks Roof,136,17018,local,2016
Galvanized Iron Plate,139,17007,local,2016
Mud Roof,0,17007,local,2016
Not Stated Roof,142,17007,local,2016
Other Type of Roof,15,17007,local,2016
RCC Roof,329,17007,local,2016
Thatch/Straw Roof,1130,17007,local,2016
Tile/Slate Roof,5208,17007,local,2016
Wood/Planks Roof,74,17007,local,2016
Galvanized Iron Plate,74,17014,local,2016
Mud Roof,0,17014,local,2016
Not Stated Roof,210,17014,local,2016
Other Type of Roof,4,17014,local,2016
RCC Roof,675,17014,local,2016
Thatch/Straw Roof,1129,17014,local,2016
Tile/Slate Roof,3884,17014,local,2016
Wood/Planks Roof,90,17014,local,2016
Galvanized Iron Plate,128,17012,local,2016
Mud Roof,0,17012,local,2016
Not Stated Roof,96,17012,local,2016
Other Type of Roof,2,17012,local,2016
RCC Roof,808,17012,local,2016
Thatch/Straw Roof,266,17012,local,2016
Tile/Slate Roof,3571,17012,local,2016
Wood/Planks Roof,124,17012,local,2016
Galvanized Iron Plate,49,17005,local,2016
Mud Roof,0,17005,local,2016
Not Stated Roof,119,17005,local,2016
Other Type of Roof,6,17005,local,2016
RCC Roof,706,17005,local,2016
Thatch/Straw Roof,863,17005,local,2016
Tile/Slate Roof,1933,17005,local,2016
Wood/Planks Roof,41,17005,local,2016
Galvanized Iron Plate,45,17001,local,2016
Mud Roof,0,17001,local,2016
Not Stated Roof,61,17001,local,2016
Other Type of Roof,2,17001,local,2016
RCC Roof,724,17001,local,2016
Thatch/Straw Roof,590,17001,local,2016
Tile/Slate Roof,2562,17001,local,2016
Wood/Planks Roof,19,17001,local,2016
Galvanized Iron Plate,193,17009,local,2016
Mud Roof,0,17009,local,2016
Not Stated Roof,117,17009,local,2016
Other Type of Roof,4,17009,local,2016
RCC Roof,671,17009,local,2016
Thatch/Straw Roof,846,17009,local,2016
Tile/Slate Roof,2567,17009,local,2016
Wood/Planks Roof,63,17009,local,2016
Galvanized Iron Plate,926,17010,local,2016
Mud Roof,0,17010,local,2016
Not Stated Roof,760,17010,local,2016
Other Type of Roof,37,17010,local,2016
RCC Roof,14791,17010,local,2016
Thatch/Straw Roof,2327,17010,local,2016
Tile/Slate Roof,11530,17010,local,2016
Wood/Planks Roof,218,17010,local,2016
Galvanized Iron Plate,102,17008,local,2016
Mud Roof,0,17008,local,2016
Not Stated Roof,171,17008,local,2016
Other Type of Roof,2,17008,local,2016
RCC Roof,960,17008,local,2016
Thatch/Straw Roof,1326,17008,local,2016
Tile/Slate Roof,4211,17008,local,2016
Wood/Planks Roof,140,17008,local,2016
Galvanized Iron Plate,173,17003,local,2016
Mud Roof,0,17003,local,2016
Not Stated Roof,348,17003,local,2016
Other Type of Roof,9,17003,local,2016
RCC Roof,1051,17003,local,2016
Thatch/Straw Roof,1330,17003,local,2016
Tile/Slate Roof,2800,17003,local,2016
Wood/Planks Roof,106,17003,local,2016
Galvanized Iron Plate,170,17002,local,2016
Mud Roof,0,17002,local,2016
Not Stated Roof,81,17002,local,2016
Other Type of Roof,2,17002,local,2016
RCC Roof,99,17002,local,2016
Thatch/Straw Roof,272,17002,local,2016
Tile/Slate Roof,3009,17002,local,2016
Wood/Planks Roof,38,17002,local,2016
Galvanized Iron Plate,41860,7,province,2016
Mud Roof,2328,7,province,2016
Not Stated Roof,4671,7,province,2016
Other Type of Roof,2756,7,province,2016
RCC Roof,50209,7,province,2016
Thatch/Straw Roof,62422,7,province,2016
Tile/Slate Roof,303202,7,province,2016
Wood/Planks Roof,2255,7,province,2016
Galvanized Iron Plate,581,04,district,2016
Mud Roof,37,04,district,2016
Not Stated Roof,326,04,district,2016
Other Type of Roof,16,04,district,2016
RCC Roof,1056,04,district,2016
