roof type,total,geo_code,geo_level,geo_version
Not Stated Roof,169,26002,local,2016
Other Type of Roof,16,26002,local,2016
RCC Roof,3626,26002,local,2016
Thatch/Straw Roof,442,26002,local,2016
Tile/Slate Roof,2653,26002,local,2016
Wood/Planks Roof,22,26002,local,2016
Galvanized Iron Plate,3365,26003,local,2016
Mud Roof,8,26003,local,2016
Not Stated Roof,360,26003,local,2016
Other Type of Roof,40,26003,local,2016
RCC Roof,15193,26003,local,2016
Thatch/Straw Roof,81,26003,local,2016
Tile/Slate Roof,1176,26003,local,2016
Wood/Planks Roof,79,26003,local,2016
Galvanized Iron Plate,8055,26001,local,2016
Mud Roof,4,26001,local,2016
Not Stated Roof,325,26001,local,2016
Other Type of Roof,24,26001,local,2016
RCC Roof,8190,26001,local,2016
Thatch/Straw Roof,91,26001,local,2016
Tile/Slate Roof,910,26001,local,2016
Wood/Planks Roof,40,26001,local,2016
Galvanized Iron Plate,16640,20,district,2016
Mud Roof,9,20,district,2016
Not Stated Roof,245,20,district,2016
Other Type of Roof,155,20,district,2016
RCC Roof,1572,20,district,2016
Thatch/Straw Roof,2424,20,district,2016
Tile/Slate Roof,22379,20,district,2016
Wood/Planks Roof,2234,20,district,2016
Galvanized Iron Plate,356,22003,local,2016
Mud Roof,2,22003,local,2016
Not Stated Roof,32,22003,local,2016
Other Type of Roof,23,22003,local,2016
RCC Roof,8,22003,local,2016
Thatch/Straw Roof,82,22003,local,2016
Tile/Slate Roof,3529,22003,local,2016
Wood/Planks Roof,386,22003,local,2016
Galvanized Iron Plate,2644,22008,local,2016
Mud Roof,2,22008,local,2016
Not Stated Roof,22,22008,local,2016
Other Type of Roof,9,22008,local,2016
RCC Roof,13,22008,local,2016
Thatch/Straw Roof,139,22008,local,2016
Tile/Slate Roof,1996,22008,local,2016
Wood/Planks Roof,133,22008,local,2016
Galvanized Iron Plate,1353,22009,local,2016
Mud Roof,0,22009,local,2016
Not Stated Roof,9,22009,local,2016
Other Type of Roof,26,22009,local,2016
RCC Roof,22,22009,local,2016
Thatch/Straw Roof,480,22009,local,2016
Tile/Slate Roof,2453,22009,local,2016
Wood/Planks Roof,2,22009,local,2016
Galvanized Iron Plate,5424,22002,local,2016
Mud Roof,0,22002,local,2016
Not Stated Roof,45,22002,local,2016
Other Type of Roof,32,22002,local,2016
RCC Roof,1370,22002,local,2016
Thatch/Straw Roof,391,22002,local,2016
Tile/Slate Roof,1349,22002,local,2016
Wood/Planks Roof,28,22002,local,2016
Galvanized Iron Plate,679,22004,local,2016
Mud Roof,2,22004,local,2016
Not Stated Roof,53,22004,local,2016
