main type of cooking fuel,total,geo_code,geo_level,geo_version
KeroseneFuel,58,15004,local,2016
LP Gas,91,15004,local,2016
Not Stated about Fuel,35,15004,local,2016
OthersFuel,4,15004,local,2016
Wood/FireWood,1103,15004,local,2016
Bio-Gas Fuel,17,15008,local,2016
Cow Dung,5629,15008,local,2016
Electricity Fuel,1,15008,local,2016
KeroseneFuel,178,15008,local,2016
LP Gas,155,15008,local,2016
Not Stated about Fuel,105,15008,local,2016
OthersFuel,12,15008,local,2016
Wood/FireWood,2055,15008,local,2016
Bio-Gas Fuel,2,15003,local,2016
Cow Dung,4787,15003,local,2016
Electricity Fuel,0,15003,local,2016
KeroseneFuel,95,15003,local,2016
LP Gas,17,15003,local,2016
Not Stated about Fuel,80,15003,local,2016
OthersFuel,3,15003,local,2016
Wood/FireWood,258,15003,local,2016
Bio-Gas Fuel,12,15018,local,2016
Cow Dung,2791,15018,local,2016
Electricity Fuel,0,15018,local,2016
KeroseneFuel,101,15018,local,2016
LP Gas,27,15018,local,2016
Not Stated about Fuel,72,15018,local,2016
OthersFuel,5,15018,local,2016
Wood/FireWood,1070,15018,local,2016
Bio-Gas Fuel,25,15012,local,2016
Cow Dung,4490,15012,local,2016
Electricity Fuel,19,15012,local,2016
KeroseneFuel,193,15012,local,2016
LP Gas,3652,15012,local,2016
Not Stated about Fuel,213,15012,local,2016
OthersFuel,26,15012,local,2016
Wood/FireWood,4732,15012,local,2016
Bio-Gas Fuel,46,15001,local,2016
Cow Dung,1315,15001,local,2016
Electricity Fuel,0,15001,local,2016
KeroseneFuel,89,15001,local,2016
LP Gas,53,15001,local,2016
Not Stated about Fuel,128,15001,local,2016
OthersFuel,2,15001,local,2016
Wood/FireWood,3789,15001,local,2016
Bio-Gas Fuel,16,15016,local,2016
Cow Dung,4824,15016,local,2016
Electricity Fuel,3,15016,local,2016
KeroseneFuel,137,15016,local,2016
LP Gas,36,15016,local,2016
Not Stated about Fuel,90,15016,local,2016
OthersFuel,3,15016,local,2016
Wood/FireWood,3541,15016,local,2016
Bio-Gas Fuel,6,15013,local,2016
Cow Dung,2984,15013,local,2016
Electricity Fuel,2,15013,local,2016
KeroseneFuel,67,15013,local,2016
LP Gas,33,15013,local,2016
Not Stated about Fuel,29,15013,local,2016
OthersFuel,2,15013,local,2016
Wood/FireWood,1889,15013,local,2016
Bio-Gas Fuel,7,15017,local,2016
Cow Dung,4241,15017,local,2016
Electricity Fuel,0,15017,local,2016
KeroseneFuel,102,15017,local,2016
LP Gas,41,15017,local,2016
Not Stated about Fuel,22,15017,local,2016
OthersFuel,8,15017,local,2016
Wood/FireWood,1276,15017,local,2016
Bio-Gas Fuel,3,15015,local,2016
Cow Dung,3281,15015,local,2016
Electricity Fuel,6,15015,local,2016
KeroseneFuel,111,15015,local,2016
LP Gas,104,15015,local,2016
Not Stated about Fuel,61,15015,local,2016
OthersFuel,5,15015,local,2016
Wood/FireWood,3193,15015,local,2016
Bio-Gas Fuel,45,15014,local,2016
Cow Dung,907,15014,local,2016
Electricity Fuel,0,15014,local,2016
KeroseneFuel,31,15014,local,2016
LP Gas,207,15014,local,2016
Not Stated about Fuel,52,15014,local,2016
OthersFuel,12,15014,local,2016
Wood/FireWood,3285,15014,local,2016
Bio-Gas Fuel,13,15011,local,2016
Cow Dung,4421,15011,local,2016
Electricity Fuel,1,15011,local,2016
KeroseneFuel,186,15011,local,2016
LP Gas,40,15011,local,2016
Not Stated about Fuel,94,15011,local,2016
OthersFuel,6,15011,local,2016
Wood/FireWood,634,15011,local,2016
Bio-Gas Fuel,49,15009,local,2016
Cow Dung,2401,15009,local,2016
Electricity Fuel,3,15009,local,2016
KeroseneFuel,151,15009,local,2016
LP Gas,284,15009,local,2016
Not Stated about Fuel,130,15009,local,2016
OthersFuel,46,15009,local,2016
Wood/FireWood,7128,15009,local,2016
Bio-Gas Fuel,91,15006,local,2016
Cow Dung,4048,15006,local,2016
Electricity Fuel,0,15006,local,2016
KeroseneFuel,103,15006,local,2016
LP Gas,38,15006,local,2016
Not Stated about Fuel,209,15006,local,2016
OthersFuel,5,15006,local,2016
Wood/FireWood,945,15006,local,2016
Bio-Gas Fuel,768,57,district,2016
Cow Dung,40456,57,district,2016
Electricity Fuel,14,57,district,2016
KeroseneFuel,1648,57,district,2016
LP Gas,2263,57,district,2016
Not Stated about Fuel,1667,57,district,2016
OthersFuel,1968,57,district,2016
Wood/FireWood,57868,57,district,2016
Bio-Gas Fuel,1,32002,local,2016
Cow Dung,1458,32002,local,2016
Electricity Fuel,0,32002,local,2016
KeroseneFuel,81,32002,local,2016
LP Gas,1,32002,local,2016
Not Stated about Fuel,114,32002,local,2016
OthersFuel,10,32002,local,2016
Wood/FireWood,4709,32002,local,2016
Bio-Gas Fuel,6,32001,local,2016
Cow Dung,2436,32001,local,2016
Electricity Fuel,0,32001,local,2016
KeroseneFuel,150,32001,local,2016
LP Gas,34,32001,local,2016
Not Stated about Fuel,52,32001,local,2016
OthersFuel,61,32001,local,2016
Wood/FireWood,2068,32001,local,2016
Bio-Gas Fuel,12,32005,local,2016
Cow Dung,1440,32005,local,2016
Electricity Fuel,0,32005,local,2016
KeroseneFuel,49,32005,local,2016
LP Gas,138,32005,local,2016
Not Stated about Fuel,32,32005,local,2016
OthersFuel,229,32005,local,2016
Wood/FireWood,1912,32005,local,2016
Bio-Gas Fuel,493,32003,local,2016
Cow Dung,111,32003,local,2016
Electricity Fuel,4,32003,local,2016
KeroseneFuel,72,32003,local,2016
LP Gas,515,32003,local,2016
Not Stated about Fuel,144,32003,local,2016
OthersFuel,1,32003,local,2016
Wood/FireWood,12105,32003,local,2016
Bio-Gas Fuel,13,32010,local,2016
Cow Dung,3083,32010,local,2016
Electricity Fuel,0,32010,local,2016
KeroseneFuel,127,32010,local,2016
LP Gas,35,32010,local,2016
Not Stated about Fuel,125,32010,local,2016
OthersFuel,175,32010,local,2016
Wood/FireWood,2276,32010,local,2016
Bio-Gas Fuel,114,32015,local,2016
Cow Dung,2026,32015,local,2016
Electricity Fuel,1,32015,local,2016
KeroseneFuel,63,32015,local,2016
LP Gas,34,32015,local,2016
Not Stated about Fuel,64,32015,local,2016
OthersFuel,5,32015,local,2016
Wood/FireWood,3326,32015,local,2016
Bio-Gas Fuel,7,32011,local,2016
Cow Dung,1831,32011,local,2016
Electricity Fuel,0,32011,local,2016
KeroseneFuel,81,32011,local,2016
LP Gas,18,32011,local,2016
Not Stated about Fuel,81,32011,local,2016
OthersFuel,112,32011,local,2016
Wood/FireWood,3789,32011,local,2016
Bio-Gas Fuel,10,32006,local,2016
Cow Dung,3136,32006,local,2016
Electricity Fuel,1,32006,local,2016
KeroseneFuel,100,32006,local,2016
LP Gas,14,32006,local,2016
Not Stated about Fuel,120,32006,local,2016
OthersFuel,219,32006,local,2016
Wood/FireWood,2469,32006,local,2016
Bio-Gas Fuel,5,32016,local,2016
Cow Dung,2957,32016,local,2016
Electricity Fuel,0,32016,local,2016
KeroseneFuel,151,32016,local,2016
LP Gas,59,32016,local,2016
Not Stated about Fuel,83,32016,local,2016
OthersFuel,4,32016,local,2016
Wood/FireWood,2106,32016,local,2016
Bio-Gas Fuel,12,32017,local,2016
Cow Dung,2770,32017,local,2016
Electricity Fuel,0,32017,local,2016
KeroseneFuel,130,32017,local,2016
LP Gas,16,32017,local,2016
Not Stated about Fuel,75,32017,local,2016
OthersFuel,483,32017,local,2016
Wood/FireWood,2282,32017,local,2016
Bio-Gas Fuel,5,32018,local,2016
Cow Dung,2179,32018,local,2016
Electricity Fuel,0,32018,local,2016
KeroseneFuel,36,32018,local,2016
LP Gas,8,32018,local,2016
Not Stated about Fuel,31,32018,local,2016
OthersFuel,93,32018,local,2016
Wood/FireWood,1424,32018,local,2016
Bio-Gas Fuel,13,32007,local,2016
Cow Dung,3111,32007,local,2016
Electricity Fuel,2,32007,local,2016
KeroseneFuel,141,32007,local,2016
LP Gas,175,32007,local,2016
Not Stated about Fuel,96,32007,local,2016
OthersFuel,304,32007,local,2016
Wood/FireWood,3602,32007,local,2016
Bio-Gas Fuel,9,32014,local,2016
Cow Dung,3443,32014,local,2016
Electricity Fuel,0,32014,local,2016
KeroseneFuel,84,32014,local,2016
LP Gas,14,32014,local,2016
Not Stated about Fuel,143,32014,local,2016
OthersFuel,195,32014,local,2016
Wood/FireWood,1492,32014,local,2016
Bio-Gas Fuel,14,32004,local,2016
Cow Dung,3305,32004,local,2016
Electricity Fuel,1,32004,local,2016
KeroseneFuel,70,32004,local,2016
LP Gas,12,32004,local,2016
Not Stated about Fuel,64,32004,local,2016
OthersFuel,16,32004,local,2016
Wood/FireWood,1209,32004,local,2016
Bio-Gas Fuel,33,32009,local,2016
Cow Dung,53,32009,local,2016
Electricity Fuel,2,32009,local,2016
KeroseneFuel,71,32009,local,2016
LP Gas,10,32009,local,2016
Not Stated about Fuel,188,32009,local,2016
OthersFuel,1,32009,local,2016
Wood/FireWood,7033,32009,local,2016
Bio-Gas Fuel,9,32012,local,2016
Cow Dung,3600,32012,local,2016
Electricity Fuel,0,32012,local,2016
KeroseneFuel,95,32012,local,2016
LP Gas,18,32012,local,2016
Not Stated about Fuel,58,32012,local,2016
OthersFuel,25,32012,local,2016
Wood/FireWood,1674,32012,local,2016
Bio-Gas Fuel,5,32013,local,2016
Cow Dung,2446,32013,local,2016
Electricity Fuel,0,32013,local,2016
KeroseneFuel,52,32013,local,2016
LP Gas,17,32013,local,2016
Not Stated about Fuel,90,32013,local,2016
OthersFuel,21,32013,local,2016
Wood/FireWood,1199,32013,local,2016
Bio-Gas Fuel,7,32008,local,2016
Cow Dung,1071,32008,local,2016
Electricity Fuel,3,32008,local,2016
KeroseneFuel,95,32008,local,2016
LP Gas,1145,32008,local,2016
Not Stated about Fuel,107,32008,local,2016
OthersFuel,14,32008,local,2016
Wood/FireWood,3193,32008,local,2016
Bio-Gas Fuel,2033,08,district,2016
Cow Dung,24841,08,district,2016
Electricity Fuel,37,08,district,2016
KeroseneFuel,1047,08,district,2016
LP Gas,5117,08,district,2016
Not Stated about Fuel,1165,08,district,2016
OthersFuel,1350,08,district,2016
Wood/FireWood,73010,08,district,2016
Bio-Gas Fuel,9,33014,local,2016
Cow Dung,1023,33014,local,2016
Electricity Fuel,1,33014,local,2016
KeroseneFuel,28,33014,local,2016
LP Gas,101,33014,local,2016
Not Stated about Fuel,59,33014,local,2016
OthersFuel,1,33014,local,2016
Wood/FireWood,2404,33014,local,2016
Bio-Gas Fuel,11,33016,local,2016
Cow Dung,3199,33016,local,2016
Electricity Fuel,0,33016,local,2016
KeroseneFuel,51,33016,local,2016
LP Gas,2,33016,local,2016
Not Stated about Fuel,68,33016,local,2016
OthersFuel,129,33016,local,2016
Wood/FireWood,575,33016,local,2016
Bio-Gas Fuel,1,33012,local,2016
Cow Dung,329,33012,local,2016
Electricity Fuel,1,33012,local,2016
KeroseneFuel,18,33012,local,2016
LP Gas,53,33012,local,2016
Not Stated about Fuel,35,33012,local,2016
OthersFuel,19,33012,local,2016
Wood/FireWood,2710,33012,local,2016
Bio-Gas Fuel,1,33007,local,2016
Cow Dung,458,33007,local,2016
Electricity Fuel,0,33007,local,2016
KeroseneFuel,29,33007,local,2016
LP Gas,5,33007,local,2016
Not Stated about Fuel,36,33007,local,2016
OthersFuel,3,33007,local,2016
Wood/FireWood,3641,33007,local,2016
Bio-Gas Fuel,14,33004,local,2016
Cow Dung,2373,33004,local,2016
Electricity Fuel,0,33004,local,2016
KeroseneFuel,43,33004,local,2016
LP Gas,15,33004,local,2016
Not Stated about Fuel,113,33004,local,2016
OthersFuel,120,33004,local,2016
Wood/FireWood,507,33004,local,2016
Bio-Gas Fuel,635,33010,local,2016
Cow Dung,10,33010,local,2016
Electricity Fuel,3,33010,local,2016
KeroseneFuel,26,33010,local,2016
LP Gas,319,33010,local,2016
Not Stated about Fuel,42,33010,local,2016
OthersFuel,2,33010,local,2016
Wood/FireWood,6125,33010,local,2016
Bio-Gas Fuel,7,33002,local,2016
Cow Dung,1567,33002,local,2016
Electricity Fuel,1,33002,local,2016
KeroseneFuel,60,33002,local,2016
LP Gas,11,33002,local,2016
Not Stated about Fuel,21,33002,local,2016
OthersFuel,303,33002,local,2016
Wood/FireWood,2300,33002,local,2016
Bio-Gas Fuel,922,33005,local,2016
Cow Dung,141,33005,local,2016
Electricity Fuel,19,33005,local,2016
KeroseneFuel,135,33005,local,2016
LP Gas,2608,33005,local,2016
Not Stated about Fuel,172,33005,local,2016
OthersFuel,26,33005,local,2016
Wood/FireWood,17647,33005,local,2016
Bio-Gas Fuel,2,33001,local,2016
Cow Dung,2008,33001,local,2016
Electricity Fuel,0,33001,local,2016
KeroseneFuel,35,33001,local,2016
LP Gas,8,33001,local,2016
Not Stated about Fuel,21,33001,local,2016
OthersFuel,255,33001,local,2016
Wood/FireWood,1631,33001,local,2016
Bio-Gas Fuel,1,33013,local,2016
Cow Dung,1034,33013,local,2016
Electricity Fuel,0,33013,local,2016
KeroseneFuel,27,33013,local,2016
LP Gas,17,33013,local,2016
Not Stated about Fuel,20,33013,local,2016
OthersFuel,33,33013,local,2016
Wood/FireWood,2453,33013,local,2016
Bio-Gas Fuel,14,33011,local,2016
Cow Dung,2542,33011,local,2016
Electricity Fuel,0,33011,local,2016
KeroseneFuel,89,33011,local,2016
LP Gas,11,33011,local,2016
Not Stated about Fuel,52,33011,local,2016
OthersFuel,137,33011,local,2016
Wood/FireWood,1862,33011,local,2016
Bio-Gas Fuel,4,33009,local,2016
Cow Dung,2237,33009,local,2016
Electricity Fuel,2,33009,local,2016
KeroseneFuel,76,33009,local,2016
LP Gas,70,33009,local,2016
Not Stated about Fuel,95,33009,local,2016
OthersFuel,63,33009,local,2016
Wood/FireWood,5226,33009,local,2016
Bio-Gas Fuel,92,33006,local,2016
Cow Dung,3223,33006,local,2016
Electricity Fuel,8,33006,local,2016
KeroseneFuel,227,33006,local,2016
LP Gas,1693,33006,local,2016
Not Stated about Fuel,279,33006,local,2016
OthersFuel,40,33006,local,2016
Wood/FireWood,13127,33006,local,2016
Bio-Gas Fuel,13,33003,local,2016
Cow Dung,1921,33003,local,2016
Electricity Fuel,0,33003,local,2016
KeroseneFuel,33,33003,local,2016
LP Gas,55,33003,local,2016
Not Stated about Fuel,36,33003,local,2016
OthersFuel,2,33003,local,2016
Wood/FireWood,1335,33003,local,2016
Bio-Gas Fuel,286,33008,local,2016
Cow Dung,34,33008,local,2016
Electricity Fuel,0,33008,local,2016
KeroseneFuel,33,33008,local,2016
LP Gas,108,33008,local,2016
Not Stated about Fuel,62,33008,local,2016
OthersFuel,26,33008,local,2016
Wood/FireWood,7562,33008,local,2016
Bio-Gas Fuel,21,33015,local,2016
Cow Dung,2742,33015,local,2016
Electricity Fuel,2,33015,local,2016
KeroseneFuel,137,33015,local,2016
LP Gas,41,33015,local,2016
Not Stated about Fuel,54,33015,local,2016
OthersFuel,191,33015,local,2016
Wood/FireWood,3905,33015,local,2016
Bio-Gas Fuel,356,19,district,2016
Cow Dung,60380,19,district,2016
Electricity Fuel,36,19,district,2016
KeroseneFuel,1524,19,district,2016
LP Gas,13988,19,district,2016
Not Stated about Fuel,2347,19,district,2016
OthersFuel,852,19,district,2016
Wood/FireWood,58742,19,district,2016
Bio-Gas Fuel,175,17013,local,2016
Cow Dung,425,17013,local,2016
Electricity Fuel,4,17013,local,2016
KeroseneFuel,42,17013,local,2016
LP Gas,210,17013,local,2016
Not Stated about Fuel,86,17013,local,2016
OthersFuel,10,17013,local,2016
Wood/FireWood,7277,17013,local,2016
Bio-Gas Fuel,13,17017,local,2016
Cow Dung,5568,17017,local,2016
Electricity Fuel,0,17017,local,2016
KeroseneFuel,98,17017,local,2016
LP Gas,198,17017,local,2016
Not Stated about Fuel,257,17017,local,2016
OthersFuel,84,17017,local,2016
Wood/FireWood,3855,17017,local,2016
Bio-Gas Fuel,19,17004,local,2016
Cow Dung,2370,17004,local,2016
Electricity Fuel,1,17004,local,2016
KeroseneFuel,63,17004,local,2016
LP Gas,565,17004,local,2016
Not Stated about Fuel,104,17004,local,2016
OthersFuel,32,17004,local,2016
Wood/FireWood,4621,17004,local,2016
Bio-Gas Fuel,8,17015,local,2016
Cow Dung,2787,17015,local,2016
Electricity Fuel,2,17015,local,2016
KeroseneFuel,42,17015,local,2016
LP Gas,32,17015,local,2016
Not Stated about Fuel,39,17015,local,2016
OthersFuel,16,17015,local,2016
Wood/FireWood,1204,17015,local,2016
Bio-Gas Fuel,9,17011,local,2016
Cow Dung,5294,17011,local,2016
Electricity Fuel,0,17011,local,2016
KeroseneFuel,100,17011,local,2016
LP Gas,11,17011,local,2016
Not Stated about Fuel,120,17011,local,2016
OthersFuel,15,17011,local,2016
Wood/FireWood,1450,17011,local,2016
Bio-Gas Fuel,7,17016,local,2016
Cow Dung,4036,17016,local,2016
Electricity Fuel,0,17016,local,2016
KeroseneFuel,62,17016,local,2016
LP Gas,123,17016,local,2016
Not Stated about Fuel,55,17016,local,2016
OthersFuel,155,17016,local,2016
Wood/FireWood,1927,17016,local,2016
Bio-Gas Fuel,8,17006,local,2016
Cow Dung,1851,17006,local,2016
Electricity Fuel,0,17006,local,2016
KeroseneFuel,52,17006,local,2016
LP Gas,108,17006,local,2016
Not Stated about Fuel,105,17006,local,2016
OthersFuel,2,17006,local,2016
Wood/FireWood,6589,17006,local,2016
Bio-Gas Fuel,8,17018,local,2016
Cow Dung,6667,17018,local,2016
Electricity Fuel,2,17018,local,2016
KeroseneFuel,48,17018,local,2016
LP Gas,92,17018,local,2016
Not Stated about Fuel,186,17018,local,2016
OthersFuel,65,17018,local,2016
Wood/FireWood,1603,17018,local,2016
Bio-Gas Fuel,14,17007,local,2016
Cow Dung,784,17007,local,2016
Electricity Fuel,0,17007,local,2016
KeroseneFuel,76,17007,local,2016
LP Gas,62,17007,local,2016
Not Stated about Fuel,98,17007,local,2016
OthersFuel,4,17007,local,2016
Wood/FireWood,5999,17007,local,2016
Bio-Gas Fuel,13,17014,local,2016
Cow Dung,3919,17014,local,2016
Electricity Fuel,4,17014,local,2016
KeroseneFuel,47,17014,local,2016
LP Gas,56,17014,local,2016
Not Stated about Fuel,138,17014,local,2016
OthersFuel,110,17014,local,2016
Wood/FireWood,1779,17014,local,2016
Bio-Gas Fuel,21,17012,local,2016
Cow Dung,3215,17012,local,2016
Electricity Fuel,2,17012,local,2016
KeroseneFuel,53,17012,local,2016
LP Gas,92,17012,local,2016
Not Stated about Fuel,32,17012,local,2016
OthersFuel,11,17012,local,2016
Wood/FireWood,1569,17012,local,2016
Bio-Gas Fuel,4,17005,local,2016
Cow Dung,2396,17005,local,2016
Electricity Fuel,2,17005,local,2016
KeroseneFuel,33,17005,local,2016
LP Gas,31,17005,local,2016
Not Stated about Fuel,109,17005,local,2016
OthersFuel,0,17005,local,2016
Wood/FireWood,1142,17005,local,2016
Bio-Gas Fuel,7,17001,local,2016
Cow Dung,3028,17001,local,2016
Electricity Fuel,5,17001,local,2016
KeroseneFuel,43,17001,local,2016
LP Gas,45,17001,local,2016
Not Stated about Fuel,48,17001,local,2016
OthersFuel,28,17001,local,2016
Wood/FireWood,799,17001,local,2016
Bio-Gas Fuel,8,17009,local,2016
Cow Dung,3049,17009,local,2016
Electricity Fuel,1,17009,local,2016
KeroseneFuel,87,17009,local,2016
LP Gas,18,17009,local,2016
Not Stated about Fuel,73,17009,local,2016
OthersFuel,5,17009,local,2016
Wood/FireWood,1220,17009,local,2016
Bio-Gas Fuel,20,17010,local,2016
Cow Dung,6390,17010,local,2016
Electricity Fuel,8,17010,local,2016
KeroseneFuel,499,17010,local,2016
LP Gas,12235,17010,local,2016
Not Stated about Fuel,531,17010,local,2016
OthersFuel,85,17010,local,2016
Wood/FireWood,10821,17010,local,2016
Bio-Gas Fuel,5,17008,local,2016
Cow Dung,4141,17008,local,2016
Electricity Fuel,1,17008,local,2016
KeroseneFuel,65,17008,local,2016
LP Gas,48,17008,local,2016
Not Stated about Fuel,101,17008,local,2016
OthersFuel,214,17008,local,2016
Wood/FireWood,2337,17008,local,2016
Bio-Gas Fuel,10,17003,local,2016
Cow Dung,3340,17003,local,2016
Electricity Fuel,3,17003,local,2016
KeroseneFuel,67,17003,local,2016
LP Gas,29,17003,local,2016
Not Stated about Fuel,208,17003,local,2016
OthersFuel,14,17003,local,2016
Wood/FireWood,2146,17003,local,2016
Bio-Gas Fuel,7,17002,local,2016
Cow Dung,1120,17002,local,2016
Electricity Fuel,1,17002,local,2016
KeroseneFuel,47,17002,local,2016
LP Gas,33,17002,local,2016
Not Stated about Fuel,57,17002,local,2016
OthersFuel,2,17002,local,2016
Wood/FireWood,2404,17002,local,2016
Bio-Gas Fuel,15651,7,province,2016
Cow Dung,758,7,province,2016
Electricity Fuel,90,7,province,2016
KeroseneFuel,2452,7,province,2016
LP Gas,19422,7,province,2016
Not Stated about Fuel,2745,7,province,2016
OthersFuel,735,7,province,2016
Wood/FireWood,427850,7,province,2016
Bio-Gas Fuel,33,04,district,2016
Cow Dung,43,04,district,2016
Electricity Fuel,3,04,district,2016
KeroseneFuel,266,04,district,2016
LP Gas,396,04,district,2016
Not Stated about Fuel,199,04,district,2016
OthersFuel,17,04,district,2016
Wood/FireWood,44210,04,district,2016
Bio-Gas Fuel,0,74005,local,2016
Cow Dung,3,74005,local,2016
Electricity Fuel,0,74005,local,2016
KeroseneFuel,24,74005,local,2016
LP Gas,0,74005,local,2016
Not Stated about Fuel,11,74005,local,2016
OthersFuel,0,74005,local,2016
Wood/FireWood,3274,74005,local,2016
Bio-Gas Fuel,0,74008,local,2016
Cow Dung,2,74008,local,2016
Electricity Fuel,0,74008,local,2016
KeroseneFuel,27,74008,local,2016
LP Gas,0,74008,local,2016
Not Stated about Fuel,9,74008,local,2016
OthersFuel,1,74008,local,2016
Wood/FireWood,2732,74008,local,2016
Bio-Gas Fuel,5,74010,local,2016
Cow Dung,4,74010,local,2016
Electricity Fuel,0,74010,local,2016
KeroseneFuel,15,74010,local,2016
LP Gas,1,74010,local,2016
Not Stated about Fuel,24,74010,local,2016
OthersFuel,0,74010,local,2016
Wood/FireWood,3272,74010,local,2016
Bio-Gas Fuel,9,74009,local,2016
Cow Dung,9,74009,local,2016
Electricity Fuel,0,74009,local,2016
KeroseneFuel,3,74009,local,2016
LP Gas,0,74009,local,2016
Not Stated about Fuel,27,74009,local,2016
OthersFuel,1,74009,local,2016
Wood/FireWood,3684,74009,local,2016
Bio-Gas Fuel,3,74007,local,2016
Cow Dung,8,74007,local,2016
Electricity Fuel,1,74007,local,2016
KeroseneFuel,33,74007,local,2016
LP Gas,1,74007,local,2016
Not Stated about Fuel,26,74007,local,2016
OthersFuel,0,74007,local,2016
Wood/FireWood,6318,74007,local,2016
Bio-Gas Fuel,1,74003,local,2016
Cow Dung,2,74003,local,2016
Electricity Fuel,1,74003,local,2016
KeroseneFuel,28,74003,local,2016
LP Gas,3,74003,local,2016
Not Stated about Fuel,18,74003,local,2016
OthersFuel,0,74003,local,2016
Wood/FireWood,4506,74003,local,2016
Bio-Gas Fuel,2,74004,local,2016
Cow Dung,2,74004,local,2016
Electricity Fuel,1,74004,local,2016
KeroseneFuel,64,74004,local,2016
LP Gas,0,74004,local,2016
Not Stated about Fuel,23,74004,local,2016
OthersFuel,0,74004,local,2016
Wood/FireWood,3855,74004,local,2016
Bio-Gas Fuel,3,74001,local,2016
Cow Dung,3,74001,local,2016
Electricity Fuel,0,74001,local,2016
KeroseneFuel,37,74001,local,2016
LP Gas,358,74001,local,2016
Not Stated about Fuel,29,74001,local,2016
OthersFuel,12,74001,local,2016
Wood/FireWood,6815,74001,local,2016
Bio-Gas Fuel,6,74002,local,2016
Cow Dung,6,74002,local,2016
Electricity Fuel,0,74002,local,2016
KeroseneFuel,15,74002,local,2016
LP Gas,4,74002,local,2016
Not Stated about Fuel,9,74002,local,2016
OthersFuel,2,74002,local,2016
Wood/FireWood,4068,74002,local,2016
Bio-Gas Fuel,4,74006,local,2016
Cow Dung,4,74006,local,2016
Electricity Fuel,0,74006,local,2016
KeroseneFuel,20,74006,local,2016
LP Gas,29,74006,local,2016
Not Stated about Fuel,23,74006,local,2016
OthersFuel,1,74006,local,2016
Wood/FireWood,5686,74006,local,2016
Bio-Gas Fuel,101,16,district,2016
Cow Dung,0,16,district,2016
Electricity Fuel,5,16,district,2016
KeroseneFuel,641,16,district,2016
LP Gas,819,16,district,2016
Not Stated about Fuel,85,16,district,2016
OthersFuel,63,16,district,2016
Wood/FireWood,22890,16,district,2016
Bio-Gas Fuel,35,75005,local,2016
Cow Dung,0,75005,local,2016
Electricity Fuel,2,75005,local,2016
KeroseneFuel,530,75005,local,2016
LP Gas,780,75005,local,2016
Not Stated about Fuel,11,75005,local,2016
OthersFuel,58,75005,local,2016
Wood/FireWood,3110,75005,local,2016
Bio-Gas Fuel,28,75009,local,2016
Cow Dung,0,75009,local,2016
Electricity Fuel,2,75009,local,2016
KeroseneFuel,31,75009,local,2016
LP Gas,34,75009,local,2016
Not Stated about Fuel,28,75009,local,2016
OthersFuel,3,75009,local,2016
Wood/FireWood,3895,75009,local,2016
Bio-Gas Fuel,0,75001,local,2016
Cow Dung,0,75001,local,2016
Electricity Fuel,0,75001,local,2016
KeroseneFuel,0,75001,local,2016
LP Gas,1,75001,local,2016
Not Stated about Fuel,2,75001,local,2016
OthersFuel,0,75001,local,2016
Wood/FireWood,1082,75001,local,2016
Bio-Gas Fuel,4,75008,local,2016
Cow Dung,0,75008,local,2016
Electricity Fuel,0,75008,local,2016
KeroseneFuel,18,75008,local,2016
LP Gas,1,75008,local,2016
Not Stated about Fuel,13,75008,local,2016
OthersFuel,0,75008,local,2016
Wood/FireWood,2580,75008,local,2016
Bio-Gas Fuel,2,75002,local,2016
Cow Dung,0,75002,local,2016
Electricity Fuel,0,75002,local,2016
KeroseneFuel,16,75002,local,2016
LP Gas,0,75002,local,2016
Not Stated about Fuel,11,75002,local,2016
OthersFuel,0,75002,local,2016
Wood/FireWood,1890,75002,local,2016
Bio-Gas Fuel,17,75004,local,2016
Cow Dung,0,75004,local,2016
Electricity Fuel,0,75004,local,2016
KeroseneFuel,10,75004,local,2016
LP Gas,3,75004,local,2016
Not Stated about Fuel,5,75004,local,2016
OthersFuel,1,75004,local,2016
Wood/FireWood,2815,75004,local,2016
Bio-Gas Fuel,13,75006,local,2016
Cow Dung,0,75006,local,2016
Electricity Fuel,0,75006,local,2016
KeroseneFuel,13,75006,local,2016
LP Gas,0,75006,local,2016
Not Stated about Fuel,5,75006,local,2016
OthersFuel,0,75006,local,2016
Wood/FireWood,3065,75006,local,2016
Bio-Gas Fuel,2,75003,local,2016
Cow Dung,0,75003,local,2016
Electricity Fuel,0,75003,local,2016
KeroseneFuel,18,75003,local,2016
LP Gas,0,75003,local,2016
Not Stated about Fuel,6,75003,local,2016
OthersFuel,0,75003,local,2016
Wood/FireWood,1956,75003,local,2016
Bio-Gas Fuel,0,75007,local,2016
Cow Dung,0,75007,local,2016
Electricity Fuel,1,75007,local,2016
KeroseneFuel,5,75007,local,2016
LP Gas,0,75007,local,2016
Not Stated about Fuel,4,75007,local,2016
OthersFuel,1,75007,local,2016
Wood/FireWood,2497,75007,local,2016
Bio-Gas Fuel,39,13,district,2016
Cow Dung,28,13,district,2016
Electricity Fuel,11,13,district,2016
KeroseneFuel,49,13,district,2016
LP Gas,715,13,district,2016
Not Stated about Fuel,132,13,district,2016
OthersFuel,48,13,district,2016
Wood/FireWood,26001,13,district,2016
Bio-Gas Fuel,8,73006,local,2016
Cow Dung,2,73006,local,2016
Electricity Fuel,0,73006,local,2016
KeroseneFuel,1,73006,local,2016
LP Gas,3,73006,local,2016
Not Stated about Fuel,16,73006,local,2016
