main type of cooking fuel,total,geo_code,geo_level,geo_version
Not Stated about Fuel,12,25001,local,2016
OthersFuel,0,25001,local,2016
Wood/FireWood,2436,25001,local,2016
Bio-Gas Fuel,7,25003,local,2016
Cow Dung,1,25003,local,2016
Electricity Fuel,0,25003,local,2016
KeroseneFuel,4,25003,local,2016
LP Gas,35,25003,local,2016
Not Stated about Fuel,13,25003,local,2016
OthersFuel,0,25003,local,2016
Wood/FireWood,1941,25003,local,2016
Bio-Gas Fuel,128,25006,local,2016
Cow Dung,5,25006,local,2016
Electricity Fuel,0,25006,local,2016
KeroseneFuel,3,25006,local,2016
LP Gas,50,25006,local,2016
Not Stated about Fuel,14,25006,local,2016
OthersFuel,1,25006,local,2016
Wood/FireWood,1741,25006,local,2016
Bio-Gas Fuel,24,25004,local,2016
Cow Dung,38,25004,local,2016
Electricity Fuel,183,25004,local,2016
KeroseneFuel,2401,25004,local,2016
LP Gas,63627,25004,local,2016
Not Stated about Fuel,556,25004,local,2016
OthersFuel,190,25004,local,2016
Wood/FireWood,3237,25004,local,2016
Bio-Gas Fuel,190,10,district,2016
Cow Dung,56,10,district,2016
Electricity Fuel,125,10,district,2016
KeroseneFuel,2095,10,district,2016
LP Gas,47463,10,district,2016
Not Stated about Fuel,415,10,district,2016
OthersFuel,941,10,district,2016
Wood/FireWood,17272,10,district,2016
Bio-Gas Fuel,46,26004,local,2016
Cow Dung,24,26004,local,2016
Electricity Fuel,8,26004,local,2016
KeroseneFuel,424,26004,local,2016
LP Gas,12206,26004,local,2016
Not Stated about Fuel,111,26004,local,2016
OthersFuel,111,26004,local,2016
Wood/FireWood,5516,26004,local,2016
Bio-Gas Fuel,131,26002,local,2016
Cow Dung,11,26002,local,2016
Electricity Fuel,18,26002,local,2016
KeroseneFuel,140,26002,local,2016
LP Gas,4439,26002,local,2016
Not Stated about Fuel,92,26002,local,2016
OthersFuel,61,26002,local,2016
Wood/FireWood,7278,26002,local,2016
Bio-Gas Fuel,9,26003,local,2016
Cow Dung,9,26003,local,2016
Electricity Fuel,18,26003,local,2016
KeroseneFuel,754,26003,local,2016
LP Gas,18168,26003,local,2016
Not Stated about Fuel,119,26003,local,2016
OthersFuel,84,26003,local,2016
Wood/FireWood,1141,26003,local,2016
Bio-Gas Fuel,4,26001,local,2016
Cow Dung,12,26001,local,2016
Electricity Fuel,81,26001,local,2016
KeroseneFuel,777,26001,local,2016
LP Gas,12650,26001,local,2016
Not Stated about Fuel,93,26001,local,2016
OthersFuel,685,26001,local,2016
Wood/FireWood,3337,26001,local,2016
Bio-Gas Fuel,60,20,district,2016
Cow Dung,1,20,district,2016
Electricity Fuel,99,20,district,2016
KeroseneFuel,188,20,district,2016
LP Gas,2065,20,district,2016
Not Stated about Fuel,142,20,district,2016
OthersFuel,22,20,district,2016
Wood/FireWood,43081,20,district,2016
Bio-Gas Fuel,0,22003,local,2016
Cow Dung,0,22003,local,2016
Electricity Fuel,1,22003,local,2016
KeroseneFuel,13,22003,local,2016
LP Gas,41,22003,local,2016
Not Stated about Fuel,19,22003,local,2016
OthersFuel,1,22003,local,2016
Wood/FireWood,4343,22003,local,2016
Bio-Gas Fuel,4,22008,local,2016
Cow Dung,1,22008,local,2016
Electricity Fuel,0,22008,local,2016
KeroseneFuel,10,22008,local,2016
LP Gas,24,22008,local,2016
Not Stated about Fuel,16,22008,local,2016
OthersFuel,1,22008,local,2016
Wood/FireWood,4902,22008,local,2016
Bio-Gas Fuel,4,22009,local,2016
Cow Dung,0,22009,local,2016
Electricity Fuel,92,22009,local,2016
KeroseneFuel,9,22009,local,2016
LP Gas,26,22009,local,2016
Not Stated about Fuel,10,22009,local,2016
OthersFuel,0,22009,local,2016
Wood/FireWood,4204,22009,local,2016
Bio-Gas Fuel,4,22002,local,2016
Cow Dung,0,22002,local,2016
Electricity Fuel,3,22002,local,2016
KeroseneFuel,98,22002,local,2016
LP Gas,1541,22002,local,2016
Not Stated about Fuel,22,22002,local,2016
OthersFuel,15,22002,local,2016
Wood/FireWood,6956,22002,local,2016
Bio-Gas Fuel,1,22004,local,2016
Cow Dung,0,22004,local,2016
Electricity Fuel,0,22004,local,2016
KeroseneFuel,6,22004,local,2016
LP Gas,4,22004,local,2016
Not Stated about Fuel,26,22004,local,2016
OthersFuel,1,22004,local,2016
Wood/FireWood,4029,22004,local,2016
Bio-Gas Fuel,5,22006,local,2016
Cow Dung,0,22006,local,2016
Electricity Fuel,0,22006,local,2016
KeroseneFuel,18,22006,local,2016
LP Gas,54,22006,local,2016
Not Stated about Fuel,15,22006,local,2016
OthersFuel,0,22006,local,2016
Wood/FireWood,5365,22006,local,2016
