toilet type,total,geo_code,geo_level
Not Stated about Toilet,11,43002,local
Ordinary Toilet,1378,43002,local
Without Tiolet,1040,43002,local
Flush toilet (sewerage),50,43004,local
Flush Toilet Septic Tank,1600,43004,local
Not Stated about Toilet,16,43004,local
Ordinary Toilet,1504,43004,local
Without Tiolet,1053,43004,local
Flush toilet (sewerage),34,43001,local
Flush Toilet Septic Tank,1909,43001,local
Not Stated about Toilet,22,43001,local
Ordinary Toilet,1355,43001,local
Without Tiolet,380,43001,local
Flush toilet (sewerage),23,43005,local
Flush Toilet Septic Tank,1909,43005,local
Not Stated about Toilet,2,43005,local
Ordinary Toilet,1670,43005,local
Without Tiolet,221,43005,local
Flush toilet (sewerage),26,43006,local
Flush Toilet Septic Tank,2007,43006,local
Not Stated about Toilet,6,43006,local
Ordinary Toilet,1004,43006,local
Without Tiolet,1055,43006,local
Flush toilet (sewerage),357,39,district
Flush Toilet Septic Tank,24450,39,district
Not Stated about Toilet,146,39,district
Ordinary Toilet,9054,39,district
Without Tiolet,8041,39,district
Flush toilet (sewerage),43,37005,local
Flush Toilet Septic Tank,2849,37005,local
Not Stated about Toilet,17,37005,local
Ordinary Toilet,2126,37005,local
Without Tiolet,853,37005,local
Flush toilet (sewerage),29,37007,local
Flush Toilet Septic Tank,2533,37007,local
Not Stated about Toilet,22,37007,local
Ordinary Toilet,1192,37007,local
Without Tiolet,975,37007,local
Flush toilet (sewerage),108,37001,local
Flush Toilet Septic Tank,8032,37001,local
Not Stated about Toilet,40,37001,local
Ordinary Toilet,1612,37001,local
Without Tiolet,630,37001,local
Flush toilet (sewerage),53,37006,local
Flush Toilet Septic Tank,1894,37006,local
Not Stated about Toilet,10,37006,local
Ordinary Toilet,1151,37006,local
Without Tiolet,1301,37006,local
Flush toilet (sewerage),59,37008,local
Flush Toilet Septic Tank,5550,37008,local
Not Stated about Toilet,39,37008,local
Ordinary Toilet,1259,37008,local
Without Tiolet,292,37008,local
Flush toilet (sewerage),18,37004,local
Flush Toilet Septic Tank,1079,37004,local
Not Stated about Toilet,10,37004,local
Ordinary Toilet,472,37004,local
Without Tiolet,873,37004,local
Flush toilet (sewerage),20,37003,local
Flush Toilet Septic Tank,915,37003,local
Not Stated about Toilet,2,37003,local
Ordinary Toilet,542,37003,local
Without Tiolet,1111,37003,local
Flush toilet (sewerage),27,37002,local
Flush Toilet Septic Tank,1598,37002,local
Not Stated about Toilet,6,37002,local
Ordinary Toilet,700,37002,local
Without Tiolet,2006,37002,local
Flush toilet (sewerage),1376,34,district
Flush Toilet Septic Tank,114625,34,district
Not Stated about Toilet,463,34,district
Ordinary Toilet,7934,34,district
Without Tiolet,1061,34,district
Flush toilet (sewerage),30,40005,local
Flush Toilet Septic Tank,3588,40005,local
Not Stated about Toilet,5,40005,local
Ordinary Toilet,117,40005,local
Without Tiolet,40,40005,local
Flush toilet (sewerage),68,40001,local
Flush Toilet Septic Tank,5120,40001,local
Not Stated about Toilet,22,40001,local
Ordinary Toilet,680,40001,local
Without Tiolet,139,40001,local
Flush toilet (sewerage),33,40003,local
Flush Toilet Septic Tank,4153,40003,local
Not Stated about Toilet,12,40003,local
Ordinary Toilet,225,40003,local
Without Tiolet,85,40003,local
Flush toilet (sewerage),51,40002,local
Flush Toilet Septic Tank,4897,40002,local
Not Stated about Toilet,28,40002,local
Ordinary Toilet,437,40002,local
Without Tiolet,99,40002,local
Flush toilet (sewerage),1194,40004,local
Flush Toilet Septic Tank,96867,40004,local
Not Stated about Toilet,396,40004,local
Ordinary Toilet,6475,40004,local
Without Tiolet,698,40004,local
Flush toilet (sewerage),2,42,district
Flush Toilet Septic Tank,688,42,district
Not Stated about Toilet,5,42,district
Ordinary Toilet,252,42,district
Without Tiolet,501,42,district
Flush toilet (sewerage),0,41003,local
Flush Toilet Septic Tank,267,41003,local
Not Stated about Toilet,4,41003,local
Ordinary Toilet,94,41003,local
Without Tiolet,89,41003,local
Flush toilet (sewerage),0,41001,local
Flush Toilet Septic Tank,172,41001,local
Not Stated about Toilet,0,41001,local
Ordinary Toilet,50,41001,local
Without Tiolet,57,41001,local
Flush toilet (sewerage),2,41004,local
Flush Toilet Septic Tank,238,41004,local
Not Stated about Toilet,1,41004,local
Ordinary Toilet,105,41004,local
Without Tiolet,247,41004,local
Flush toilet (sewerage),0,41002,local
Flush Toilet Septic Tank,11,41002,local
Not Stated about Toilet,0,41002,local
Ordinary Toilet,3,41002,local
Without Tiolet,108,41002,local
Flush toilet (sewerage),948,72,district
Flush Toilet Septic Tank,48835,72,district
Not Stated about Toilet,435,72,district
Ordinary Toilet,15445,72,district
Without Tiolet,12623,72,district
Flush toilet (sewerage),19,38006,local
Flush Toilet Septic Tank,2402,38006,local
Not Stated about Toilet,19,38006,local
Ordinary Toilet,637,38006,local
Without Tiolet,358,38006,local
Flush toilet (sewerage),22,38009,local
Flush Toilet Septic Tank,2419,38009,local
Not Stated about Toilet,19,38009,local
Ordinary Toilet,989,38009,local
Without Tiolet,1766,38009,local
Flush toilet (sewerage),24,38001,local
Flush Toilet Septic Tank,3219,38001,local
Not Stated about Toilet,14,38001,local
Ordinary Toilet,742,38001,local
Without Tiolet,912,38001,local
Flush toilet (sewerage),96,38004,local
Flush Toilet Septic Tank,4288,38004,local
Not Stated about Toilet,92,38004,local
Ordinary Toilet,1429,38004,local
Without Tiolet,1583,38004,local
Flush toilet (sewerage),243,38003,local
Flush Toilet Septic Tank,6748,38003,local
Not Stated about Toilet,87,38003,local
Ordinary Toilet,2960,38003,local
Without Tiolet,2057,38003,local
Flush toilet (sewerage),27,38002,local
Flush Toilet Septic Tank,2688,38002,local
Not Stated about Toilet,30,38002,local
Ordinary Toilet,1444,38002,local
Without Tiolet,664,38002,local
Flush toilet (sewerage),108,38007,local
Flush Toilet Septic Tank,1684,38007,local
Not Stated about Toilet,14,38007,local
Ordinary Toilet,921,38007,local
Without Tiolet,1410,38007,local
Flush toilet (sewerage),116,38010,local
Flush Toilet Septic Tank,9043,38010,local
Not Stated about Toilet,32,38010,local
Ordinary Toilet,1938,38010,local
Without Tiolet,1056,38010,local
Flush toilet (sewerage),220,38005,local
Flush Toilet Septic Tank,13529,38005,local
Not Stated about Toilet,107,38005,local
Ordinary Toilet,2898,38005,local
Without Tiolet,1585,38005,local
Flush toilet (sewerage),73,38008,local
Flush Toilet Septic Tank,2815,38008,local
Not Stated about Toilet,21,38008,local
Ordinary Toilet,1487,38008,local
Without Tiolet,1232,38008,local
Flush toilet (sewerage),25,45,district
Flush Toilet Septic Tank,1357,45,district
Not Stated about Toilet,16,45,district
Ordinary Toilet,696,45,district
Without Tiolet,1211,45,district
Flush toilet (sewerage),2,42001,local
Flush Toilet Septic Tank,226,42001,local
Not Stated about Toilet,1,42001,local
Ordinary Toilet,155,42001,local
Without Tiolet,341,42001,local
Flush toilet (sewerage),1,42004,local
Flush Toilet Septic Tank,8,42004,local
Not Stated about Toilet,2,42004,local
Ordinary Toilet,282,42004,local
Without Tiolet,239,42004,local
Flush toilet (sewerage),0,42005,local
Flush Toilet Septic Tank,474,42005,local
Not Stated about Toilet,5,42005,local
Ordinary Toilet,43,42005,local
Without Tiolet,248,42005,local
Flush toilet (sewerage),0,42002,local
Flush Toilet Septic Tank,31,42002,local
Not Stated about Toilet,3,42002,local
Ordinary Toilet,185,42002,local
Without Tiolet,185,42002,local
Flush toilet (sewerage),22,42003,local
Flush Toilet Septic Tank,618,42003,local
Not Stated about Toilet,5,42003,local
Ordinary Toilet,31,42003,local
Without Tiolet,198,42003,local
Flush toilet (sewerage),471,52,district
Flush Toilet Septic Tank,22799,52,district
Not Stated about Toilet,89,52,district
Ordinary Toilet,8878,52,district
Without Tiolet,3461,52,district
Flush toilet (sewerage),16,44004,local
Flush Toilet Septic Tank,1656,44004,local
Not Stated about Toilet,1,44004,local
Ordinary Toilet,447,44004,local
Without Tiolet,109,44004,local
Flush toilet (sewerage),69,44006,local
Flush Toilet Septic Tank,1555,44006,local
Not Stated about Toilet,3,44006,local
Ordinary Toilet,1228,44006,local
Without Tiolet,439,44006,local
Flush toilet (sewerage),51,44002,local
Flush Toilet Septic Tank,4017,44002,local
Not Stated about Toilet,17,44002,local
Ordinary Toilet,1067,44002,local
Without Tiolet,409,44002,local
Flush toilet (sewerage),37,44007,local
Flush Toilet Septic Tank,3867,44007,local
Not Stated about Toilet,11,44007,local
Ordinary Toilet,1153,44007,local
Without Tiolet,815,44007,local
Flush toilet (sewerage),203,44003,local
Flush Toilet Septic Tank,6537,44003,local
Not Stated about Toilet,21,44003,local
Ordinary Toilet,2692,44003,local
Without Tiolet,858,44003,local
Flush toilet (sewerage),62,44001,local
Flush Toilet Septic Tank,1488,44001,local
Not Stated about Toilet,14,44001,local
Ordinary Toilet,1032,44001,local
Without Tiolet,345,44001,local
Flush toilet (sewerage),33,44005,local
Flush Toilet Septic Tank,3679,44005,local
Not Stated about Toilet,22,44005,local
Ordinary Toilet,1259,44005,local
Without Tiolet,486,44005,local
Flush toilet (sewerage),11902,2,province
Flush Toilet Septic Tank,138861,2,province
Not Stated about Toilet,11010,2,province
Ordinary Toilet,92256,2,province
Without Tiolet,678058,2,province
Flush toilet (sewerage),1587,64,district
Flush Toilet Septic Tank,21596,64,district
Not Stated about Toilet,1456,64,district
Ordinary Toilet,10444,64,district
Without Tiolet,97720,64,district
Flush toilet (sewerage),32,19020,local
Flush Toilet Septic Tank,169,19020,local
Not Stated about Toilet,40,19020,local
Ordinary Toilet,348,19020,local
Without Tiolet,3896,19020,local
Flush toilet (sewerage),40,19005,local
Flush Toilet Septic Tank,355,19005,local
Not Stated about Toilet,94,19005,local
Ordinary Toilet,291,19005,local
Without Tiolet,3228,19005,local
Flush toilet (sewerage),49,19008,local
Flush Toilet Septic Tank,292,19008,local
Not Stated about Toilet,48,19008,local
Ordinary Toilet,233,19008,local
Without Tiolet,4918,19008,local
Flush toilet (sewerage),42,19016,local
Flush Toilet Septic Tank,517,19016,local
Not Stated about Toilet,34,19016,local
Ordinary Toilet,171,19016,local
Without Tiolet,3309,19016,local
Flush toilet (sewerage),84,19012,local
Flush Toilet Septic Tank,447,19012,local
Not Stated about Toilet,43,19012,local
Ordinary Toilet,217,19012,local
Without Tiolet,5113,19012,local
Flush toilet (sewerage),44,19009,local
Flush Toilet Septic Tank,255,19009,local
Not Stated about Toilet,61,19009,local
Ordinary Toilet,141,19009,local
Without Tiolet,3463,19009,local
Flush toilet (sewerage),82,19010,local
Flush Toilet Septic Tank,774,19010,local
Not Stated about Toilet,146,19010,local
Ordinary Toilet,525,19010,local
Without Tiolet,6375,19010,local
Flush toilet (sewerage),60,19013,local
Flush Toilet Septic Tank,2596,19013,local
Not Stated about Toilet,92,19013,local
Ordinary Toilet,1500,19013,local
Without Tiolet,4353,19013,local
Flush toilet (sewerage),48,19007,local
Flush Toilet Septic Tank,367,19007,local
Not Stated about Toilet,42,19007,local
Ordinary Toilet,183,19007,local
Without Tiolet,3769,19007,local
Flush toilet (sewerage),167,19017,local
Flush Toilet Septic Tank,3953,19017,local
Not Stated about Toilet,82,19017,local
Ordinary Toilet,1571,19017,local
Without Tiolet,6465,19017,local
Flush toilet (sewerage),85,19018,local
Flush Toilet Septic Tank,2877,19018,local
Not Stated about Toilet,73,19018,local
Ordinary Toilet,794,19018,local
Without Tiolet,4083,19018,local
Flush toilet (sewerage),62,19011,local
Flush Toilet Septic Tank,1045,19011,local
Not Stated about Toilet,65,19011,local
Ordinary Toilet,292,19011,local
Without Tiolet,5053,19011,local
Flush toilet (sewerage),94,19001,local
Flush Toilet Septic Tank,1678,19001,local
Not Stated about Toilet,67,19001,local
Ordinary Toilet,884,19001,local
Without Tiolet,5261,19001,local
Flush toilet (sewerage),158,19014,local
Flush Toilet Septic Tank,1772,19014,local
Not Stated about Toilet,139,19014,local
Ordinary Toilet,458,19014,local
Without Tiolet,8546,19014,local
Flush toilet (sewerage),73,19015,local
Flush Toilet Septic Tank,747,19015,local
Not Stated about Toilet,70,19015,local
Ordinary Toilet,263,19015,local
Without Tiolet,5718,19015,local
Flush toilet (sewerage),124,19003,local
Flush Toilet Septic Tank,2162,19003,local
Not Stated about Toilet,149,19003,local
Ordinary Toilet,504,19003,local
Without Tiolet,8914,19003,local
Flush toilet (sewerage),28,19004,local
Flush Toilet Septic Tank,264,19004,local
Not Stated about Toilet,27,19004,local
Ordinary Toilet,172,19004,local
Without Tiolet,3208,19004,local
Flush toilet (sewerage),36,19019,local
Flush Toilet Septic Tank,204,19019,local
Not Stated about Toilet,34,19019,local
Ordinary Toilet,306,19019,local
Without Tiolet,2762,19019,local
Flush toilet (sewerage),224,19006,local
Flush Toilet Septic Tank,534,19006,local
Not Stated about Toilet,67,19006,local
Ordinary Toilet,343,19006,local
Without Tiolet,3567,19006,local
Flush toilet (sewerage),55,19002,local
Flush Toilet Septic Tank,588,19002,local
Not Stated about Toilet,83,19002,local
Ordinary Toilet,1248,19002,local
Without Tiolet,5719,19002,local
Flush toilet (sewerage),1543,67,district
Flush Toilet Septic Tank,14135,67,district
Not Stated about Toilet,967,67,district
Ordinary Toilet,8430,67,district
Without Tiolet,92854,67,district
Flush toilet (sewerage),66,16011,local
Flush Toilet Septic Tank,189,16011,local
Not Stated about Toilet,24,16011,local
Ordinary Toilet,160,16011,local
Without Tiolet,4391,16011,local
Flush toilet (sewerage),243,16007,local
Flush Toilet Septic Tank,1268,16007,local
Not Stated about Toilet,65,16007,local
Ordinary Toilet,1115,16007,local
Without Tiolet,7419,16007,local
Flush toilet (sewerage),25,16015,local
Flush Toilet Septic Tank,284,16015,local
Not Stated about Toilet,15,16015,local
Ordinary Toilet,328,16015,local
Without Tiolet,2736,16015,local
Flush toilet (sewerage),261,16010,local
Flush Toilet Septic Tank,3710,16010,local
Not Stated about Toilet,133,16010,local
Ordinary Toilet,2076,16010,local
Without Tiolet,11002,16010,local
Flush toilet (sewerage),115,16008,local
Flush Toilet Septic Tank,1149,16008,local
Not Stated about Toilet,103,16008,local
Ordinary Toilet,398,16008,local
Without Tiolet,7626,16008,local
Flush toilet (sewerage),119,16009,local
Flush Toilet Septic Tank,641,16009,local
Not Stated about Toilet,44,16009,local
Ordinary Toilet,554,16009,local
Without Tiolet,4730,16009,local
Flush toilet (sewerage),39,16014,local
Flush Toilet Septic Tank,138,16014,local
Not Stated about Toilet,15,16014,local
Ordinary Toilet,46,16014,local
Without Tiolet,3042,16014,local
Flush toilet (sewerage),43,16003,local
Flush Toilet Septic Tank,184,16003,local
Not Stated about Toilet,28,16003,local
Ordinary Toilet,101,16003,local
Without Tiolet,3908,16003,local
Flush toilet (sewerage),27,16004,local
Flush Toilet Septic Tank,190,16004,local
Not Stated about Toilet,41,16004,local
Ordinary Toilet,260,16004,local
Without Tiolet,3143,16004,local
Flush toilet (sewerage),90,16005,local
Flush Toilet Septic Tank,253,16005,local
Not Stated about Toilet,8,16005,local
Ordinary Toilet,85,16005,local
Without Tiolet,3033,16005,local
Flush toilet (sewerage),19,16001,local
Flush Toilet Septic Tank,252,16001,local
Not Stated about Toilet,42,16001,local
Ordinary Toilet,53,16001,local
Without Tiolet,3681,16001,local
Flush toilet (sewerage),165,16006,local
Flush Toilet Septic Tank,579,16006,local
Not Stated about Toilet,114,16006,local
Ordinary Toilet,631,16006,local
Without Tiolet,7268,16006,local
Flush toilet (sewerage),127,16012,local
Flush Toilet Septic Tank,1599,16012,local
Not Stated about Toilet,70,16012,local
Ordinary Toilet,834,16012,local
Without Tiolet,6703,16012,local
Flush toilet (sewerage),18,16013,local
Flush Toilet Septic Tank,206,16013,local
Not Stated about Toilet,44,16013,local
Ordinary Toilet,170,16013,local
Without Tiolet,3235,16013,local
Flush toilet (sewerage),133,16016,local
Flush Toilet Septic Tank,2889,16016,local
Not Stated about Toilet,126,16016,local
Ordinary Toilet,1231,16016,local
Without Tiolet,11098,16016,local
Flush toilet (sewerage),14,16002,local
Flush Toilet Septic Tank,227,16002,local
Not Stated about Toilet,67,16002,local
Ordinary Toilet,116,16002,local
Without Tiolet,3821,16002,local
Flush toilet (sewerage),39,16017,local
Flush Toilet Septic Tank,377,16017,local
Not Stated about Toilet,28,16017,local
Ordinary Toilet,272,16017,local
Without Tiolet,6018,16017,local
Flush toilet (sewerage),1163,40,district
Flush Toilet Septic Tank,15988,40,district
Not Stated about Toilet,636,40,district
Ordinary Toilet,12823,40,district
Without Tiolet,80688,40,district
Flush toilet (sewerage),69,18012,local
Flush Toilet Septic Tank,1252,18012,local
Not Stated about Toilet,34,18012,local
Ordinary Toilet,1746,18012,local
Without Tiolet,3389,18012,local
Flush toilet (sewerage),36,18002,local
Flush Toilet Septic Tank,701,18002,local
Not Stated about Toilet,26,18002,local
Ordinary Toilet,761,18002,local
Without Tiolet,6137,18002,local
Flush toilet (sewerage),37,18014,local
Flush Toilet Septic Tank,495,18014,local
Not Stated about Toilet,32,18014,local
Ordinary Toilet,372,18014,local
Without Tiolet,4446,18014,local
Flush toilet (sewerage),53,18013,local
Flush Toilet Septic Tank,414,18013,local
Not Stated about Toilet,33,18013,local
Ordinary Toilet,181,18013,local
Without Tiolet,4576,18013,local
Flush toilet (sewerage),168,18003,local
Flush Toilet Septic Tank,2709,18003,local
Not Stated about Toilet,47,18003,local
Ordinary Toilet,2862,18003,local
Without Tiolet,7327,18003,local
Flush toilet (sewerage),90,18007,local
Flush Toilet Septic Tank,2648,18007,local
Not Stated about Toilet,119,18007,local
Ordinary Toilet,1607,18007,local
Without Tiolet,5570,18007,local
Flush toilet (sewerage),37,18005,local
Flush Toilet Septic Tank,544,18005,local
Not Stated about Toilet,13,18005,local
Ordinary Toilet,492,18005,local
Without Tiolet,3723,18005,local
Flush toilet (sewerage),88,18008,local
Flush Toilet Septic Tank,1358,18008,local
Not Stated about Toilet,30,18008,local
Ordinary Toilet,807,18008,local
Without Tiolet,5034,18008,local
Flush toilet (sewerage),35,18009,local
Flush Toilet Septic Tank,645,18009,local
Not Stated about Toilet,4,18009,local
Ordinary Toilet,636,18009,local
Without Tiolet,3541,18009,local
Flush toilet (sewerage),108,18004,local
Flush Toilet Septic Tank,532,18004,local
Not Stated about Toilet,45,18004,local
Ordinary Toilet,739,18004,local
Without Tiolet,7136,18004,local
Flush toilet (sewerage),85,18006,local
Flush Toilet Septic Tank,1366,18006,local
Not Stated about Toilet,62,18006,local
Ordinary Toilet,785,18006,local
Without Tiolet,9595,18006,local
Flush toilet (sewerage),54,18011,local
Flush Toilet Septic Tank,850,18011,local
Not Stated about Toilet,27,18011,local
Ordinary Toilet,564,18011,local
Without Tiolet,3731,18011,local
Flush toilet (sewerage),92,18015,local
Flush Toilet Septic Tank,447,18015,local
Not Stated about Toilet,62,18015,local
Ordinary Toilet,143,18015,local
Without Tiolet,5597,18015,local
Flush toilet (sewerage),75,18010,local
Flush Toilet Septic Tank,1528,18010,local
Not Stated about Toilet,77,18010,local
Ordinary Toilet,835,18010,local
Without Tiolet,6017,18010,local
Flush toilet (sewerage),136,18001,local
Flush Toilet Septic Tank,499,18001,local
Not Stated about Toilet,25,18001,local
Ordinary Toilet,293,18001,local
Without Tiolet,4869,18001,local
Flush toilet (sewerage),1109,53,district
Flush Toilet Septic Tank,23212,53,district
Not Stated about Toilet,1115,53,district
Ordinary Toilet,8004,53,district
Without Tiolet,62076,53,district
Flush toilet (sewerage),15,34008,local
Flush Toilet Septic Tank,345,34008,local
Not Stated about Toilet,54,34008,local
Ordinary Toilet,292,34008,local
Without Tiolet,2336,34008,local
Flush toilet (sewerage),60,34006,local
Flush Toilet Septic Tank,125,34006,local
Not Stated about Toilet,78,34006,local
Ordinary Toilet,140,34006,local
Without Tiolet,4550,34006,local
Flush toilet (sewerage),13,34005,local
Flush Toilet Septic Tank,165,34005,local
Not Stated about Toilet,26,34005,local
Ordinary Toilet,84,34005,local
Without Tiolet,2687,34005,local
Flush toilet (sewerage),28,34007,local
Flush Toilet Septic Tank,131,34007,local
Not Stated about Toilet,32,34007,local
Ordinary Toilet,102,34007,local
Without Tiolet,3824,34007,local
Flush toilet (sewerage),713,34003,local
Flush Toilet Septic Tank,19066,34003,local
Not Stated about Toilet,516,34003,local
Ordinary Toilet,4683,34003,local
Without Tiolet,14308,34003,local
Flush toilet (sewerage),25,34011,local
Flush Toilet Septic Tank,140,34011,local
Not Stated about Toilet,30,34011,local
Ordinary Toilet,208,34011,local
Without Tiolet,3599,34011,local
Flush toilet (sewerage),22,34012,local
Flush Toilet Septic Tank,371,34012,local
Not Stated about Toilet,27,34012,local
Ordinary Toilet,130,34012,local
Without Tiolet,4325,34012,local
Flush toilet (sewerage),34,34002,local
Flush Toilet Septic Tank,374,34002,local
Not Stated about Toilet,33,34002,local
Ordinary Toilet,265,34002,local
Without Tiolet,2870,34002,local
Flush toilet (sewerage),30,34014,local
Flush Toilet Septic Tank,831,34014,local
Not Stated about Toilet,18,34014,local
Ordinary Toilet,558,34014,local
Without Tiolet,2810,34014,local
Flush toilet (sewerage),21,34004,local
Flush Toilet Septic Tank,344,34004,local
Not Stated about Toilet,57,34004,local
Ordinary Toilet,197,34004,local
Without Tiolet,3364,34004,local
Flush toilet (sewerage),33,34001,local
Flush Toilet Septic Tank,487,34001,local
Not Stated about Toilet,73,34001,local
Ordinary Toilet,425,34001,local
Without Tiolet,4663,34001,local
Flush toilet (sewerage),39,34010,local
Flush Toilet Septic Tank,382,34010,local
Not Stated about Toilet,45,34010,local
Ordinary Toilet,437,34010,local
Without Tiolet,5509,34010,local
Flush toilet (sewerage),50,34013,local
Flush Toilet Septic Tank,160,34013,local
Not Stated about Toilet,48,34013,local
Ordinary Toilet,285,34013,local
Without Tiolet,4786,34013,local
Flush toilet (sewerage),26,34009,local
Flush Toilet Septic Tank,291,34009,local
Not Stated about Toilet,78,34009,local
Ordinary Toilet,198,34009,local
Without Tiolet,2445,34009,local
Flush toilet (sewerage),2063,63,district
Flush Toilet Septic Tank,13465,63,district
Not Stated about Toilet,1667,63,district
Ordinary Toilet,7919,63,district
Without Tiolet,95950,63,district
Flush toilet (sewerage),22,15002,local
Flush Toilet Septic Tank,118,15002,local
Not Stated about Toilet,50,15002,local
Ordinary Toilet,95,15002,local
Without Tiolet,3691,15002,local
Flush toilet (sewerage),247,15005,local
Flush Toilet Septic Tank,367,15005,local
Not Stated about Toilet,110,15005,local
Ordinary Toilet,202,15005,local
Without Tiolet,7096,15005,local
Flush toilet (sewerage),60,15007,local
Flush Toilet Septic Tank,337,15007,local
Not Stated about Toilet,129,15007,local
Ordinary Toilet,273,15007,local
Without Tiolet,7350,15007,local
Flush toilet (sewerage),90,15010,local
Flush Toilet Septic Tank,901,15010,local
Not Stated about Toilet,93,15010,local
Ordinary Toilet,344,15010,local
Without Tiolet,7187,15010,local
Flush toilet (sewerage),54,15004,local
Flush Toilet Septic Tank,316,15004,local
Not Stated about Toilet,35,15004,local
Ordinary Toilet,206,15004,local
Without Tiolet,3759,15004,local
Flush toilet (sewerage),147,15008,local
Flush Toilet Septic Tank,593,15008,local
Not Stated about Toilet,105,15008,local
Ordinary Toilet,581,15008,local
Without Tiolet,6726,15008,local
Flush toilet (sewerage),64,15003,local
Flush Toilet Septic Tank,187,15003,local
Not Stated about Toilet,80,15003,local
Ordinary Toilet,171,15003,local
Without Tiolet,4740,15003,local
Flush toilet (sewerage),52,15018,local
Flush Toilet Septic Tank,228,15018,local
Not Stated about Toilet,72,15018,local
Ordinary Toilet,180,15018,local
Without Tiolet,3546,15018,local
Flush toilet (sewerage),393,15012,local
Flush Toilet Septic Tank,5158,15012,local
Not Stated about Toilet,211,15012,local
Ordinary Toilet,1446,15012,local
Without Tiolet,6142,15012,local
Flush toilet (sewerage),136,15001,local
Flush Toilet Septic Tank,480,15001,local
Not Stated about Toilet,103,15001,local
Ordinary Toilet,441,15001,local
Without Tiolet,4262,15001,local
Flush toilet (sewerage),110,15016,local
Flush Toilet Septic Tank,449,15016,local
Not Stated about Toilet,88,15016,local
Ordinary Toilet,335,15016,local
Without Tiolet,7668,15016,local
Flush toilet (sewerage),66,15013,local
Flush Toilet Septic Tank,341,15013,local
Not Stated about Toilet,28,15013,local
Ordinary Toilet,305,15013,local
Without Tiolet,4272,15013,local
Flush toilet (sewerage),66,15017,local
Flush Toilet Septic Tank,585,15017,local
Not Stated about Toilet,22,15017,local
Ordinary Toilet,325,15017,local
Without Tiolet,4699,15017,local
Flush toilet (sewerage),100,15015,local
Flush Toilet Septic Tank,508,15015,local
Not Stated about Toilet,61,15015,local
Ordinary Toilet,334,15015,local
Without Tiolet,5761,15015,local
Flush toilet (sewerage),76,15014,local
Flush Toilet Septic Tank,845,15014,local
Not Stated about Toilet,52,15014,local
Ordinary Toilet,791,15014,local
Without Tiolet,2775,15014,local
Flush toilet (sewerage),140,15011,local
Flush Toilet Septic Tank,289,15011,local
Not Stated about Toilet,92,15011,local
Ordinary Toilet,139,15011,local
Without Tiolet,4735,15011,local
Flush toilet (sewerage),178,15009,local
Flush Toilet Septic Tank,1537,15009,local
Not Stated about Toilet,127,15009,local
Ordinary Toilet,1554,15009,local
Without Tiolet,6796,15009,local
Flush toilet (sewerage),62,15006,local
Flush Toilet Septic Tank,226,15006,local
Not Stated about Toilet,209,15006,local
Ordinary Toilet,197,15006,local
Without Tiolet,4745,15006,local
Flush toilet (sewerage),915,57,district
Flush Toilet Septic Tank,10705,57,district
Not Stated about Toilet,1653,57,district
Ordinary Toilet,12894,57,district
Without Tiolet,80485,57,district
Flush toilet (sewerage),48,32002,local
Flush Toilet Septic Tank,195,32002,local
Not Stated about Toilet,114,32002,local
Ordinary Toilet,293,32002,local
Without Tiolet,5724,32002,local
Flush toilet (sewerage),97,32001,local
Flush Toilet Septic Tank,406,32001,local
Not Stated about Toilet,57,32001,local
Ordinary Toilet,306,32001,local
Without Tiolet,3941,32001,local
Flush toilet (sewerage),29,32005,local
Flush Toilet Septic Tank,510,32005,local
Not Stated about Toilet,29,32005,local
Ordinary Toilet,563,32005,local
Without Tiolet,2681,32005,local
Flush toilet (sewerage),130,32003,local
Flush Toilet Septic Tank,2815,32003,local
Not Stated about Toilet,143,32003,local
Ordinary Toilet,4312,32003,local
Without Tiolet,6045,32003,local
Flush toilet (sewerage),59,32010,local
Flush Toilet Septic Tank,484,32010,local
Not Stated about Toilet,119,32010,local
Ordinary Toilet,340,32010,local
Without Tiolet,4832,32010,local
Flush toilet (sewerage),34,32015,local
Flush Toilet Septic Tank,301,32015,local
Not Stated about Toilet,64,32015,local
Ordinary Toilet,264,32015,local
Without Tiolet,4970,32015,local
Flush toilet (sewerage),25,32011,local
Flush Toilet Septic Tank,303,32011,local
Not Stated about Toilet,81,32011,local
Ordinary Toilet,171,32011,local
Without Tiolet,5339,32011,local
Flush toilet (sewerage),42,32006,local
Flush Toilet Septic Tank,395,32006,local
Not Stated about Toilet,119,32006,local
Ordinary Toilet,751,32006,local
Without Tiolet,4762,32006,local
Flush toilet (sewerage),43,32016,local
Flush Toilet Septic Tank,446,32016,local
Not Stated about Toilet,84,32016,local
Ordinary Toilet,712,32016,local
Without Tiolet,4080,32016,local
Flush toilet (sewerage),47,32017,local
Flush Toilet Septic Tank,431,32017,local
Not Stated about Toilet,75,32017,local
Ordinary Toilet,308,32017,local
Without Tiolet,4907,32017,local
Flush toilet (sewerage),20,32018,local
Flush Toilet Septic Tank,329,32018,local
Not Stated about Toilet,31,32018,local
Ordinary Toilet,379,32018,local
Without Tiolet,3017,32018,local
Flush toilet (sewerage),90,32007,local
Flush Toilet Septic Tank,618,32007,local
Not Stated about Toilet,92,32007,local
Ordinary Toilet,1215,32007,local
Without Tiolet,5429,32007,local
Flush toilet (sewerage),10,32014,local
Flush Toilet Septic Tank,428,32014,local
Not Stated about Toilet,143,32014,local
