outer wall type,total,geo_code,geo_level
Not Stated about Wall,417,31004,local
Other Type Wall,1427,31004,local
Unbaked Bricks,204,31004,local
Wood/Planks,18095,31004,local
BambooWall,253,36,district
Cement Bonded Bricks/Stone Wall,10997,36,district
Mud Bonded Bricks/Stone Wall,66442,36,district
Not Stated about Wall,1018,36,district
Other Type Wall,198,36,district
Unbaked Bricks,1325,36,district
Wood/Planks,418,36,district
BambooWall,253,24001,local
Cement Bonded Bricks/Stone Wall,10997,24001,local
Mud Bonded Bricks/Stone Wall,66442,24001,local
Not Stated about Wall,1018,24001,local
Other Type Wall,198,24001,local
Unbaked Bricks,1325,24001,local
Wood/Planks,418,24001,local
BambooWall,253,24011,local
Cement Bonded Bricks/Stone Wall,10997,24011,local
Mud Bonded Bricks/Stone Wall,66442,24011,local
Not Stated about Wall,1018,24011,local
Other Type Wall,198,24011,local
Unbaked Bricks,1325,24011,local
Wood/Planks,418,24011,local
BambooWall,253,24007,local
Cement Bonded Bricks/Stone Wall,10997,24007,local
Mud Bonded Bricks/Stone Wall,66442,24007,local
Not Stated about Wall,1018,24007,local
Other Type Wall,198,24007,local
Unbaked Bricks,1325,24007,local
Wood/Planks,418,24007,local
BambooWall,253,24010,local
Cement Bonded Bricks/Stone Wall,10997,24010,local
Mud Bonded Bricks/Stone Wall,66442,24010,local
Not Stated about Wall,1018,24010,local
Other Type Wall,198,24010,local
Unbaked Bricks,1325,24010,local
Wood/Planks,418,24010,local
BambooWall,253,24008,local
Cement Bonded Bricks/Stone Wall,10997,24008,local
Mud Bonded Bricks/Stone Wall,66442,24008,local
Not Stated about Wall,1018,24008,local
Other Type Wall,198,24008,local
Unbaked Bricks,1325,24008,local
Wood/Planks,418,24008,local
BambooWall,253,24002,local
Cement Bonded Bricks/Stone Wall,10997,24002,local
Mud Bonded Bricks/Stone Wall,66442,24002,local
Not Stated about Wall,1018,24002,local
Other Type Wall,198,24002,local
Unbaked Bricks,1325,24002,local
Wood/Planks,418,24002,local
BambooWall,253,24012,local
Cement Bonded Bricks/Stone Wall,10997,24012,local
Mud Bonded Bricks/Stone Wall,66442,24012,local
Not Stated about Wall,1018,24012,local
Other Type Wall,198,24012,local
Unbaked Bricks,1325,24012,local
Wood/Planks,418,24012,local
BambooWall,253,24005,local
Cement Bonded Bricks/Stone Wall,10997,24005,local
Mud Bonded Bricks/Stone Wall,66442,24005,local
Not Stated about Wall,1018,24005,local
Other Type Wall,198,24005,local
Unbaked Bricks,1325,24005,local
Wood/Planks,418,24005,local
BambooWall,253,24006,local
Cement Bonded Bricks/Stone Wall,10997,24006,local
Mud Bonded Bricks/Stone Wall,66442,24006,local
Not Stated about Wall,1018,24006,local
Other Type Wall,198,24006,local
Unbaked Bricks,1325,24006,local
Wood/Planks,418,24006,local
BambooWall,253,24009,local
Cement Bonded Bricks/Stone Wall,10997,24009,local
Mud Bonded Bricks/Stone Wall,66442,24009,local
Not Stated about Wall,1018,24009,local
Other Type Wall,198,24009,local
Unbaked Bricks,1325,24009,local
Wood/Planks,418,24009,local
BambooWall,253,24004,local
Cement Bonded Bricks/Stone Wall,10997,24004,local
Mud Bonded Bricks/Stone Wall,66442,24004,local
Not Stated about Wall,1018,24004,local
Other Type Wall,198,24004,local
Unbaked Bricks,1325,24004,local
Wood/Planks,418,24004,local
BambooWall,253,24013,local
Cement Bonded Bricks/Stone Wall,10997,24013,local
Mud Bonded Bricks/Stone Wall,66442,24013,local
Not Stated about Wall,1018,24013,local
Other Type Wall,198,24013,local
Unbaked Bricks,1325,24013,local
Wood/Planks,418,24013,local
BambooWall,253,24003,local
Cement Bonded Bricks/Stone Wall,10997,24003,local
Mud Bonded Bricks/Stone Wall,66442,24003,local
Not Stated about Wall,1018,24003,local
Other Type Wall,198,24003,local
Unbaked Bricks,1325,24003,local
Wood/Planks,418,24003,local
BambooWall,3558,35,district
Cement Bonded Bricks/Stone Wall,350265,35,district
Mud Bonded Bricks/Stone Wall,65556,35,district
Not Stated about Wall,10575,35,district
Other Type Wall,1161,35,district
Unbaked Bricks,1982,35,district
Wood/Planks,2447,35,district
BambooWall,3558,27006,local
Cement Bonded Bricks/Stone Wall,350265,27006,local
Mud Bonded Bricks/Stone Wall,65556,27006,local
Not Stated about Wall,10575,27006,local
Other Type Wall,1161,27006,local
Unbaked Bricks,1982,27006,local
Wood/Planks,2447,27006,local
BambooWall,3558,27002,local
Cement Bonded Bricks/Stone Wall,350265,27002,local
Mud Bonded Bricks/Stone Wall,65556,27002,local
Not Stated about Wall,10575,27002,local
Other Type Wall,1161,27002,local
Unbaked Bricks,1982,27002,local
Wood/Planks,2447,27002,local
BambooWall,3558,27005,local
Cement Bonded Bricks/Stone Wall,350265,27005,local
Mud Bonded Bricks/Stone Wall,65556,27005,local
Not Stated about Wall,10575,27005,local
Other Type Wall,1161,27005,local
Unbaked Bricks,1982,27005,local
Wood/Planks,2447,27005,local
BambooWall,3558,27001,local
Cement Bonded Bricks/Stone Wall,350265,27001,local
Mud Bonded Bricks/Stone Wall,65556,27001,local
Not Stated about Wall,10575,27001,local
Other Type Wall,1161,27001,local
Unbaked Bricks,1982,27001,local
Wood/Planks,2447,27001,local
BambooWall,3558,27004,local
Cement Bonded Bricks/Stone Wall,350265,27004,local
Mud Bonded Bricks/Stone Wall,65556,27004,local
Not Stated about Wall,10575,27004,local
Other Type Wall,1161,27004,local
Unbaked Bricks,1982,27004,local
Wood/Planks,2447,27004,local
BambooWall,3558,27003,local
Cement Bonded Bricks/Stone Wall,350265,27003,local
Mud Bonded Bricks/Stone Wall,65556,27003,local
Not Stated about Wall,10575,27003,local
Other Type Wall,1161,27003,local
Unbaked Bricks,1982,27003,local
Wood/Planks,2447,27003,local
BambooWall,3558,27008,local
Cement Bonded Bricks/Stone Wall,350265,27008,local
Mud Bonded Bricks/Stone Wall,65556,27008,local
Not Stated about Wall,10575,27008,local
Other Type Wall,1161,27008,local
Unbaked Bricks,1982,27008,local
Wood/Planks,2447,27008,local
BambooWall,3558,27009,local
Cement Bonded Bricks/Stone Wall,350265,27009,local
Mud Bonded Bricks/Stone Wall,65556,27009,local
Not Stated about Wall,10575,27009,local
Other Type Wall,1161,27009,local
Unbaked Bricks,1982,27009,local
Wood/Planks,2447,27009,local
BambooWall,3558,27007,local
Cement Bonded Bricks/Stone Wall,350265,27007,local
Mud Bonded Bricks/Stone Wall,65556,27007,local
Not Stated about Wall,10575,27007,local
Other Type Wall,1161,27007,local
Unbaked Bricks,1982,27007,local
Wood/Planks,2447,27007,local
BambooWall,3558,27010,local
Cement Bonded Bricks/Stone Wall,350265,27010,local
Mud Bonded Bricks/Stone Wall,65556,27010,local
Not Stated about Wall,10575,27010,local
Other Type Wall,1161,27010,local
Unbaked Bricks,1982,27010,local
Wood/Planks,2447,27010,local
BambooWall,3558,27011,local
Cement Bonded Bricks/Stone Wall,350265,27011,local
Mud Bonded Bricks/Stone Wall,65556,27011,local
Not Stated about Wall,10575,27011,local
Other Type Wall,1161,27011,local
Unbaked Bricks,1982,27011,local
Wood/Planks,2447,27011,local
BambooWall,158,55,district
Cement Bonded Bricks/Stone Wall,1389,55,district
Mud Bonded Bricks/Stone Wall,41483,55,district
Not Stated about Wall,527,55,district
Other Type Wall,28,55,district
Unbaked Bricks,36,55,district
Wood/Planks,262,55,district
BambooWall,158,21008,local
Cement Bonded Bricks/Stone Wall,1389,21008,local
Mud Bonded Bricks/Stone Wall,41483,21008,local
Not Stated about Wall,527,21008,local
Other Type Wall,28,21008,local
Unbaked Bricks,36,21008,local
Wood/Planks,262,21008,local
BambooWall,158,21005,local
Cement Bonded Bricks/Stone Wall,1389,21005,local
Mud Bonded Bricks/Stone Wall,41483,21005,local
Not Stated about Wall,527,21005,local
Other Type Wall,28,21005,local
Unbaked Bricks,36,21005,local
Wood/Planks,262,21005,local
BambooWall,158,21001,local
Cement Bonded Bricks/Stone Wall,1389,21001,local
Mud Bonded Bricks/Stone Wall,41483,21001,local
Not Stated about Wall,527,21001,local
Other Type Wall,28,21001,local
Unbaked Bricks,36,21001,local
Wood/Planks,262,21001,local
BambooWall,158,21002,local
Cement Bonded Bricks/Stone Wall,1389,21002,local
Mud Bonded Bricks/Stone Wall,41483,21002,local
Not Stated about Wall,527,21002,local
Other Type Wall,28,21002,local
Unbaked Bricks,36,21002,local
Wood/Planks,262,21002,local
BambooWall,158,21007,local
Cement Bonded Bricks/Stone Wall,1389,21007,local
Mud Bonded Bricks/Stone Wall,41483,21007,local
Not Stated about Wall,527,21007,local
Other Type Wall,28,21007,local
Unbaked Bricks,36,21007,local
Wood/Planks,262,21007,local
BambooWall,158,21004,local
Cement Bonded Bricks/Stone Wall,1389,21004,local
Mud Bonded Bricks/Stone Wall,41483,21004,local
Not Stated about Wall,527,21004,local
Other Type Wall,28,21004,local
Unbaked Bricks,36,21004,local
Wood/Planks,262,21004,local
BambooWall,158,21003,local
Cement Bonded Bricks/Stone Wall,1389,21003,local
Mud Bonded Bricks/Stone Wall,41483,21003,local
