outer wall type,total,geo_code,geo_level
Mud Bonded Bricks/Stone Wall,6349,15001,local
Not Stated about Wall,2506,15001,local
Other Type Wall,1093,15001,local
Unbaked Bricks,237,15001,local
Wood/Planks,1511,15001,local
BambooWall,84001,15016,local
Cement Bonded Bricks/Stone Wall,25367,15016,local
Mud Bonded Bricks/Stone Wall,6349,15016,local
Not Stated about Wall,2506,15016,local
Other Type Wall,1093,15016,local
Unbaked Bricks,237,15016,local
Wood/Planks,1511,15016,local
BambooWall,84001,15013,local
Cement Bonded Bricks/Stone Wall,25367,15013,local
Mud Bonded Bricks/Stone Wall,6349,15013,local
Not Stated about Wall,2506,15013,local
Other Type Wall,1093,15013,local
Unbaked Bricks,237,15013,local
Wood/Planks,1511,15013,local
BambooWall,84001,15017,local
Cement Bonded Bricks/Stone Wall,25367,15017,local
Mud Bonded Bricks/Stone Wall,6349,15017,local
Not Stated about Wall,2506,15017,local
Other Type Wall,1093,15017,local
Unbaked Bricks,237,15017,local
Wood/Planks,1511,15017,local
BambooWall,84001,15015,local
Cement Bonded Bricks/Stone Wall,25367,15015,local
Mud Bonded Bricks/Stone Wall,6349,15015,local
Not Stated about Wall,2506,15015,local
Other Type Wall,1093,15015,local
Unbaked Bricks,237,15015,local
Wood/Planks,1511,15015,local
BambooWall,84001,15014,local
Cement Bonded Bricks/Stone Wall,25367,15014,local
Mud Bonded Bricks/Stone Wall,6349,15014,local
Not Stated about Wall,2506,15014,local
Other Type Wall,1093,15014,local
Unbaked Bricks,237,15014,local
Wood/Planks,1511,15014,local
BambooWall,84001,15011,local
Cement Bonded Bricks/Stone Wall,25367,15011,local
Mud Bonded Bricks/Stone Wall,6349,15011,local
Not Stated about Wall,2506,15011,local
Other Type Wall,1093,15011,local
Unbaked Bricks,237,15011,local
Wood/Planks,1511,15011,local
BambooWall,84001,15009,local
Cement Bonded Bricks/Stone Wall,25367,15009,local
Mud Bonded Bricks/Stone Wall,6349,15009,local
Not Stated about Wall,2506,15009,local
Other Type Wall,1093,15009,local
Unbaked Bricks,237,15009,local
Wood/Planks,1511,15009,local
BambooWall,84001,15006,local
Cement Bonded Bricks/Stone Wall,25367,15006,local
Mud Bonded Bricks/Stone Wall,6349,15006,local
Not Stated about Wall,2506,15006,local
Other Type Wall,1093,15006,local
Unbaked Bricks,237,15006,local
Wood/Planks,1511,15006,local
BambooWall,65414,57,district
Cement Bonded Bricks/Stone Wall,19286,57,district
Mud Bonded Bricks/Stone Wall,11828,57,district
Not Stated about Wall,2417,57,district
Other Type Wall,1497,57,district
Unbaked Bricks,512,57,district
Wood/Planks,5698,57,district
BambooWall,65414,32002,local
Cement Bonded Bricks/Stone Wall,19286,32002,local
Mud Bonded Bricks/Stone Wall,11828,32002,local
Not Stated about Wall,2417,32002,local
Other Type Wall,1497,32002,local
Unbaked Bricks,512,32002,local
Wood/Planks,5698,32002,local
BambooWall,65414,32001,local
Cement Bonded Bricks/Stone Wall,19286,32001,local
Mud Bonded Bricks/Stone Wall,11828,32001,local
Not Stated about Wall,2417,32001,local
Other Type Wall,1497,32001,local
Unbaked Bricks,512,32001,local
Wood/Planks,5698,32001,local
BambooWall,65414,32005,local
Cement Bonded Bricks/Stone Wall,19286,32005,local
Mud Bonded Bricks/Stone Wall,11828,32005,local
Not Stated about Wall,2417,32005,local
Other Type Wall,1497,32005,local
Unbaked Bricks,512,32005,local
Wood/Planks,5698,32005,local
BambooWall,65414,32003,local
Cement Bonded Bricks/Stone Wall,19286,32003,local
Mud Bonded Bricks/Stone Wall,11828,32003,local
Not Stated about Wall,2417,32003,local
Other Type Wall,1497,32003,local
Unbaked Bricks,512,32003,local
Wood/Planks,5698,32003,local
BambooWall,65414,32010,local
Cement Bonded Bricks/Stone Wall,19286,32010,local
Mud Bonded Bricks/Stone Wall,11828,32010,local
Not Stated about Wall,2417,32010,local
Other Type Wall,1497,32010,local
Unbaked Bricks,512,32010,local
Wood/Planks,5698,32010,local
BambooWall,65414,32015,local
Cement Bonded Bricks/Stone Wall,19286,32015,local
Mud Bonded Bricks/Stone Wall,11828,32015,local
Not Stated about Wall,2417,32015,local
Other Type Wall,1497,32015,local
Unbaked Bricks,512,32015,local
Wood/Planks,5698,32015,local
BambooWall,65414,32011,local
Cement Bonded Bricks/Stone Wall,19286,32011,local
Mud Bonded Bricks/Stone Wall,11828,32011,local
Not Stated about Wall,2417,32011,local
Other Type Wall,1497,32011,local
Unbaked Bricks,512,32011,local
Wood/Planks,5698,32011,local
BambooWall,65414,32006,local
Cement Bonded Bricks/Stone Wall,19286,32006,local
Mud Bonded Bricks/Stone Wall,11828,32006,local
Not Stated about Wall,2417,32006,local
Other Type Wall,1497,32006,local
Unbaked Bricks,512,32006,local
Wood/Planks,5698,32006,local
BambooWall,65414,32016,local
Cement Bonded Bricks/Stone Wall,19286,32016,local
Mud Bonded Bricks/Stone Wall,11828,32016,local
Not Stated about Wall,2417,32016,local
Other Type Wall,1497,32016,local
Unbaked Bricks,512,32016,local
Wood/Planks,5698,32016,local
BambooWall,65414,32017,local
Cement Bonded Bricks/Stone Wall,19286,32017,local
Mud Bonded Bricks/Stone Wall,11828,32017,local
Not Stated about Wall,2417,32017,local
Other Type Wall,1497,32017,local
Unbaked Bricks,512,32017,local
Wood/Planks,5698,32017,local
BambooWall,65414,32018,local
Cement Bonded Bricks/Stone Wall,19286,32018,local
Mud Bonded Bricks/Stone Wall,11828,32018,local
Not Stated about Wall,2417,32018,local
Other Type Wall,1497,32018,local
Unbaked Bricks,512,32018,local
Wood/Planks,5698,32018,local
BambooWall,65414,32007,local
Cement Bonded Bricks/Stone Wall,19286,32007,local
Mud Bonded Bricks/Stone Wall,11828,32007,local
Not Stated about Wall,2417,32007,local
Other Type Wall,1497,32007,local
Unbaked Bricks,512,32007,local
Wood/Planks,5698,32007,local
BambooWall,65414,32014,local
Cement Bonded Bricks/Stone Wall,19286,32014,local
Mud Bonded Bricks/Stone Wall,11828,32014,local
Not Stated about Wall,2417,32014,local
Other Type Wall,1497,32014,local
Unbaked Bricks,512,32014,local
Wood/Planks,5698,32014,local
BambooWall,65414,32004,local
Cement Bonded Bricks/Stone Wall,19286,32004,local
Mud Bonded Bricks/Stone Wall,11828,32004,local
Not Stated about Wall,2417,32004,local
Other Type Wall,1497,32004,local
Unbaked Bricks,512,32004,local
Wood/Planks,5698,32004,local
BambooWall,65414,32009,local
Cement Bonded Bricks/Stone Wall,19286,32009,local
Mud Bonded Bricks/Stone Wall,11828,32009,local
Not Stated about Wall,2417,32009,local
Other Type Wall,1497,32009,local
Unbaked Bricks,512,32009,local
Wood/Planks,5698,32009,local
BambooWall,65414,32012,local
Cement Bonded Bricks/Stone Wall,19286,32012,local
Mud Bonded Bricks/Stone Wall,11828,32012,local
Not Stated about Wall,2417,32012,local
Other Type Wall,1497,32012,local
Unbaked Bricks,512,32012,local
Wood/Planks,5698,32012,local
BambooWall,65414,32013,local
Cement Bonded Bricks/Stone Wall,19286,32013,local
Mud Bonded Bricks/Stone Wall,11828,32013,local
Not Stated about Wall,2417,32013,local
Other Type Wall,1497,32013,local
Unbaked Bricks,512,32013,local
Wood/Planks,5698,32013,local
BambooWall,65414,32008,local
Cement Bonded Bricks/Stone Wall,19286,32008,local
Mud Bonded Bricks/Stone Wall,11828,32008,local
Not Stated about Wall,2417,32008,local
Other Type Wall,1497,32008,local
Unbaked Bricks,512,32008,local
Wood/Planks,5698,32008,local
BambooWall,51460,08,district
Cement Bonded Bricks/Stone Wall,32164,08,district
Mud Bonded Bricks/Stone Wall,10313,08,district
Not Stated about Wall,1690,08,district
Other Type Wall,2495,08,district
Unbaked Bricks,788,08,district
Wood/Planks,9690,08,district
BambooWall,51460,33014,local
Cement Bonded Bricks/Stone Wall,32164,33014,local
Mud Bonded Bricks/Stone Wall,10313,33014,local
Not Stated about Wall,1690,33014,local
Other Type Wall,2495,33014,local
Unbaked Bricks,788,33014,local
Wood/Planks,9690,33014,local
BambooWall,51460,33016,local
Cement Bonded Bricks/Stone Wall,32164,33016,local
Mud Bonded Bricks/Stone Wall,10313,33016,local
Not Stated about Wall,1690,33016,local
Other Type Wall,2495,33016,local
Unbaked Bricks,788,33016,local
Wood/Planks,9690,33016,local
BambooWall,51460,33012,local
Cement Bonded Bricks/Stone Wall,32164,33012,local
Mud Bonded Bricks/Stone Wall,10313,33012,local
Not Stated about Wall,1690,33012,local
Other Type Wall,2495,33012,local
Unbaked Bricks,788,33012,local
Wood/Planks,9690,33012,local
BambooWall,51460,33007,local
Cement Bonded Bricks/Stone Wall,32164,33007,local
Mud Bonded Bricks/Stone Wall,10313,33007,local
Not Stated about Wall,1690,33007,local
Other Type Wall,2495,33007,local
Unbaked Bricks,788,33007,local
Wood/Planks,9690,33007,local
BambooWall,51460,33004,local
Cement Bonded Bricks/Stone Wall,32164,33004,local
Mud Bonded Bricks/Stone Wall,10313,33004,local
Not Stated about Wall,1690,33004,local
Other Type Wall,2495,33004,local
Unbaked Bricks,788,33004,local
Wood/Planks,9690,33004,local
BambooWall,51460,33010,local
Cement Bonded Bricks/Stone Wall,32164,33010,local
Mud Bonded Bricks/Stone Wall,10313,33010,local
Not Stated about Wall,1690,33010,local
Other Type Wall,2495,33010,local
Unbaked Bricks,788,33010,local
Wood/Planks,9690,33010,local
BambooWall,51460,33002,local
Cement Bonded Bricks/Stone Wall,32164,33002,local
Mud Bonded Bricks/Stone Wall,10313,33002,local
Not Stated about Wall,1690,33002,local
Other Type Wall,2495,33002,local
Unbaked Bricks,788,33002,local
Wood/Planks,9690,33002,local
BambooWall,51460,33005,local
Cement Bonded Bricks/Stone Wall,32164,33005,local
Mud Bonded Bricks/Stone Wall,10313,33005,local
Not Stated about Wall,1690,33005,local
Other Type Wall,2495,33005,local
Unbaked Bricks,788,33005,local
Wood/Planks,9690,33005,local
BambooWall,51460,33001,local
Cement Bonded Bricks/Stone Wall,32164,33001,local
Mud Bonded Bricks/Stone Wall,10313,33001,local
Not Stated about Wall,1690,33001,local
Other Type Wall,2495,33001,local
Unbaked Bricks,788,33001,local
Wood/Planks,9690,33001,local
BambooWall,51460,33013,local
Cement Bonded Bricks/Stone Wall,32164,33013,local
Mud Bonded Bricks/Stone Wall,10313,33013,local
Not Stated about Wall,1690,33013,local
Other Type Wall,2495,33013,local
Unbaked Bricks,788,33013,local
Wood/Planks,9690,33013,local
BambooWall,51460,33011,local
Cement Bonded Bricks/Stone Wall,32164,33011,local
Mud Bonded Bricks/Stone Wall,10313,33011,local
Not Stated about Wall,1690,33011,local
Other Type Wall,2495,33011,local
Unbaked Bricks,788,33011,local
Wood/Planks,9690,33011,local
BambooWall,51460,33009,local
Cement Bonded Bricks/Stone Wall,32164,33009,local
Mud Bonded Bricks/Stone Wall,10313,33009,local
Not Stated about Wall,1690,33009,local
Other Type Wall,2495,33009,local
Unbaked Bricks,788,33009,local
Wood/Planks,9690,33009,local
BambooWall,51460,33006,local
Cement Bonded Bricks/Stone Wall,32164,33006,local
Mud Bonded Bricks/Stone Wall,10313,33006,local
Not Stated about Wall,1690,33006,local
Other Type Wall,2495,33006,local
Unbaked Bricks,788,33006,local
Wood/Planks,9690,33006,local
BambooWall,51460,33003,local
Cement Bonded Bricks/Stone Wall,32164,33003,local
Mud Bonded Bricks/Stone Wall,10313,33003,local
Not Stated about Wall,1690,33003,local
Other Type Wall,2495,33003,local
Unbaked Bricks,788,33003,local
Wood/Planks,9690,33003,local
BambooWall,51460,33008,local
Cement Bonded Bricks/Stone Wall,32164,33008,local
Mud Bonded Bricks/Stone Wall,10313,33008,local
Not Stated about Wall,1690,33008,local
Other Type Wall,2495,33008,local
Unbaked Bricks,788,33008,local
Wood/Planks,9690,33008,local
BambooWall,51460,33015,local
Cement Bonded Bricks/Stone Wall,32164,33015,local
Mud Bonded Bricks/Stone Wall,10313,33015,local
Not Stated about Wall,1690,33015,local
Other Type Wall,2495,33015,local
Unbaked Bricks,788,33015,local
Wood/Planks,9690,33015,local
BambooWall,80528,19,district
Cement Bonded Bricks/Stone Wall,42156,19,district
Mud Bonded Bricks/Stone Wall,6897,19,district
Not Stated about Wall,3102,19,district
Other Type Wall,349,19,district
Unbaked Bricks,697,19,district
Wood/Planks,4496,19,district
BambooWall,80528,17013,local
Cement Bonded Bricks/Stone Wall,42156,17013,local
Mud Bonded Bricks/Stone Wall,6897,17013,local
Not Stated about Wall,3102,17013,local
Other Type Wall,349,17013,local
Unbaked Bricks,697,17013,local
Wood/Planks,4496,17013,local
BambooWall,80528,17017,local
Cement Bonded Bricks/Stone Wall,42156,17017,local
Mud Bonded Bricks/Stone Wall,6897,17017,local
Not Stated about Wall,3102,17017,local
Other Type Wall,349,17017,local
Unbaked Bricks,697,17017,local
Wood/Planks,4496,17017,local
BambooWall,80528,17004,local
Cement Bonded Bricks/Stone Wall,42156,17004,local
Mud Bonded Bricks/Stone Wall,6897,17004,local
Not Stated about Wall,3102,17004,local
Other Type Wall,349,17004,local
Unbaked Bricks,697,17004,local
Wood/Planks,4496,17004,local
BambooWall,80528,17015,local
Cement Bonded Bricks/Stone Wall,42156,17015,local
Mud Bonded Bricks/Stone Wall,6897,17015,local
Not Stated about Wall,3102,17015,local
Other Type Wall,349,17015,local
Unbaked Bricks,697,17015,local
Wood/Planks,4496,17015,local
BambooWall,80528,17011,local
Cement Bonded Bricks/Stone Wall,42156,17011,local
Mud Bonded Bricks/Stone Wall,6897,17011,local
Not Stated about Wall,3102,17011,local
Other Type Wall,349,17011,local
Unbaked Bricks,697,17011,local
Wood/Planks,4496,17011,local
BambooWall,80528,17016,local
Cement Bonded Bricks/Stone Wall,42156,17016,local
Mud Bonded Bricks/Stone Wall,6897,17016,local
Not Stated about Wall,3102,17016,local
Other Type Wall,349,17016,local
Unbaked Bricks,697,17016,local
Wood/Planks,4496,17016,local
BambooWall,80528,17006,local
Cement Bonded Bricks/Stone Wall,42156,17006,local
Mud Bonded Bricks/Stone Wall,6897,17006,local
Not Stated about Wall,3102,17006,local
Other Type Wall,349,17006,local
Unbaked Bricks,697,17006,local
Wood/Planks,4496,17006,local
BambooWall,80528,17018,local
Cement Bonded Bricks/Stone Wall,42156,17018,local
Mud Bonded Bricks/Stone Wall,6897,17018,local
Not Stated about Wall,3102,17018,local
Other Type Wall,349,17018,local
Unbaked Bricks,697,17018,local
Wood/Planks,4496,17018,local
BambooWall,80528,17007,local
Cement Bonded Bricks/Stone Wall,42156,17007,local
Mud Bonded Bricks/Stone Wall,6897,17007,local
Not Stated about Wall,3102,17007,local
Other Type Wall,349,17007,local
Unbaked Bricks,697,17007,local
Wood/Planks,4496,17007,local
BambooWall,80528,17014,local
Cement Bonded Bricks/Stone Wall,42156,17014,local
Mud Bonded Bricks/Stone Wall,6897,17014,local
Not Stated about Wall,3102,17014,local
Other Type Wall,349,17014,local
Unbaked Bricks,697,17014,local
Wood/Planks,4496,17014,local
BambooWall,80528,17012,local
Cement Bonded Bricks/Stone Wall,42156,17012,local
Mud Bonded Bricks/Stone Wall,6897,17012,local
Not Stated about Wall,3102,17012,local
Other Type Wall,349,17012,local
Unbaked Bricks,697,17012,local
Wood/Planks,4496,17012,local
BambooWall,80528,17005,local
Cement Bonded Bricks/Stone Wall,42156,17005,local
Mud Bonded Bricks/Stone Wall,6897,17005,local
Not Stated about Wall,3102,17005,local
Other Type Wall,349,17005,local
Unbaked Bricks,697,17005,local
Wood/Planks,4496,17005,local
BambooWall,80528,17001,local
Cement Bonded Bricks/Stone Wall,42156,17001,local
Mud Bonded Bricks/Stone Wall,6897,17001,local
Not Stated about Wall,3102,17001,local
Other Type Wall,349,17001,local
Unbaked Bricks,697,17001,local
Wood/Planks,4496,17001,local
BambooWall,80528,17009,local
Cement Bonded Bricks/Stone Wall,42156,17009,local
Mud Bonded Bricks/Stone Wall,6897,17009,local
Not Stated about Wall,3102,17009,local
Other Type Wall,349,17009,local
Unbaked Bricks,697,17009,local
Wood/Planks,4496,17009,local
BambooWall,80528,17010,local
Cement Bonded Bricks/Stone Wall,42156,17010,local
Mud Bonded Bricks/Stone Wall,6897,17010,local
Not Stated about Wall,3102,17010,local
Other Type Wall,349,17010,local
Unbaked Bricks,697,17010,local
Wood/Planks,4496,17010,local
BambooWall,80528,17008,local
Cement Bonded Bricks/Stone Wall,42156,17008,local
Mud Bonded Bricks/Stone Wall,6897,17008,local
Not Stated about Wall,3102,17008,local
Other Type Wall,349,17008,local
Unbaked Bricks,697,17008,local
Wood/Planks,4496,17008,local
BambooWall,80528,17003,local
Cement Bonded Bricks/Stone Wall,42156,17003,local
Mud Bonded Bricks/Stone Wall,6897,17003,local
Not Stated about Wall,3102,17003,local
Other Type Wall,349,17003,local
Unbaked Bricks,697,17003,local
Wood/Planks,4496,17003,local
BambooWall,80528,17002,local
Cement Bonded Bricks/Stone Wall,42156,17002,local
Mud Bonded Bricks/Stone Wall,6897,17002,local
Not Stated about Wall,3102,17002,local
Other Type Wall,349,17002,local
Unbaked Bricks,697,17002,local
Wood/Planks,4496,17002,local
BambooWall,44004,7,province
Cement Bonded Bricks/Stone Wall,75610,7,province
Mud Bonded Bricks/Stone Wall,254211,7,province
Not Stated about Wall,4075,7,province
Other Type Wall,16224,7,province
Unbaked Bricks,2033,7,province
Wood/Planks,73546,7,province
BambooWall,11,04,district
Cement Bonded Bricks/Stone Wall,3520,04,district
Mud Bonded Bricks/Stone Wall,41075,04,district
Not Stated about Wall,305,04,district
Other Type Wall,6,04,district
Unbaked Bricks,21,04,district
Wood/Planks,229,04,district
BambooWall,11,74005,local
Cement Bonded Bricks/Stone Wall,3520,74005,local
Mud Bonded Bricks/Stone Wall,41075,74005,local
Not Stated about Wall,305,74005,local
Other Type Wall,6,74005,local
Unbaked Bricks,21,74005,local
Wood/Planks,229,74005,local
BambooWall,11,74008,local
Cement Bonded Bricks/Stone Wall,3520,74008,local
Mud Bonded Bricks/Stone Wall,41075,74008,local
Not Stated about Wall,305,74008,local
Other Type Wall,6,74008,local
Unbaked Bricks,21,74008,local
Wood/Planks,229,74008,local
BambooWall,11,74010,local
Cement Bonded Bricks/Stone Wall,3520,74010,local
Mud Bonded Bricks/Stone Wall,41075,74010,local
Not Stated about Wall,305,74010,local
Other Type Wall,6,74010,local
Unbaked Bricks,21,74010,local
Wood/Planks,229,74010,local
BambooWall,11,74009,local
Cement Bonded Bricks/Stone Wall,3520,74009,local
Mud Bonded Bricks/Stone Wall,41075,74009,local
Not Stated about Wall,305,74009,local
Other Type Wall,6,74009,local
Unbaked Bricks,21,74009,local
Wood/Planks,229,74009,local
BambooWall,11,74007,local
Cement Bonded Bricks/Stone Wall,3520,74007,local
Mud Bonded Bricks/Stone Wall,41075,74007,local
Not Stated about Wall,305,74007,local
Other Type Wall,6,74007,local
Unbaked Bricks,21,74007,local
Wood/Planks,229,74007,local
BambooWall,11,74003,local
Cement Bonded Bricks/Stone Wall,3520,74003,local
Mud Bonded Bricks/Stone Wall,41075,74003,local
Not Stated about Wall,305,74003,local
Other Type Wall,6,74003,local
Unbaked Bricks,21,74003,local
Wood/Planks,229,74003,local
BambooWall,11,74004,local
Cement Bonded Bricks/Stone Wall,3520,74004,local
Mud Bonded Bricks/Stone Wall,41075,74004,local
Not Stated about Wall,305,74004,local
Other Type Wall,6,74004,local
Unbaked Bricks,21,74004,local
Wood/Planks,229,74004,local
BambooWall,11,74001,local
Cement Bonded Bricks/Stone Wall,3520,74001,local
Mud Bonded Bricks/Stone Wall,41075,74001,local
Not Stated about Wall,305,74001,local
Other Type Wall,6,74001,local
Unbaked Bricks,21,74001,local
Wood/Planks,229,74001,local
BambooWall,11,74002,local
Cement Bonded Bricks/Stone Wall,3520,74002,local
Mud Bonded Bricks/Stone Wall,41075,74002,local
Not Stated about Wall,305,74002,local
Other Type Wall,6,74002,local
Unbaked Bricks,21,74002,local
Wood/Planks,229,74002,local
BambooWall,11,74006,local
Cement Bonded Bricks/Stone Wall,3520,74006,local
Mud Bonded Bricks/Stone Wall,41075,74006,local
Not Stated about Wall,305,74006,local
Other Type Wall,6,74006,local
Unbaked Bricks,21,74006,local
Wood/Planks,229,74006,local
BambooWall,41,16,district
Cement Bonded Bricks/Stone Wall,5001,16,district
Mud Bonded Bricks/Stone Wall,19023,16,district
Not Stated about Wall,131,16,district
Other Type Wall,204,16,district
Unbaked Bricks,13,16,district
Wood/Planks,191,16,district
BambooWall,41,75005,local
Cement Bonded Bricks/Stone Wall,5001,75005,local
Mud Bonded Bricks/Stone Wall,19023,75005,local
Not Stated about Wall,131,75005,local
Other Type Wall,204,75005,local
Unbaked Bricks,13,75005,local
Wood/Planks,191,75005,local
BambooWall,41,75009,local
Cement Bonded Bricks/Stone Wall,5001,75009,local
Mud Bonded Bricks/Stone Wall,19023,75009,local
Not Stated about Wall,131,75009,local
Other Type Wall,204,75009,local
Unbaked Bricks,13,75009,local
Wood/Planks,191,75009,local
BambooWall,41,75001,local
Cement Bonded Bricks/Stone Wall,5001,75001,local
Mud Bonded Bricks/Stone Wall,19023,75001,local
Not Stated about Wall,131,75001,local
Other Type Wall,204,75001,local
Unbaked Bricks,13,75001,local
Wood/Planks,191,75001,local
BambooWall,41,75008,local
Cement Bonded Bricks/Stone Wall,5001,75008,local
Mud Bonded Bricks/Stone Wall,19023,75008,local
Not Stated about Wall,131,75008,local
Other Type Wall,204,75008,local
Unbaked Bricks,13,75008,local
Wood/Planks,191,75008,local
BambooWall,41,75002,local
Cement Bonded Bricks/Stone Wall,5001,75002,local
Mud Bonded Bricks/Stone Wall,19023,75002,local
Not Stated about Wall,131,75002,local
Other Type Wall,204,75002,local
Unbaked Bricks,13,75002,local
Wood/Planks,191,75002,local
BambooWall,41,75004,local
Cement Bonded Bricks/Stone Wall,5001,75004,local
Mud Bonded Bricks/Stone Wall,19023,75004,local
Not Stated about Wall,131,75004,local
Other Type Wall,204,75004,local
Unbaked Bricks,13,75004,local
Wood/Planks,191,75004,local
BambooWall,41,75006,local
Cement Bonded Bricks/Stone Wall,5001,75006,local
Mud Bonded Bricks/Stone Wall,19023,75006,local
Not Stated about Wall,131,75006,local
Other Type Wall,204,75006,local
Unbaked Bricks,13,75006,local
Wood/Planks,191,75006,local
BambooWall,41,75003,local
Cement Bonded Bricks/Stone Wall,5001,75003,local
Mud Bonded Bricks/Stone Wall,19023,75003,local
Not Stated about Wall,131,75003,local
Other Type Wall,204,75003,local
Unbaked Bricks,13,75003,local
Wood/Planks,191,75003,local
BambooWall,41,75007,local
Cement Bonded Bricks/Stone Wall,5001,75007,local
Mud Bonded Bricks/Stone Wall,19023,75007,local
Not Stated about Wall,131,75007,local
Other Type Wall,204,75007,local
Unbaked Bricks,13,75007,local
Wood/Planks,191,75007,local
BambooWall,154,13,district
Cement Bonded Bricks/Stone Wall,2681,13,district
Mud Bonded Bricks/Stone Wall,21645,13,district
Not Stated about Wall,186,13,district
Other Type Wall,51,13,district
Unbaked Bricks,7,13,district
Wood/Planks,2299,13,district
BambooWall,154,73006,local
Cement Bonded Bricks/Stone Wall,2681,73006,local
Mud Bonded Bricks/Stone Wall,21645,73006,local
Not Stated about Wall,186,73006,local
Other Type Wall,51,73006,local
Unbaked Bricks,7,73006,local
Wood/Planks,2299,73006,local
BambooWall,154,73005,local
Cement Bonded Bricks/Stone Wall,2681,73005,local
Mud Bonded Bricks/Stone Wall,21645,73005,local
Not Stated about Wall,186,73005,local
Other Type Wall,51,73005,local
Unbaked Bricks,7,73005,local
Wood/Planks,2299,73005,local
BambooWall,154,73007,local
Cement Bonded Bricks/Stone Wall,2681,73007,local
Mud Bonded Bricks/Stone Wall,21645,73007,local
Not Stated about Wall,186,73007,local
Other Type Wall,51,73007,local
Unbaked Bricks,7,73007,local
Wood/Planks,2299,73007,local
BambooWall,154,73002,local
Cement Bonded Bricks/Stone Wall,2681,73002,local
Mud Bonded Bricks/Stone Wall,21645,73002,local
Not Stated about Wall,186,73002,local
Other Type Wall,51,73002,local
Unbaked Bricks,7,73002,local
Wood/Planks,2299,73002,local
BambooWall,154,73001,local
Cement Bonded Bricks/Stone Wall,2681,73001,local
Mud Bonded Bricks/Stone Wall,21645,73001,local
Not Stated about Wall,186,73001,local
Other Type Wall,51,73001,local
Unbaked Bricks,7,73001,local
Wood/Planks,2299,73001,local
BambooWall,154,73004,local
Cement Bonded Bricks/Stone Wall,2681,73004,local
Mud Bonded Bricks/Stone Wall,21645,73004,local
Not Stated about Wall,186,73004,local
Other Type Wall,51,73004,local
Unbaked Bricks,7,73004,local
Wood/Planks,2299,73004,local
BambooWall,154,73003,local
Cement Bonded Bricks/Stone Wall,2681,73003,local
Mud Bonded Bricks/Stone Wall,21645,73003,local
Not Stated about Wall,186,73003,local
Other Type Wall,51,73003,local
Unbaked Bricks,7,73003,local
Wood/Planks,2299,73003,local
BambooWall,12,06,district
Cement Bonded Bricks/Stone Wall,282,06,district
Mud Bonded Bricks/Stone Wall,23813,06,district
Not Stated about Wall,233,06,district
Other Type Wall,186,06,district
Unbaked Bricks,102,06,district
Wood/Planks,260,06,district
BambooWall,12,67002,local
Cement Bonded Bricks/Stone Wall,282,67002,local
Mud Bonded Bricks/Stone Wall,23813,67002,local
Not Stated about Wall,233,67002,local
Other Type Wall,186,67002,local
Unbaked Bricks,102,67002,local
Wood/Planks,260,67002,local
BambooWall,12,67006,local
Cement Bonded Bricks/Stone Wall,282,67006,local
Mud Bonded Bricks/Stone Wall,23813,67006,local
Not Stated about Wall,233,67006,local
Other Type Wall,186,67006,local
Unbaked Bricks,102,67006,local
Wood/Planks,260,67006,local
BambooWall,12,67009,local
Cement Bonded Bricks/Stone Wall,282,67009,local
Mud Bonded Bricks/Stone Wall,23813,67009,local
Not Stated about Wall,233,67009,local
Other Type Wall,186,67009,local
Unbaked Bricks,102,67009,local
Wood/Planks,260,67009,local
BambooWall,12,67007,local
Cement Bonded Bricks/Stone Wall,282,67007,local
Mud Bonded Bricks/Stone Wall,23813,67007,local
Not Stated about Wall,233,67007,local
Other Type Wall,186,67007,local
Unbaked Bricks,102,67007,local
Wood/Planks,260,67007,local
BambooWall,12,67008,local
Cement Bonded Bricks/Stone Wall,282,67008,local
Mud Bonded Bricks/Stone Wall,23813,67008,local
Not Stated about Wall,233,67008,local
Other Type Wall,186,67008,local
Unbaked Bricks,102,67008,local
Wood/Planks,260,67008,local
BambooWall,12,67003,local
Cement Bonded Bricks/Stone Wall,282,67003,local
Mud Bonded Bricks/Stone Wall,23813,67003,local
Not Stated about Wall,233,67003,local
Other Type Wall,186,67003,local
Unbaked Bricks,102,67003,local
Wood/Planks,260,67003,local
BambooWall,12,67005,local
Cement Bonded Bricks/Stone Wall,282,67005,local
Mud Bonded Bricks/Stone Wall,23813,67005,local
Not Stated about Wall,233,67005,local
Other Type Wall,186,67005,local
Unbaked Bricks,102,67005,local
Wood/Planks,260,67005,local
BambooWall,12,67004,local
Cement Bonded Bricks/Stone Wall,282,67004,local
Mud Bonded Bricks/Stone Wall,23813,67004,local
Not Stated about Wall,233,67004,local
Other Type Wall,186,67004,local
Unbaked Bricks,102,67004,local
Wood/Planks,260,67004,local
BambooWall,12,67001,local
Cement Bonded Bricks/Stone Wall,282,67001,local
Mud Bonded Bricks/Stone Wall,23813,67001,local
Not Stated about Wall,233,67001,local
Other Type Wall,186,67001,local
Unbaked Bricks,102,67001,local
Wood/Planks,260,67001,local
BambooWall,28344,30,district
Cement Bonded Bricks/Stone Wall,33482,30,district
Mud Bonded Bricks/Stone Wall,21368,30,district
Not Stated about Wall,1007,30,district
Other Type Wall,11393,30,district
Unbaked Bricks,1208,30,district
Wood/Planks,45611,30,district
BambooWall,28344,71004,local
Cement Bonded Bricks/Stone Wall,33482,71004,local
Mud Bonded Bricks/Stone Wall,21368,71004,local
Not Stated about Wall,1007,71004,local
