language,total,geo_code,geo_level,geo_version
Nepali,9968,20007,local,2016
Newar,440,20007,local,2016
Others,23,20007,local,2016
Rai,28,20007,local,2016
Sunuwar,1843,20007,local,2016
Tamang,787,20007,local,2016
Wambule,803,20007,local,2016
Bhojpuri,15,20004,local,2016
Danuwar,2493,20004,local,2016
Magar,1057,20004,local,2016
Maithili,31,20004,local,2016
Majhi,741,20004,local,2016
Nepali,3749,20004,local,2016
Newar,177,20004,local,2016
Not Reported,27,20004,local,2016
Others,23,20004,local,2016
Pahari,83,20004,local,2016
Rai,810,20004,local,2016
Sign Language,55,20004,local,2016
Tamang,18466,20004,local,2016
Bhojpuri,11,20006,local,2016
Danuwar,12,20006,local,2016
Hayu/Vayu,30,20006,local,2016
Magar,3200,20006,local,2016
Maithili,77,20006,local,2016
Majhi,2351,20006,local,2016
Nepali,5345,20006,local,2016
Newar,512,20006,local,2016
Not Reported,377,20006,local,2016
Others,37,20006,local,2016
Sign Language,21,20006,local,2016
Sunuwar,45,20006,local,2016
Tamang,15599,20006,local,2016
Thami,205,20006,local,2016
Bhojpuri,20,20001,local,2016
Danuwar,13150,20001,local,2016
Doteli,11,20001,local,2016
Gurung,55,20001,local,2016
Magar,6000,20001,local,2016
Maithili,3232,20001,local,2016
Majhi,675,20001,local,2016
Nepali,30115,20001,local,2016
Newar,709,20001,local,2016
Not Reported,44,20001,local,2016
Others,51,20001,local,2016
Rai,549,20001,local,2016
Sign Language,14,20001,local,2016
Sunuwar,1725,20001,local,2016
Tamang,8830,20001,local,2016
Thami,60,20001,local,2016
Tharu,37,20001,local,2016
Urdu,25,20001,local,2016
Magar,940,20002,local,2016
Maithili,11,20002,local,2016
Nepali,1369,20002,local,2016
Newar,574,20002,local,2016
Others,14,20002,local,2016
Sunuwar,323,20002,local,2016
Tamang,10164,20002,local,2016
Thami,328,20002,local,2016
Urdu,38,20002,local,2016
Bhojpuri,29,20009,local,2016
Hayu/Vayu,14,20009,local,2016
Magar,11861,20009,local,2016
Maithili,111,20009,local,2016
Majhi,287,20009,local,2016
Nepali,16538,20009,local,2016
Newar,2073,20009,local,2016
Not Reported,18,20009,local,2016
Others,35,20009,local,2016
Rai,29,20009,local,2016
Sunuwar,186,20009,local,2016
Tamang,5224,20009,local,2016
Gurung,70,20003,local,2016
Hayu/Vayu,272,20003,local,2016
Magar,2562,20003,local,2016
Maithili,26,20003,local,2016
Majhi,204,20003,local,2016
Nepali,15096,20003,local,2016
Newar,201,20003,local,2016
Not Reported,59,20003,local,2016
Others,24,20003,local,2016
Rai,29,20003,local,2016
Tamang,786,20003,local,2016
Bhojpuri,82,20005,local,2016
Danuwar,1268,20005,local,2016
Gurung,64,20005,local,2016
Hayu/Vayu,548,20005,local,2016
Limbu,14,20005,local,2016
Magar,3087,20005,local,2016
Maithili,1081,20005,local,2016
Majhi,477,20005,local,2016
Nepali,42088,20005,local,2016
Newar,1833,20005,local,2016
Not Reported,39,20005,local,2016
Others,79,20005,local,2016
Rai,55,20005,local,2016
Sherpa,14,20005,local,2016
Sign Language,26,20005,local,2016
Sunuwar,478,20005,local,2016
Tamang,13060,20005,local,2016
Thami,58,20005,local,2016
Tharu,24,20005,local,2016
Urdu,11,20005,local,2016
Bhojpuri,78,66,district,2016
Bote,11,66,district,2016
Danuwar,3474,66,district,2016
Gurung,769,66,district,2016
Hindi,45,66,district,2016
Hyolmo/Yholmo,4721,66,district,2016
Magar,305,66,district,2016
Maithili,612,66,district,2016
Majhi,522,66,district,2016
Nepali,152421,66,district,2016
Newar,16931,66,district,2016
Not Reported,366,66,district,2016
Others,492,66,district,2016
Pahari,388,66,district,2016
Rai,37,66,district,2016
Sherpa,7597,66,district,2016
Sign Language,13,66,district,2016
Tamang,93527,66,district,2016
Thami,3267,66,district,2016
Tharu,11,66,district,2016
Tibetan,183,66,district,2016
Maithili,17,23011,local,2016
Nepali,13766,23011,local,2016
Newar,285,23011,local,2016
Not Reported,35,23011,local,2016
Others,27,23011,local,2016
Pahari,388,23011,local,2016
Tamang,2715,23011,local,2016
Thami,13,23011,local,2016
Gurung,13,23008,local,2016
Maithili,32,23008,local,2016
Nepali,5241,23008,local,2016
Newar,1507,23008,local,2016
Not Reported,15,23008,local,2016
Others,34,23008,local,2016
Tamang,8291,23008,local,2016
Bote,11,23007,local,2016
Maithili,23,23007,local,2016
Nepali,6612,23007,local,2016
Newar,578,23007,local,2016
Not Reported,13,23007,local,2016
Others,18,23007,local,2016
Sherpa,694,23007,local,2016
Tamang,11282,23007,local,2016
Danuwar,2221,23006,local,2016
Hyolmo/Yholmo,301,23006,local,2016
Maithili,32,23006,local,2016
Majhi,305,23006,local,2016
Nepali,17192,23006,local,2016
Newar,1008,23006,local,2016
Not Reported,64,23006,local,2016
Others,20,23006,local,2016
Rai,13,23006,local,2016
Sherpa,46,23006,local,2016
Tamang,7315,23006,local,2016
Bhojpuri,14,23004,local,2016
Hindi,17,23004,local,2016
Magar,118,23004,local,2016
Maithili,83,23004,local,2016
Majhi,217,23004,local,2016
Nepali,30112,23004,local,2016
Newar,5322,23004,local,2016
Not Reported,39,23004,local,2016
Others,47,23004,local,2016
Sherpa,48,23004,local,2016
Tamang,10480,23004,local,2016
Bhojpuri,31,23003,local,2016
Gurung,19,23003,local,2016
Hyolmo/Yholmo,52,23003,local,2016
Magar,72,23003,local,2016
Maithili,45,23003,local,2016
Nepali,8596,23003,local,2016
Newar,874,23003,local,2016
Others,39,23003,local,2016
Sherpa,4646,23003,local,2016
Tamang,2002,23003,local,2016
Thami,72,23003,local,2016
Tibetan,183,23003,local,2016
Gurung,52,23005,local,2016
Hyolmo/Yholmo,3269,23005,local,2016
Magar,35,23005,local,2016
Maithili,38,23005,local,2016
Nepali,5337,23005,local,2016
Newar,206,23005,local,2016
Not Reported,32,23005,local,2016
Others,48,23005,local,2016
Sherpa,175,23005,local,2016
Tamang,8479,23005,local,2016
Gurung,38,23001,local,2016
Hindi,11,23001,local,2016
Maithili,36,23001,local,2016
Nepali,11451,23001,local,2016
Newar,1433,23001,local,2016
Others,74,23001,local,2016
Tamang,5866,23001,local,2016
Bhojpuri,22,23009,local,2016
Danuwar,1163,23009,local,2016
Gurung,424,23009,local,2016
Hyolmo/Yholmo,21,23009,local,2016
Magar,80,23009,local,2016
Maithili,131,23009,local,2016
Nepali,26096,23009,local,2016
Newar,1037,23009,local,2016
Not Reported,111,23009,local,2016
Others,47,23009,local,2016
Rai,24,23009,local,2016
Sherpa,149,23009,local,2016
Tamang,16027,23009,local,2016
Tharu,11,23009,local,2016
Maithili,29,23012,local,2016
Nepali,7364,23012,local,2016
Newar,2399,23012,local,2016
Others,50,23012,local,2016
Sherpa,75,23012,local,2016
Tamang,338,23012,local,2016
Thami,2942,23012,local,2016
Bhojpuri,11,23002,local,2016
Gurung,23,23002,local,2016
Hindi,17,23002,local,2016
Hyolmo/Yholmo,14,23002,local,2016
