education level passed,geo_code,geo_level,sex,total
Post Graduate Equivalent and Above,20004,local,Male,481
Primary Education (1-5 Class),20004,local,Female,35857
Primary Education (1-5 Class),20004,local,Male,41051
Secondary Level (Class 9-10),20004,local,Female,5472
Secondary Level (Class 9-10),20004,local,Male,7458
SLC and Equivalent,20004,local,Female,6346
SLC and Equivalent,20004,local,Male,8495
Beginners,20006,local,Female,3749
Beginners,20006,local,Male,4288
Graduate and Equivalent,20006,local,Female,543
Graduate and Equivalent,20006,local,Male,1224
Intermediate and Equivalent,20006,local,Female,3075
Intermediate and Equivalent,20006,local,Male,3577
Level not Stated,20006,local,Female,304
Level not Stated,20006,local,Male,388
Lower Secondary (Class 6-8),20006,local,Female,14533
Lower Secondary (Class 6-8),20006,local,Male,17097
Non Formal Education,20006,local,Female,4405
Non Formal Education,20006,local,Male,3974
Others,20006,local,Female,44
Others,20006,local,Male,54
Post Graduate Equivalent and Above,20006,local,Female,80
Post Graduate Equivalent and Above,20006,local,Male,481
Primary Education (1-5 Class),20006,local,Female,35857
Primary Education (1-5 Class),20006,local,Male,41051
Secondary Level (Class 9-10),20006,local,Female,5472
Secondary Level (Class 9-10),20006,local,Male,7458
SLC and Equivalent,20006,local,Female,6346
SLC and Equivalent,20006,local,Male,8495
Beginners,20001,local,Female,3749
Beginners,20001,local,Male,4288
Graduate and Equivalent,20001,local,Female,543
Graduate and Equivalent,20001,local,Male,1224
Intermediate and Equivalent,20001,local,Female,3075
Intermediate and Equivalent,20001,local,Male,3577
Level not Stated,20001,local,Female,304
Level not Stated,20001,local,Male,388
Lower Secondary (Class 6-8),20001,local,Female,14533
Lower Secondary (Class 6-8),20001,local,Male,17097
Non Formal Education,20001,local,Female,4405
Non Formal Education,20001,local,Male,3974
Others,20001,local,Female,44
Others,20001,local,Male,54
Post Graduate Equivalent and Above,20001,local,Female,80
Post Graduate Equivalent and Above,20001,local,Male,481
Primary Education (1-5 Class),20001,local,Female,35857
Primary Education (1-5 Class),20001,local,Male,41051
Secondary Level (Class 9-10),20001,local,Female,5472
Secondary Level (Class 9-10),20001,local,Male,7458
SLC and Equivalent,20001,local,Female,6346
SLC and Equivalent,20001,local,Male,8495
Beginners,20002,local,Female,3749
Beginners,20002,local,Male,4288
Graduate and Equivalent,20002,local,Female,543
Graduate and Equivalent,20002,local,Male,1224
Intermediate and Equivalent,20002,local,Female,3075
Intermediate and Equivalent,20002,local,Male,3577
Level not Stated,20002,local,Female,304
Level not Stated,20002,local,Male,388
Lower Secondary (Class 6-8),20002,local,Female,14533
Lower Secondary (Class 6-8),20002,local,Male,17097
Non Formal Education,20002,local,Female,4405
Non Formal Education,20002,local,Male,3974
Others,20002,local,Female,44
Others,20002,local,Male,54
Post Graduate Equivalent and Above,20002,local,Female,80
