Agricultural holdings size by land tenure,total,geo_code,geo_level,geo_version
Rented Land Holdings,822,30003,local,2016
Other Tenure Land,34,30006,local,2016
Owned Land Holdings,34541,30006,local,2016
Rented Land Holdings,822,30006,local,2016
Other Tenure Land,34,30013,local,2016
Owned Land Holdings,34541,30013,local,2016
Rented Land Holdings,822,30013,local,2016
Other Tenure Land,34,30002,local,2016
Owned Land Holdings,34541,30002,local,2016
Rented Land Holdings,822,30002,local,2016
Other Tenure Land,34,30012,local,2016
Owned Land Holdings,34541,30012,local,2016
Rented Land Holdings,822,30012,local,2016
Other Tenure Land,34,30001,local,2016
Owned Land Holdings,34541,30001,local,2016
Rented Land Holdings,822,30001,local,2016
Other Tenure Land,2189,5,province,2016
Owned Land Holdings,415144,5,province,2016
Rented Land Holdings,67345,5,province,2016
Other Tenure Land,69,24,district,2016
Owned Land Holdings,39447,24,district,2016
Rented Land Holdings,1394,24,district,2016
Other Tenure Land,69,46006,local,2016
Owned Land Holdings,39447,46006,local,2016
Rented Land Holdings,1394,46006,local,2016
Other Tenure Land,69,46001,local,2016
Owned Land Holdings,39447,46001,local,2016
Rented Land Holdings,1394,46001,local,2016
Other Tenure Land,69,46010,local,2016
Owned Land Holdings,39447,46010,local,2016
Rented Land Holdings,1394,46010,local,2016
Other Tenure Land,69,46008,local,2016
Owned Land Holdings,39447,46008,local,2016
Rented Land Holdings,1394,46008,local,2016
Other Tenure Land,69,46011,local,2016
Owned Land Holdings,39447,46011,local,2016
Rented Land Holdings,1394,46011,local,2016
Other Tenure Land,69,46012,local,2016
Owned Land Holdings,39447,46012,local,2016
Rented Land Holdings,1394,46012,local,2016
Other Tenure Land,69,46003,local,2016
Owned Land Holdings,39447,46003,local,2016
Rented Land Holdings,1394,46003,local,2016
Other Tenure Land,69,46002,local,2016
Owned Land Holdings,39447,46002,local,2016
Rented Land Holdings,1394,46002,local,2016
Other Tenure Land,69,46004,local,2016
Owned Land Holdings,39447,46004,local,2016
Rented Land Holdings,1394,46004,local,2016
Other Tenure Land,69,46007,local,2016
Owned Land Holdings,39447,46007,local,2016
Rented Land Holdings,1394,46007,local,2016
Other Tenure Land,69,46009,local,2016
Owned Land Holdings,39447,46009,local,2016
Rented Land Holdings,1394,46009,local,2016
Other Tenure Land,69,46005,local,2016
Owned Land Holdings,39447,46005,local,2016
Rented Land Holdings,1394,46005,local,2016
Other Tenure Land,0,59,district,2016
Owned Land Holdings,7840,59,district,2016
Rented Land Holdings,118,59,district,2016
Other Tenure Land,0,77001,local,2016
Owned Land Holdings,7840,77001,local,2016
Rented Land Holdings,118,77001,local,2016
Other Tenure Land,0,77002,local,2016
Owned Land Holdings,7840,77002,local,2016
Rented Land Holdings,118,77002,local,2016
Other Tenure Land,0,77003,local,2016
Owned Land Holdings,7840,77003,local,2016
Rented Land Holdings,118,77003,local,2016
Other Tenure Land,49,54,district,2016
Owned Land Holdings,25388,54,district,2016
Rented Land Holdings,374,54,district,2016
Other Tenure Land,49,52001,local,2016
Owned Land Holdings,25388,52001,local,2016
Rented Land Holdings,374,52001,local,2016
Other Tenure Land,49,52004,local,2016
Owned Land Holdings,25388,52004,local,2016
Rented Land Holdings,374,52004,local,2016
Other Tenure Land,49,52003,local,2016
Owned Land Holdings,25388,52003,local,2016
Rented Land Holdings,374,52003,local,2016
Other Tenure Land,49,52005,local,2016
Owned Land Holdings,25388,52005,local,2016
Rented Land Holdings,374,52005,local,2016
Other Tenure Land,49,52008,local,2016
Owned Land Holdings,25388,52008,local,2016
Rented Land Holdings,374,52008,local,2016
Other Tenure Land,49,52002,local,2016
Owned Land Holdings,25388,52002,local,2016
Rented Land Holdings,374,52002,local,2016
Other Tenure Land,49,52009,local,2016
Owned Land Holdings,25388,52009,local,2016
Rented Land Holdings,374,52009,local,2016
Other Tenure Land,49,52007,local,2016
Owned Land Holdings,25388,52007,local,2016
Rented Land Holdings,374,52007,local,2016
Other Tenure Land,49,52006,local,2016
Owned Land Holdings,25388,52006,local,2016
Rented Land Holdings,374,52006,local,2016
Other Tenure Land,107,60,district,2016
Owned Land Holdings,62797,60,district,2016
Rented Land Holdings,8284,60,district,2016
Other Tenure Land,107,49010,local,2016
Owned Land Holdings,62797,49010,local,2016
Rented Land Holdings,8284,49010,local,2016
Other Tenure Land,107,49004,local,2016
Owned Land Holdings,62797,49004,local,2016
Rented Land Holdings,8284,49004,local,2016
Other Tenure Land,107,49012,local,2016
Owned Land Holdings,62797,49012,local,2016
Rented Land Holdings,8284,49012,local,2016
Other Tenure Land,107,49001,local,2016
Owned Land Holdings,62797,49001,local,2016
Rented Land Holdings,8284,49001,local,2016
Other Tenure Land,107,49015,local,2016
Owned Land Holdings,62797,49015,local,2016
Rented Land Holdings,8284,49015,local,2016
Other Tenure Land,107,49009,local,2016
Owned Land Holdings,62797,49009,local,2016
Rented Land Holdings,8284,49009,local,2016
Other Tenure Land,107,49011,local,2016
Owned Land Holdings,62797,49011,local,2016
Rented Land Holdings,8284,49011,local,2016
Other Tenure Land,107,49016,local,2016
Owned Land Holdings,62797,49016,local,2016
Rented Land Holdings,8284,49016,local,2016
Other Tenure Land,107,49014,local,2016
Owned Land Holdings,62797,49014,local,2016
Rented Land Holdings,8284,49014,local,2016
Other Tenure Land,107,49008,local,2016
Owned Land Holdings,62797,49008,local,2016
Rented Land Holdings,8284,49008,local,2016
Other Tenure Land,107,49003,local,2016
Owned Land Holdings,62797,49003,local,2016
Rented Land Holdings,8284,49003,local,2016
Other Tenure Land,107,49006,local,2016
Owned Land Holdings,62797,49006,local,2016
Rented Land Holdings,8284,49006,local,2016
Other Tenure Land,107,49005,local,2016
Owned Land Holdings,62797,49005,local,2016
Rented Land Holdings,8284,49005,local,2016
Other Tenure Land,107,49007,local,2016
Owned Land Holdings,62797,49007,local,2016
Rented Land Holdings,8284,49007,local,2016
Other Tenure Land,107,49002,local,2016
Owned Land Holdings,62797,49002,local,2016
Rented Land Holdings,8284,49002,local,2016
Other Tenure Land,107,49013,local,2016
Owned Land Holdings,62797,49013,local,2016
Rented Land Holdings,8284,49013,local,2016
Other Tenure Land,132,76,district,2016
Owned Land Holdings,30604,76,district,2016
Rented Land Holdings,3754,76,district,2016
Other Tenure Land,132,48004,local,2016
Owned Land Holdings,30604,48004,local,2016
Rented Land Holdings,3754,48004,local,2016
Other Tenure Land,132,48002,local,2016
Owned Land Holdings,30604,48002,local,2016
Rented Land Holdings,3754,48002,local,2016
Other Tenure Land,132,48005,local,2016
Owned Land Holdings,30604,48005,local,2016
Rented Land Holdings,3754,48005,local,2016
Other Tenure Land,132,48001,local,2016
Owned Land Holdings,30604,48001,local,2016
Rented Land Holdings,3754,48001,local,2016
Other Tenure Land,132,48006,local,2016
Owned Land Holdings,30604,48006,local,2016
Rented Land Holdings,3754,48006,local,2016
Other Tenure Land,132,48007,local,2016
Owned Land Holdings,30604,48007,local,2016
Rented Land Holdings,3754,48007,local,2016
Other Tenure Land,132,48003,local,2016
Owned Land Holdings,30604,48003,local,2016
Rented Land Holdings,3754,48003,local,2016
Other Tenure Land,207,07,district,2016
Owned Land Holdings,33271,07,district,2016
Rented Land Holdings,10642,07,district,2016
Other Tenure Land,207,57002,local,2016
Owned Land Holdings,33271,57002,local,2016
Rented Land Holdings,10642,57002,local,2016
Other Tenure Land,207,57006,local,2016
Owned Land Holdings,33271,57006,local,2016
Rented Land Holdings,10642,57006,local,2016
Other Tenure Land,207,57008,local,2016
Owned Land Holdings,33271,57008,local,2016
Rented Land Holdings,10642,57008,local,2016
Other Tenure Land,207,57001,local,2016
Owned Land Holdings,33271,57001,local,2016
Rented Land Holdings,10642,57001,local,2016
Other Tenure Land,207,57004,local,2016
Owned Land Holdings,33271,57004,local,2016
Rented Land Holdings,10642,57004,local,2016
Other Tenure Land,207,57005,local,2016
Owned Land Holdings,33271,57005,local,2016
Rented Land Holdings,10642,57005,local,2016
Other Tenure Land,207,57007,local,2016
Owned Land Holdings,33271,57007,local,2016
Rented Land Holdings,10642,57007,local,2016
Other Tenure Land,207,57003,local,2016
Owned Land Holdings,33271,57003,local,2016
