Agricultural holdings size by land tenure,total,geo_code,geo_level,geo_version
Rented Land Holdings,5262,32013,local,2016
Other Tenure Land,73,32008,local,2016
Owned Land Holdings,59500,32008,local,2016
Rented Land Holdings,5262,32008,local,2016
Other Tenure Land,393,08,district,2016
Owned Land Holdings,49012,08,district,2016
Rented Land Holdings,7462,08,district,2016
Other Tenure Land,393,33014,local,2016
Owned Land Holdings,49012,33014,local,2016
Rented Land Holdings,7462,33014,local,2016
Other Tenure Land,393,33016,local,2016
Owned Land Holdings,49012,33016,local,2016
Rented Land Holdings,7462,33016,local,2016
Other Tenure Land,393,33012,local,2016
Owned Land Holdings,49012,33012,local,2016
Rented Land Holdings,7462,33012,local,2016
Other Tenure Land,393,33007,local,2016
Owned Land Holdings,49012,33007,local,2016
Rented Land Holdings,7462,33007,local,2016
Other Tenure Land,393,33004,local,2016
Owned Land Holdings,49012,33004,local,2016
Rented Land Holdings,7462,33004,local,2016
Other Tenure Land,393,33010,local,2016
Owned Land Holdings,49012,33010,local,2016
Rented Land Holdings,7462,33010,local,2016
Other Tenure Land,393,33002,local,2016
Owned Land Holdings,49012,33002,local,2016
Rented Land Holdings,7462,33002,local,2016
Other Tenure Land,393,33005,local,2016
Owned Land Holdings,49012,33005,local,2016
Rented Land Holdings,7462,33005,local,2016
Other Tenure Land,393,33001,local,2016
Owned Land Holdings,49012,33001,local,2016
Rented Land Holdings,7462,33001,local,2016
Other Tenure Land,393,33013,local,2016
Owned Land Holdings,49012,33013,local,2016
Rented Land Holdings,7462,33013,local,2016
Other Tenure Land,393,33011,local,2016
Owned Land Holdings,49012,33011,local,2016
Rented Land Holdings,7462,33011,local,2016
Other Tenure Land,393,33009,local,2016
Owned Land Holdings,49012,33009,local,2016
Rented Land Holdings,7462,33009,local,2016
Other Tenure Land,393,33006,local,2016
Owned Land Holdings,49012,33006,local,2016
Rented Land Holdings,7462,33006,local,2016
Other Tenure Land,393,33003,local,2016
Owned Land Holdings,49012,33003,local,2016
Rented Land Holdings,7462,33003,local,2016
Other Tenure Land,393,33008,local,2016
Owned Land Holdings,49012,33008,local,2016
Rented Land Holdings,7462,33008,local,2016
Other Tenure Land,393,33015,local,2016
Owned Land Holdings,49012,33015,local,2016
Rented Land Holdings,7462,33015,local,2016
Other Tenure Land,24,19,district,2016
Owned Land Holdings,67367,19,district,2016
Rented Land Holdings,4916,19,district,2016
Other Tenure Land,24,17013,local,2016
Owned Land Holdings,67367,17013,local,2016
Rented Land Holdings,4916,17013,local,2016
Other Tenure Land,24,17017,local,2016
Owned Land Holdings,67367,17017,local,2016
Rented Land Holdings,4916,17017,local,2016
Other Tenure Land,24,17004,local,2016
Owned Land Holdings,67367,17004,local,2016
Rented Land Holdings,4916,17004,local,2016
Other Tenure Land,24,17015,local,2016
Owned Land Holdings,67367,17015,local,2016
Rented Land Holdings,4916,17015,local,2016
Other Tenure Land,24,17011,local,2016
Owned Land Holdings,67367,17011,local,2016
Rented Land Holdings,4916,17011,local,2016
Other Tenure Land,24,17016,local,2016
Owned Land Holdings,67367,17016,local,2016
Rented Land Holdings,4916,17016,local,2016
Other Tenure Land,24,17006,local,2016
Owned Land Holdings,67367,17006,local,2016
Rented Land Holdings,4916,17006,local,2016
Other Tenure Land,24,17018,local,2016
Owned Land Holdings,67367,17018,local,2016
Rented Land Holdings,4916,17018,local,2016
Other Tenure Land,24,17007,local,2016
Owned Land Holdings,67367,17007,local,2016
Rented Land Holdings,4916,17007,local,2016
Other Tenure Land,24,17014,local,2016
Owned Land Holdings,67367,17014,local,2016
Rented Land Holdings,4916,17014,local,2016
Other Tenure Land,24,17012,local,2016
Owned Land Holdings,67367,17012,local,2016
Rented Land Holdings,4916,17012,local,2016
Other Tenure Land,24,17005,local,2016
Owned Land Holdings,67367,17005,local,2016
Rented Land Holdings,4916,17005,local,2016
Other Tenure Land,24,17001,local,2016
Owned Land Holdings,67367,17001,local,2016
Rented Land Holdings,4916,17001,local,2016
Other Tenure Land,24,17009,local,2016
Owned Land Holdings,67367,17009,local,2016
Rented Land Holdings,4916,17009,local,2016
Other Tenure Land,24,17010,local,2016
Owned Land Holdings,67367,17010,local,2016
Rented Land Holdings,4916,17010,local,2016
Other Tenure Land,24,17008,local,2016
Owned Land Holdings,67367,17008,local,2016
Rented Land Holdings,4916,17008,local,2016
Other Tenure Land,24,17003,local,2016
Owned Land Holdings,67367,17003,local,2016
Rented Land Holdings,4916,17003,local,2016
Other Tenure Land,24,17002,local,2016
Owned Land Holdings,67367,17002,local,2016
Rented Land Holdings,4916,17002,local,2016
Other Tenure Land,664,7,province,2016
Owned Land Holdings,185016,7,province,2016
Rented Land Holdings,31749,7,province,2016
Other Tenure Land,12,04,district,2016
Owned Land Holdings,19486,04,district,2016
Rented Land Holdings,1828,04,district,2016
Other Tenure Land,12,74005,local,2016
Owned Land Holdings,19486,74005,local,2016
Rented Land Holdings,1828,74005,local,2016
Other Tenure Land,12,74008,local,2016
Owned Land Holdings,19486,74008,local,2016
Rented Land Holdings,1828,74008,local,2016
Other Tenure Land,12,74010,local,2016
Owned Land Holdings,19486,74010,local,2016
Rented Land Holdings,1828,74010,local,2016
Other Tenure Land,12,74009,local,2016
Owned Land Holdings,19486,74009,local,2016
Rented Land Holdings,1828,74009,local,2016
Other Tenure Land,12,74007,local,2016
Owned Land Holdings,19486,74007,local,2016
Rented Land Holdings,1828,74007,local,2016
Other Tenure Land,12,74003,local,2016
Owned Land Holdings,19486,74003,local,2016
Rented Land Holdings,1828,74003,local,2016
Other Tenure Land,12,74004,local,2016
Owned Land Holdings,19486,74004,local,2016
Rented Land Holdings,1828,74004,local,2016
Other Tenure Land,12,74001,local,2016
Owned Land Holdings,19486,74001,local,2016
Rented Land Holdings,1828,74001,local,2016
Other Tenure Land,12,74002,local,2016
Owned Land Holdings,19486,74002,local,2016
Rented Land Holdings,1828,74002,local,2016
Other Tenure Land,12,74006,local,2016
Owned Land Holdings,19486,74006,local,2016
Rented Land Holdings,1828,74006,local,2016
Other Tenure Land,195,16,district,2016
Owned Land Holdings,16776,16,district,2016
Rented Land Holdings,407,16,district,2016
Other Tenure Land,195,75005,local,2016
Owned Land Holdings,16776,75005,local,2016
Rented Land Holdings,407,75005,local,2016
Other Tenure Land,195,75009,local,2016
Owned Land Holdings,16776,75009,local,2016
Rented Land Holdings,407,75009,local,2016
Other Tenure Land,195,75001,local,2016
Owned Land Holdings,16776,75001,local,2016
Rented Land Holdings,407,75001,local,2016
Other Tenure Land,195,75008,local,2016
Owned Land Holdings,16776,75008,local,2016
Rented Land Holdings,407,75008,local,2016
Other Tenure Land,195,75002,local,2016
Owned Land Holdings,16776,75002,local,2016
Rented Land Holdings,407,75002,local,2016
Other Tenure Land,195,75004,local,2016
Owned Land Holdings,16776,75004,local,2016
Rented Land Holdings,407,75004,local,2016
Other Tenure Land,195,75006,local,2016
Owned Land Holdings,16776,75006,local,2016
Rented Land Holdings,407,75006,local,2016
Other Tenure Land,195,75003,local,2016
Owned Land Holdings,16776,75003,local,2016
Rented Land Holdings,407,75003,local,2016
Other Tenure Land,195,75007,local,2016
Owned Land Holdings,16776,75007,local,2016
Rented Land Holdings,407,75007,local,2016
Other Tenure Land,17,13,district,2016
Owned Land Holdings,10708,13,district,2016
Rented Land Holdings,892,13,district,2016
Other Tenure Land,17,73006,local,2016
Owned Land Holdings,10708,73006,local,2016
Rented Land Holdings,892,73006,local,2016
Other Tenure Land,17,73005,local,2016
Owned Land Holdings,10708,73005,local,2016
Rented Land Holdings,892,73005,local,2016
Other Tenure Land,17,73007,local,2016
Owned Land Holdings,10708,73007,local,2016
Rented Land Holdings,892,73007,local,2016
Other Tenure Land,17,73002,local,2016
Owned Land Holdings,10708,73002,local,2016
Rented Land Holdings,892,73002,local,2016
Other Tenure Land,17,73001,local,2016
Owned Land Holdings,10708,73001,local,2016
Rented Land Holdings,892,73001,local,2016
Other Tenure Land,17,73004,local,2016
Owned Land Holdings,10708,73004,local,2016
Rented Land Holdings,892,73004,local,2016
Other Tenure Land,17,73003,local,2016
Owned Land Holdings,10708,73003,local,2016
Rented Land Holdings,892,73003,local,2016
Other Tenure Land,25,06,district,2016
Owned Land Holdings,8502,06,district,2016
Rented Land Holdings,886,06,district,2016
Other Tenure Land,25,67002,local,2016
Owned Land Holdings,8502,67002,local,2016
Rented Land Holdings,886,67002,local,2016
Other Tenure Land,25,67006,local,2016
Owned Land Holdings,8502,67006,local,2016
Rented Land Holdings,886,67006,local,2016
Other Tenure Land,25,67009,local,2016
Owned Land Holdings,8502,67009,local,2016
Rented Land Holdings,886,67009,local,2016
Other Tenure Land,25,67007,local,2016
Owned Land Holdings,8502,67007,local,2016
Rented Land Holdings,886,67007,local,2016
Other Tenure Land,25,67008,local,2016
Owned Land Holdings,8502,67008,local,2016
Rented Land Holdings,886,67008,local,2016
Other Tenure Land,25,67003,local,2016
Owned Land Holdings,8502,67003,local,2016
Rented Land Holdings,886,67003,local,2016
Other Tenure Land,25,67005,local,2016
Owned Land Holdings,8502,67005,local,2016
Rented Land Holdings,886,67005,local,2016
Other Tenure Land,25,67004,local,2016
Owned Land Holdings,8502,67004,local,2016
Rented Land Holdings,886,67004,local,2016
Other Tenure Land,25,67001,local,2016
Owned Land Holdings,8502,67001,local,2016
Rented Land Holdings,886,67001,local,2016
Other Tenure Land,354,30,district,2016
Owned Land Holdings,50692,30,district,2016
Rented Land Holdings,15612,30,district,2016
Other Tenure Land,354,71004,local,2016
Owned Land Holdings,50692,71004,local,2016
Rented Land Holdings,15612,71004,local,2016
Other Tenure Land,354,71012,local,2016
Owned Land Holdings,50692,71012,local,2016
Rented Land Holdings,15612,71012,local,2016
Other Tenure Land,354,71009,local,2016
Owned Land Holdings,50692,71009,local,2016
Rented Land Holdings,15612,71009,local,2016
Other Tenure Land,354,71013,local,2016
Owned Land Holdings,50692,71013,local,2016
Rented Land Holdings,15612,71013,local,2016
Other Tenure Land,354,71001,local,2016
Owned Land Holdings,50692,71001,local,2016
Rented Land Holdings,15612,71001,local,2016
Other Tenure Land,354,71007,local,2016
Owned Land Holdings,50692,71007,local,2016
Rented Land Holdings,15612,71007,local,2016
Other Tenure Land,354,71011,local,2016
Owned Land Holdings,50692,71011,local,2016
Rented Land Holdings,15612,71011,local,2016
Other Tenure Land,354,71002,local,2016
Owned Land Holdings,50692,71002,local,2016
Rented Land Holdings,15612,71002,local,2016
Other Tenure Land,354,71003,local,2016
Owned Land Holdings,50692,71003,local,2016
Rented Land Holdings,15612,71003,local,2016
Other Tenure Land,354,71006,local,2016
Owned Land Holdings,50692,71006,local,2016
Rented Land Holdings,15612,71006,local,2016
Other Tenure Land,354,71005,local,2016
Owned Land Holdings,50692,71005,local,2016
Rented Land Holdings,15612,71005,local,2016
Other Tenure Land,354,71010,local,2016
Owned Land Holdings,50692,71010,local,2016
Rented Land Holdings,15612,71010,local,2016
Other Tenure Land,354,71008,local,2016
Owned Land Holdings,50692,71008,local,2016
Rented Land Holdings,15612,71008,local,2016
Other Tenure Land,19,22,district,2016
Owned Land Holdings,14415,22,district,2016
Rented Land Holdings,1949,22,district,2016
Other Tenure Land,19,70007,local,2016
Owned Land Holdings,14415,70007,local,2016
Rented Land Holdings,1949,70007,local,2016
Other Tenure Land,19,70004,local,2016
Owned Land Holdings,14415,70004,local,2016
Rented Land Holdings,1949,70004,local,2016
Other Tenure Land,19,70001,local,2016
Owned Land Holdings,14415,70001,local,2016
Rented Land Holdings,1949,70001,local,2016
Other Tenure Land,19,70002,local,2016
Owned Land Holdings,14415,70002,local,2016
Rented Land Holdings,1949,70002,local,2016
Other Tenure Land,19,70006,local,2016
Owned Land Holdings,14415,70006,local,2016
Rented Land Holdings,1949,70006,local,2016
Other Tenure Land,19,70008,local,2016
Owned Land Holdings,14415,70008,local,2016
Rented Land Holdings,1949,70008,local,2016
Other Tenure Land,19,70003,local,2016
Owned Land Holdings,14415,70003,local,2016
Rented Land Holdings,1949,70003,local,2016
Other Tenure Land,19,70009,local,2016
Owned Land Holdings,14415,70009,local,2016
Rented Land Holdings,1949,70009,local,2016
Other Tenure Land,19,70005,local,2016
Owned Land Holdings,14415,70005,local,2016
Rented Land Holdings,1949,70005,local,2016
Other Tenure Land,8,01,district,2016
Owned Land Holdings,15538,01,district,2016
Rented Land Holdings,2942,01,district,2016
Other Tenure Land,8,69006,local,2016
Owned Land Holdings,15538,69006,local,2016
Rented Land Holdings,2942,69006,local,2016
Other Tenure Land,8,69004,local,2016
Owned Land Holdings,15538,69004,local,2016
Rented Land Holdings,2942,69004,local,2016
Other Tenure Land,8,69010,local,2016
Owned Land Holdings,15538,69010,local,2016
Rented Land Holdings,2942,69010,local,2016
Other Tenure Land,8,69005,local,2016
Owned Land Holdings,15538,69005,local,2016
Rented Land Holdings,2942,69005,local,2016
Other Tenure Land,8,69008,local,2016
Owned Land Holdings,15538,69008,local,2016
Rented Land Holdings,2942,69008,local,2016
Other Tenure Land,8,69001,local,2016
Owned Land Holdings,15538,69001,local,2016
Rented Land Holdings,2942,69001,local,2016
Other Tenure Land,8,69003,local,2016
Owned Land Holdings,15538,69003,local,2016
Rented Land Holdings,2942,69003,local,2016
Other Tenure Land,8,69009,local,2016
Owned Land Holdings,15538,69009,local,2016
Rented Land Holdings,2942,69009,local,2016
Other Tenure Land,8,69007,local,2016
Owned Land Holdings,15538,69007,local,2016
Rented Land Holdings,2942,69007,local,2016
Other Tenure Land,8,69002,local,2016
Owned Land Holdings,15538,69002,local,2016
Rented Land Holdings,2942,69002,local,2016
Other Tenure Land,13,05,district,2016
Owned Land Holdings,11372,05,district,2016
Rented Land Holdings,427,05,district,2016
Other Tenure Land,13,68011,local,2016
Owned Land Holdings,11372,68011,local,2016
Rented Land Holdings,427,68011,local,2016
Other Tenure Land,13,68007,local,2016
Owned Land Holdings,11372,68007,local,2016
Rented Land Holdings,427,68007,local,2016
Other Tenure Land,13,68010,local,2016
Owned Land Holdings,11372,68010,local,2016
Rented Land Holdings,427,68010,local,2016
Other Tenure Land,13,68012,local,2016
Owned Land Holdings,11372,68012,local,2016
Rented Land Holdings,427,68012,local,2016
Other Tenure Land,13,68002,local,2016
Owned Land Holdings,11372,68002,local,2016
Rented Land Holdings,427,68002,local,2016
Other Tenure Land,13,68001,local,2016
Owned Land Holdings,11372,68001,local,2016
Rented Land Holdings,427,68001,local,2016
Other Tenure Land,13,68004,local,2016
Owned Land Holdings,11372,68004,local,2016
Rented Land Holdings,427,68004,local,2016
Other Tenure Land,13,68005,local,2016
Owned Land Holdings,11372,68005,local,2016
Rented Land Holdings,427,68005,local,2016
Other Tenure Land,13,68009,local,2016
Owned Land Holdings,11372,68009,local,2016
Rented Land Holdings,427,68009,local,2016
Other Tenure Land,13,68003,local,2016
Owned Land Holdings,11372,68003,local,2016
Rented Land Holdings,427,68003,local,2016
Other Tenure Land,13,68006,local,2016
Owned Land Holdings,11372,68006,local,2016
Rented Land Holdings,427,68006,local,2016
Other Tenure Land,13,68008,local,2016
Owned Land Holdings,11372,68008,local,2016
Rented Land Holdings,427,68008,local,2016
Other Tenure Land,21,32,district,2016
Owned Land Holdings,37526,32,district,2016
Rented Land Holdings,6806,32,district,2016
Other Tenure Land,21,72007,local,2016
Owned Land Holdings,37526,72007,local,2016
Rented Land Holdings,6806,72007,local,2016
Other Tenure Land,21,72005,local,2016
Owned Land Holdings,37526,72005,local,2016
Rented Land Holdings,6806,72005,local,2016
Other Tenure Land,21,72001,local,2016
Owned Land Holdings,37526,72001,local,2016
Rented Land Holdings,6806,72001,local,2016
Other Tenure Land,21,72009,local,2016
Owned Land Holdings,37526,72009,local,2016
Rented Land Holdings,6806,72009,local,2016
Other Tenure Land,21,72002,local,2016
Owned Land Holdings,37526,72002,local,2016
Rented Land Holdings,6806,72002,local,2016
Other Tenure Land,21,72006,local,2016
Owned Land Holdings,37526,72006,local,2016
Rented Land Holdings,6806,72006,local,2016
Other Tenure Land,21,72008,local,2016
Owned Land Holdings,37526,72008,local,2016
Rented Land Holdings,6806,72008,local,2016
Other Tenure Land,21,72003,local,2016
Owned Land Holdings,37526,72003,local,2016
Rented Land Holdings,6806,72003,local,2016
Other Tenure Land,21,72004,local,2016
Owned Land Holdings,37526,72004,local,2016
Rented Land Holdings,6806,72004,local,2016
Other Tenure Land,2209,1,province,2016
Owned Land Holdings,505060,1,province,2016
Rented Land Holdings,95203,1,province,2016
Other Tenure Land,111,69,district,2016
Owned Land Holdings,55633,69,district,2016
Rented Land Holdings,19398,69,district,2016
Other Tenure Land,111,6001,local,2016
Owned Land Holdings,55633,6001,local,2016
Rented Land Holdings,19398,6001,local,2016
Other Tenure Land,111,6007,local,2016
Owned Land Holdings,55633,6007,local,2016
Rented Land Holdings,19398,6007,local,2016
Other Tenure Land,111,6012,local,2016
Owned Land Holdings,55633,6012,local,2016
Rented Land Holdings,19398,6012,local,2016
Other Tenure Land,111,6002,local,2016
Owned Land Holdings,55633,6002,local,2016
Rented Land Holdings,19398,6002,local,2016
Other Tenure Land,111,6004,local,2016
Owned Land Holdings,55633,6004,local,2016
Rented Land Holdings,19398,6004,local,2016
Other Tenure Land,111,6008,local,2016
Owned Land Holdings,55633,6008,local,2016
Rented Land Holdings,19398,6008,local,2016
Other Tenure Land,111,6003,local,2016
Owned Land Holdings,55633,6003,local,2016
Rented Land Holdings,19398,6003,local,2016
Other Tenure Land,111,6011,local,2016
Owned Land Holdings,55633,6011,local,2016
Rented Land Holdings,19398,6011,local,2016
Other Tenure Land,111,6009,local,2016
Owned Land Holdings,55633,6009,local,2016
Rented Land Holdings,19398,6009,local,2016
Other Tenure Land,111,6010,local,2016
Owned Land Holdings,55633,6010,local,2016
Rented Land Holdings,19398,6010,local,2016
Other Tenure Land,111,6005,local,2016
Owned Land Holdings,55633,6005,local,2016
Rented Land Holdings,19398,6005,local,2016
Other Tenure Land,111,6006,local,2016
Owned Land Holdings,55633,6006,local,2016
Rented Land Holdings,19398,6006,local,2016
Other Tenure Land,151,28,district,2016
Owned Land Holdings,77774,28,district,2016
Rented Land Holdings,24517,28,district,2016
Other Tenure Land,151,4011,local,2016
Owned Land Holdings,77774,4011,local,2016
Rented Land Holdings,24517,4011,local,2016
Other Tenure Land,151,4015,local,2016
Owned Land Holdings,77774,4015,local,2016
Rented Land Holdings,24517,4015,local,2016
Other Tenure Land,151,4009,local,2016
Owned Land Holdings,77774,4009,local,2016
Rented Land Holdings,24517,4009,local,2016
Other Tenure Land,151,4013,local,2016
Owned Land Holdings,77774,4013,local,2016
Rented Land Holdings,24517,4013,local,2016
Other Tenure Land,151,4008,local,2016
Owned Land Holdings,77774,4008,local,2016
Rented Land Holdings,24517,4008,local,2016
Other Tenure Land,151,4003,local,2016
Owned Land Holdings,77774,4003,local,2016
Rented Land Holdings,24517,4003,local,2016
Other Tenure Land,151,4006,local,2016
Owned Land Holdings,77774,4006,local,2016
Rented Land Holdings,24517,4006,local,2016
Other Tenure Land,151,4010,local,2016
Owned Land Holdings,77774,4010,local,2016
Rented Land Holdings,24517,4010,local,2016
Other Tenure Land,151,4014,local,2016
Owned Land Holdings,77774,4014,local,2016
Rented Land Holdings,24517,4014,local,2016
Other Tenure Land,151,4012,local,2016
Owned Land Holdings,77774,4012,local,2016
Rented Land Holdings,24517,4012,local,2016
Other Tenure Land,151,4001,local,2016
Owned Land Holdings,77774,4001,local,2016
Rented Land Holdings,24517,4001,local,2016
Other Tenure Land,151,4004,local,2016
Owned Land Holdings,77774,4004,local,2016
Rented Land Holdings,24517,4004,local,2016
Other Tenure Land,151,4002,local,2016
Owned Land Holdings,77774,4002,local,2016
Rented Land Holdings,24517,4002,local,2016
Other Tenure Land,151,4005,local,2016
Owned Land Holdings,77774,4005,local,2016
Rented Land Holdings,24517,4005,local,2016
Other Tenure Land,151,4007,local,2016
Owned Land Holdings,77774,4007,local,2016
Rented Land Holdings,24517,4007,local,2016
Other Tenure Land,79,11,district,2016
Owned Land Holdings,26536,11,district,2016
Rented Land Holdings,3160,11,district,2016
Other Tenure Land,79,10003,local,2016
Owned Land Holdings,26536,10003,local,2016
Rented Land Holdings,3160,10003,local,2016
Other Tenure Land,79,10008,local,2016
Owned Land Holdings,26536,10008,local,2016
Rented Land Holdings,3160,10008,local,2016
Other Tenure Land,79,10007,local,2016
Owned Land Holdings,26536,10007,local,2016
Rented Land Holdings,3160,10007,local,2016
Other Tenure Land,79,10005,local,2016
Owned Land Holdings,26536,10005,local,2016
Rented Land Holdings,3160,10005,local,2016
Other Tenure Land,79,10001,local,2016
Owned Land Holdings,26536,10001,local,2016
Rented Land Holdings,3160,10001,local,2016
Other Tenure Land,79,10002,local,2016
Owned Land Holdings,26536,10002,local,2016
Rented Land Holdings,3160,10002,local,2016
Other Tenure Land,79,10004,local,2016
Owned Land Holdings,26536,10004,local,2016
Rented Land Holdings,3160,10004,local,2016
Other Tenure Land,79,10009,local,2016
Owned Land Holdings,26536,10009,local,2016
Rented Land Holdings,3160,10009,local,2016
Other Tenure Land,79,10006,local,2016
Owned Land Holdings,26536,10006,local,2016
Rented Land Holdings,3160,10006,local,2016
Other Tenure Land,112,18,district,2016
Owned Land Holdings,22829,18,district,2016
Rented Land Holdings,2547,18,district,2016
Other Tenure Land,112,7006,local,2016
Owned Land Holdings,22829,7006,local,2016
Rented Land Holdings,2547,7006,local,2016
Other Tenure Land,112,7004,local,2016
Owned Land Holdings,22829,7004,local,2016
Rented Land Holdings,2547,7004,local,2016
Other Tenure Land,112,7002,local,2016
Owned Land Holdings,22829,7002,local,2016
Rented Land Holdings,2547,7002,local,2016
Other Tenure Land,112,7005,local,2016
Owned Land Holdings,22829,7005,local,2016
Rented Land Holdings,2547,7005,local,2016
Other Tenure Land,112,7003,local,2016
Owned Land Holdings,22829,7003,local,2016
Rented Land Holdings,2547,7003,local,2016
Other Tenure Land,112,7001,local,2016
Owned Land Holdings,22829,7001,local,2016
Rented Land Holdings,2547,7001,local,2016
Other Tenure Land,112,7007,local,2016
Owned Land Holdings,22829,7007,local,2016
Rented Land Holdings,2547,7007,local,2016
Other Tenure Land,81,62,district,2016
Owned Land Holdings,25681,62,district,2016
Rented Land Holdings,3194,62,district,2016
Other Tenure Land,81,9004,local,2016
Owned Land Holdings,25681,9004,local,2016
Rented Land Holdings,3194,9004,local,2016
Other Tenure Land,81,9001,local,2016
Owned Land Holdings,25681,9001,local,2016
Rented Land Holdings,3194,9001,local,2016
Other Tenure Land,81,9010,local,2016
Owned Land Holdings,25681,9010,local,2016
Rented Land Holdings,3194,9010,local,2016
Other Tenure Land,81,9007,local,2016
Owned Land Holdings,25681,9007,local,2016
Rented Land Holdings,3194,9007,local,2016
Other Tenure Land,81,9006,local,2016
Owned Land Holdings,25681,9006,local,2016
Rented Land Holdings,3194,9006,local,2016
Other Tenure Land,81,9002,local,2016
Owned Land Holdings,25681,9002,local,2016
Rented Land Holdings,3194,9002,local,2016
Other Tenure Land,81,9005,local,2016
Owned Land Holdings,25681,9005,local,2016
Rented Land Holdings,3194,9005,local,2016
Other Tenure Land,81,9003,local,2016
Owned Land Holdings,25681,9003,local,2016
Rented Land Holdings,3194,9003,local,2016
Other Tenure Land,81,9008,local,2016
Owned Land Holdings,25681,9008,local,2016
Rented Land Holdings,3194,9008,local,2016
Other Tenure Land,81,9009,local,2016
Owned Land Holdings,25681,9009,local,2016
Rented Land Holdings,3194,9009,local,2016
Other Tenure Land,3,75,district,2016
Owned Land Holdings,25265,75,district,2016
Rented Land Holdings,2894,75,district,2016
Other Tenure Land,3,14006,local,2016
Owned Land Holdings,25265,14006,local,2016
Rented Land Holdings,2894,14006,local,2016
Other Tenure Land,3,14004,local,2016
Owned Land Holdings,25265,14004,local,2016
Rented Land Holdings,2894,14004,local,2016
Other Tenure Land,3,14007,local,2016
Owned Land Holdings,25265,14007,local,2016
Rented Land Holdings,2894,14007,local,2016
Other Tenure Land,3,14001,local,2016
Owned Land Holdings,25265,14001,local,2016
Rented Land Holdings,2894,14001,local,2016
Other Tenure Land,3,14005,local,2016
Owned Land Holdings,25265,14005,local,2016
Rented Land Holdings,2894,14005,local,2016
Other Tenure Land,3,14003,local,2016
Owned Land Holdings,25265,14003,local,2016
Rented Land Holdings,2894,14003,local,2016
Other Tenure Land,3,14008,local,2016
Owned Land Holdings,25265,14008,local,2016
Rented Land Holdings,2894,14008,local,2016
Other Tenure Land,3,14002,local,2016
Owned Land Holdings,25265,14002,local,2016
Rented Land Holdings,2894,14002,local,2016
Other Tenure Land,362,51,district,2016
Owned Land Holdings,26297,51,district,2016
Rented Land Holdings,2067,51,district,2016
Other Tenure Land,362,2004,local,2016
Owned Land Holdings,26297,2004,local,2016
Rented Land Holdings,2067,2004,local,2016
Other Tenure Land,362,2001,local,2016
Owned Land Holdings,26297,2001,local,2016
Rented Land Holdings,2067,2001,local,2016
Other Tenure Land,362,2003,local,2016
Owned Land Holdings,26297,2003,local,2016
Rented Land Holdings,2067,2003,local,2016
Other Tenure Land,362,2005,local,2016
Owned Land Holdings,26297,2005,local,2016
Rented Land Holdings,2067,2005,local,2016
Other Tenure Land,362,2006,local,2016
Owned Land Holdings,26297,2006,local,2016
Rented Land Holdings,2067,2006,local,2016
Other Tenure Land,362,2008,local,2016
Owned Land Holdings,26297,2008,local,2016
Rented Land Holdings,2067,2008,local,2016
Other Tenure Land,362,2007,local,2016
Owned Land Holdings,26297,2007,local,2016
Rented Land Holdings,2067,2007,local,2016
Other Tenure Land,362,2002,local,2016
Owned Land Holdings,26297,2002,local,2016
Rented Land Holdings,2067,2002,local,2016
Other Tenure Land,39,74,district,2016
Owned Land Holdings,17684,74,district,2016
Rented Land Holdings,1379,74,district,2016
Other Tenure Land,39,8001,local,2016
Owned Land Holdings,17684,8001,local,2016
Rented Land Holdings,1379,8001,local,2016
Other Tenure Land,39,8005,local,2016
Owned Land Holdings,17684,8005,local,2016
Rented Land Holdings,1379,8005,local,2016
Other Tenure Land,39,8003,local,2016
Owned Land Holdings,17684,8003,local,2016
Rented Land Holdings,1379,8003,local,2016
Other Tenure Land,39,8004,local,2016
Owned Land Holdings,17684,8004,local,2016
Rented Land Holdings,1379,8004,local,2016
Other Tenure Land,39,8006,local,2016
Owned Land Holdings,17684,8006,local,2016
Rented Land Holdings,1379,8006,local,2016
Other Tenure Land,39,8002,local,2016
Owned Land Holdings,17684,8002,local,2016
Rented Land Holdings,1379,8002,local,2016
Other Tenure Land,1006,26,district,2016
Owned Land Holdings,50262,26,district,2016
Rented Land Holdings,2126,26,district,2016
Other Tenure Land,1006,3009,local,2016
Owned Land Holdings,50262,3009,local,2016
Rented Land Holdings,2126,3009,local,2016
Other Tenure Land,1006,3001,local,2016
Owned Land Holdings,50262,3001,local,2016
Rented Land Holdings,2126,3001,local,2016
Other Tenure Land,1006,3007,local,2016
Owned Land Holdings,50262,3007,local,2016
Rented Land Holdings,2126,3007,local,2016
Other Tenure Land,1006,3003,local,2016
Owned Land Holdings,50262,3003,local,2016
Rented Land Holdings,2126,3003,local,2016
Other Tenure Land,1006,3006,local,2016
Owned Land Holdings,50262,3006,local,2016
Rented Land Holdings,2126,3006,local,2016
Other Tenure Land,1006,3005,local,2016
Owned Land Holdings,50262,3005,local,2016
Rented Land Holdings,2126,3005,local,2016
Other Tenure Land,1006,3008,local,2016
Owned Land Holdings,50262,3008,local,2016
Rented Land Holdings,2126,3008,local,2016
Other Tenure Land,1006,3004,local,2016
Owned Land Holdings,50262,3004,local,2016
Rented Land Holdings,2126,3004,local,2016
Other Tenure Land,1006,3002,local,2016
Owned Land Holdings,50262,3002,local,2016
Rented Land Holdings,2126,3002,local,2016
Other Tenure Land,1006,3010,local,2016
Owned Land Holdings,50262,3010,local,2016
Rented Land Holdings,2126,3010,local,2016
