lighting fuel,total,geo_code,geo_level
Bio-Gas,5,22001,local
Electricity,37349,22001,local
Kerosene,5775,22001,local
Not Sated about Light,141,22001,local
Others Type of Light,1026,22001,local
Solar,1362,22001,local
Bio-Gas,212,41,district
Electricity,62464,41,district
Kerosene,15077,41,district
Not Sated about Light,223,41,district
Others Type of Light,1467,41,district
Solar,6602,41,district
Bio-Gas,212,31010,local
Electricity,62464,31010,local
Kerosene,15077,31010,local
Not Sated about Light,223,31010,local
Others Type of Light,1467,31010,local
Solar,6602,31010,local
Bio-Gas,212,31006,local
Electricity,62464,31006,local
Kerosene,15077,31006,local
Not Sated about Light,223,31006,local
Others Type of Light,1467,31006,local
Solar,6602,31006,local
Bio-Gas,212,31003,local
Electricity,62464,31003,local
Kerosene,15077,31003,local
Not Sated about Light,223,31003,local
Others Type of Light,1467,31003,local
Solar,6602,31003,local
Bio-Gas,212,31001,local
Electricity,62464,31001,local
Kerosene,15077,31001,local
Not Sated about Light,223,31001,local
Others Type of Light,1467,31001,local
Solar,6602,31001,local
Bio-Gas,212,31005,local
Electricity,62464,31005,local
Kerosene,15077,31005,local
Not Sated about Light,223,31005,local
Others Type of Light,1467,31005,local
Solar,6602,31005,local
Bio-Gas,212,31002,local
Electricity,62464,31002,local
Kerosene,15077,31002,local
Not Sated about Light,223,31002,local
Others Type of Light,1467,31002,local
Solar,6602,31002,local
Bio-Gas,212,31008,local
Electricity,62464,31008,local
Kerosene,15077,31008,local
Not Sated about Light,223,31008,local
Others Type of Light,1467,31008,local
Solar,6602,31008,local
Bio-Gas,212,31009,local
Electricity,62464,31009,local
Kerosene,15077,31009,local
Not Sated about Light,223,31009,local
Others Type of Light,1467,31009,local
Solar,6602,31009,local
Bio-Gas,212,31007,local
Electricity,62464,31007,local
Kerosene,15077,31007,local
Not Sated about Light,223,31007,local
Others Type of Light,1467,31007,local
Solar,6602,31007,local
Bio-Gas,212,31004,local
Electricity,62464,31004,local
Kerosene,15077,31004,local
Not Sated about Light,223,31004,local
Others Type of Light,1467,31004,local
Solar,6602,31004,local
Bio-Gas,147,36,district
Electricity,70415,36,district
Kerosene,6692,36,district
Not Sated about Light,702,36,district
Others Type of Light,939,36,district
Solar,1756,36,district
Bio-Gas,147,24001,local
Electricity,70415,24001,local
Kerosene,6692,24001,local
Not Sated about Light,702,24001,local
Others Type of Light,939,24001,local
Solar,1756,24001,local
Bio-Gas,147,24011,local
Electricity,70415,24011,local
Kerosene,6692,24011,local
Not Sated about Light,702,24011,local
Others Type of Light,939,24011,local
Solar,1756,24011,local
Bio-Gas,147,24007,local
Electricity,70415,24007,local
Kerosene,6692,24007,local
Not Sated about Light,702,24007,local
Others Type of Light,939,24007,local
Solar,1756,24007,local
Bio-Gas,147,24010,local
Electricity,70415,24010,local
Kerosene,6692,24010,local
Not Sated about Light,702,24010,local
Others Type of Light,939,24010,local
Solar,1756,24010,local
Bio-Gas,147,24008,local
Electricity,70415,24008,local
Kerosene,6692,24008,local
Not Sated about Light,702,24008,local
Others Type of Light,939,24008,local
Solar,1756,24008,local
Bio-Gas,147,24002,local
Electricity,70415,24002,local
Kerosene,6692,24002,local
Not Sated about Light,702,24002,local
Others Type of Light,939,24002,local
Solar,1756,24002,local
Bio-Gas,147,24012,local
Electricity,70415,24012,local
Kerosene,6692,24012,local
Not Sated about Light,702,24012,local
Others Type of Light,939,24012,local
Solar,1756,24012,local
Bio-Gas,147,24005,local
Electricity,70415,24005,local
Kerosene,6692,24005,local
Not Sated about Light,702,24005,local
Others Type of Light,939,24005,local
Solar,1756,24005,local
Bio-Gas,147,24006,local
Electricity,70415,24006,local
Kerosene,6692,24006,local
Not Sated about Light,702,24006,local
Others Type of Light,939,24006,local
Solar,1756,24006,local
Bio-Gas,147,24009,local
Electricity,70415,24009,local
Kerosene,6692,24009,local
Not Sated about Light,702,24009,local
Others Type of Light,939,24009,local
Solar,1756,24009,local
Bio-Gas,147,24004,local
Electricity,70415,24004,local
Kerosene,6692,24004,local
Not Sated about Light,702,24004,local
Others Type of Light,939,24004,local
Solar,1756,24004,local
Bio-Gas,147,24013,local
Electricity,70415,24013,local
Kerosene,6692,24013,local
Not Sated about Light,702,24013,local
Others Type of Light,939,24013,local
Solar,1756,24013,local
Bio-Gas,147,24003,local
Electricity,70415,24003,local
Kerosene,6692,24003,local
Not Sated about Light,702,24003,local
Others Type of Light,939,24003,local
Solar,1756,24003,local
Bio-Gas,1815,35,district
Electricity,427363,35,district
Kerosene,2330,35,district
Not Sated about Light,3429,35,district
Others Type of Light,407,35,district
Solar,200,35,district
Bio-Gas,1815,27006,local
Electricity,427363,27006,local
Kerosene,2330,27006,local
Not Sated about Light,3429,27006,local
Others Type of Light,407,27006,local
Solar,200,27006,local
Bio-Gas,1815,27002,local
Electricity,427363,27002,local
Kerosene,2330,27002,local
Not Sated about Light,3429,27002,local
Others Type of Light,407,27002,local
Solar,200,27002,local
Bio-Gas,1815,27005,local
Electricity,427363,27005,local
Kerosene,2330,27005,local
Not Sated about Light,3429,27005,local
Others Type of Light,407,27005,local
Solar,200,27005,local
Bio-Gas,1815,27001,local
Electricity,427363,27001,local
Kerosene,2330,27001,local
Not Sated about Light,3429,27001,local
Others Type of Light,407,27001,local
Solar,200,27001,local
Bio-Gas,1815,27004,local
Electricity,427363,27004,local
Kerosene,2330,27004,local
Not Sated about Light,3429,27004,local
Others Type of Light,407,27004,local
Solar,200,27004,local
Bio-Gas,1815,27003,local
Electricity,427363,27003,local
Kerosene,2330,27003,local
Not Sated about Light,3429,27003,local
Others Type of Light,407,27003,local
Solar,200,27003,local
Bio-Gas,1815,27008,local
Electricity,427363,27008,local
Kerosene,2330,27008,local
Not Sated about Light,3429,27008,local
Others Type of Light,407,27008,local
Solar,200,27008,local
Bio-Gas,1815,27009,local
Electricity,427363,27009,local
Kerosene,2330,27009,local
Not Sated about Light,3429,27009,local
Others Type of Light,407,27009,local
Solar,200,27009,local
Bio-Gas,1815,27007,local
Electricity,427363,27007,local
Kerosene,2330,27007,local
Not Sated about Light,3429,27007,local
Others Type of Light,407,27007,local
Solar,200,27007,local
Bio-Gas,1815,27010,local
Electricity,427363,27010,local
Kerosene,2330,27010,local
Not Sated about Light,3429,27010,local
Others Type of Light,407,27010,local
Solar,200,27010,local
Bio-Gas,1815,27011,local
Electricity,427363,27011,local
Kerosene,2330,27011,local
Not Sated about Light,3429,27011,local
Others Type of Light,407,27011,local
Solar,200,27011,local
Bio-Gas,114,55,district
Electricity,19970,55,district
Kerosene,13189,55,district
Not Sated about Light,428,55,district
Others Type of Light,796,55,district
Solar,9386,55,district
Bio-Gas,114,21008,local
Electricity,19970,21008,local
Kerosene,13189,21008,local
Not Sated about Light,428,21008,local
Others Type of Light,796,21008,local
Solar,9386,21008,local
Bio-Gas,114,21005,local
Electricity,19970,21005,local
Kerosene,13189,21005,local
Not Sated about Light,428,21005,local
Others Type of Light,796,21005,local
Solar,9386,21005,local
Bio-Gas,114,21001,local
Electricity,19970,21001,local
Kerosene,13189,21001,local
Not Sated about Light,428,21001,local
Others Type of Light,796,21001,local
Solar,9386,21001,local
Bio-Gas,114,21002,local
Electricity,19970,21002,local
Kerosene,13189,21002,local
Not Sated about Light,428,21002,local
Others Type of Light,796,21002,local
Solar,9386,21002,local
Bio-Gas,114,21007,local
Electricity,19970,21007,local
Kerosene,13189,21007,local
Not Sated about Light,428,21007,local
Others Type of Light,796,21007,local
Solar,9386,21007,local
Bio-Gas,114,21004,local
Electricity,19970,21004,local
Kerosene,13189,21004,local
Not Sated about Light,428,21004,local
Others Type of Light,796,21004,local
Solar,9386,21004,local
Bio-Gas,114,21003,local
Electricity,19970,21003,local
Kerosene,13189,21003,local
Not Sated about Light,428,21003,local
Others Type of Light,796,21003,local
Solar,9386,21003,local
Bio-Gas,114,21006,local
Electricity,19970,21006,local
Kerosene,13189,21006,local
Not Sated about Light,428,21006,local
Others Type of Light,796,21006,local
Solar,9386,21006,local
Bio-Gas,100,48,district
Electricity,49130,48,district
Kerosene,7842,48,district
Not Sated about Light,505,48,district
Others Type of Light,669,48,district
Solar,948,48,district
Bio-Gas,100,28009,local
Electricity,49130,28009,local
Kerosene,7842,28009,local
Not Sated about Light,505,28009,local
Others Type of Light,669,28009,local
Solar,948,28009,local
Bio-Gas,100,28002,local
Electricity,49130,28002,local
Kerosene,7842,28002,local
Not Sated about Light,505,28002,local
Others Type of Light,669,28002,local
Solar,948,28002,local
Bio-Gas,100,28008,local
Electricity,49130,28008,local
Kerosene,7842,28008,local
Not Sated about Light,505,28008,local
Others Type of Light,669,28008,local
Solar,948,28008,local
Bio-Gas,100,28006,local
Electricity,49130,28006,local
Kerosene,7842,28006,local
Not Sated about Light,505,28006,local
Others Type of Light,669,28006,local
Solar,948,28006,local
Bio-Gas,100,28011,local
Electricity,49130,28011,local
