lighting fuel,total,geo_code,geo_level
Bio-Gas,213,38006,local
Electricity,60350,38006,local
Kerosene,7879,38006,local
Not Sated about Light,439,38006,local
Others Type of Light,1991,38006,local
Solar,7414,38006,local
Bio-Gas,213,38009,local
Electricity,60350,38009,local
Kerosene,7879,38009,local
Not Sated about Light,439,38009,local
Others Type of Light,1991,38009,local
Solar,7414,38009,local
Bio-Gas,213,38001,local
Electricity,60350,38001,local
Kerosene,7879,38001,local
Not Sated about Light,439,38001,local
Others Type of Light,1991,38001,local
Solar,7414,38001,local
Bio-Gas,213,38004,local
Electricity,60350,38004,local
Kerosene,7879,38004,local
Not Sated about Light,439,38004,local
Others Type of Light,1991,38004,local
Solar,7414,38004,local
Bio-Gas,213,38003,local
Electricity,60350,38003,local
Kerosene,7879,38003,local
Not Sated about Light,439,38003,local
Others Type of Light,1991,38003,local
Solar,7414,38003,local
Bio-Gas,213,38002,local
Electricity,60350,38002,local
Kerosene,7879,38002,local
Not Sated about Light,439,38002,local
Others Type of Light,1991,38002,local
Solar,7414,38002,local
Bio-Gas,213,38007,local
Electricity,60350,38007,local
Kerosene,7879,38007,local
Not Sated about Light,439,38007,local
Others Type of Light,1991,38007,local
Solar,7414,38007,local
Bio-Gas,213,38010,local
Electricity,60350,38010,local
Kerosene,7879,38010,local
Not Sated about Light,439,38010,local
Others Type of Light,1991,38010,local
Solar,7414,38010,local
Bio-Gas,213,38005,local
Electricity,60350,38005,local
Kerosene,7879,38005,local
Not Sated about Light,439,38005,local
Others Type of Light,1991,38005,local
Solar,7414,38005,local
Bio-Gas,213,38008,local
Electricity,60350,38008,local
Kerosene,7879,38008,local
Not Sated about Light,439,38008,local
Others Type of Light,1991,38008,local
Solar,7414,38008,local
Bio-Gas,0,45,district
Electricity,2353,45,district
Kerosene,71,45,district
Not Sated about Light,16,45,district
Others Type of Light,23,45,district
Solar,842,45,district
Bio-Gas,0,42001,local
Electricity,2353,42001,local
Kerosene,71,42001,local
Not Sated about Light,16,42001,local
Others Type of Light,23,42001,local
Solar,842,42001,local
Bio-Gas,0,42004,local
Electricity,2353,42004,local
Kerosene,71,42004,local
Not Sated about Light,16,42004,local
Others Type of Light,23,42004,local
Solar,842,42004,local
Bio-Gas,0,42005,local
Electricity,2353,42005,local
Kerosene,71,42005,local
Not Sated about Light,16,42005,local
Others Type of Light,23,42005,local
Solar,842,42005,local
Bio-Gas,0,42002,local
Electricity,2353,42002,local
Kerosene,71,42002,local
Not Sated about Light,16,42002,local
Others Type of Light,23,42002,local
Solar,842,42002,local
Bio-Gas,0,42003,local
Electricity,2353,42003,local
Kerosene,71,42003,local
Not Sated about Light,16,42003,local
Others Type of Light,23,42003,local
Solar,842,42003,local
Bio-Gas,66,52,district
Electricity,28614,52,district
Kerosene,5129,52,district
Not Sated about Light,91,52,district
Others Type of Light,209,52,district
Solar,1589,52,district
Bio-Gas,66,44004,local
Electricity,28614,44004,local
Kerosene,5129,44004,local
Not Sated about Light,91,44004,local
Others Type of Light,209,44004,local
Solar,1589,44004,local
Bio-Gas,66,44006,local
Electricity,28614,44006,local
Kerosene,5129,44006,local
Not Sated about Light,91,44006,local
Others Type of Light,209,44006,local
Solar,1589,44006,local
Bio-Gas,66,44002,local
Electricity,28614,44002,local
Kerosene,5129,44002,local
Not Sated about Light,91,44002,local
Others Type of Light,209,44002,local
Solar,1589,44002,local
Bio-Gas,66,44007,local
Electricity,28614,44007,local
Kerosene,5129,44007,local
Not Sated about Light,91,44007,local
Others Type of Light,209,44007,local
Solar,1589,44007,local
Bio-Gas,66,44003,local
Electricity,28614,44003,local
Kerosene,5129,44003,local
Not Sated about Light,91,44003,local
Others Type of Light,209,44003,local
Solar,1589,44003,local
Bio-Gas,66,44001,local
Electricity,28614,44001,local
Kerosene,5129,44001,local
Not Sated about Light,91,44001,local
Others Type of Light,209,44001,local
Solar,1589,44001,local
Bio-Gas,66,44005,local
Electricity,28614,44005,local
Kerosene,5129,44005,local
Not Sated about Light,91,44005,local
Others Type of Light,209,44005,local
Solar,1589,44005,local
Bio-Gas,1985,2,province
Electricity,556342,2,province
Kerosene,348232,2,province
Not Sated about Light,11088,2,province
Others Type of Light,2206,2,province
Solar,12234,2,province
Bio-Gas,280,64,district
Electricity,61859,64,district
Kerosene,65667,64,district
Not Sated about Light,1463,64,district
Others Type of Light,489,64,district
Solar,3045,64,district
Bio-Gas,280,19020,local
Electricity,61859,19020,local
Kerosene,65667,19020,local
Not Sated about Light,1463,19020,local
Others Type of Light,489,19020,local
Solar,3045,19020,local
Bio-Gas,280,19005,local
Electricity,61859,19005,local
Kerosene,65667,19005,local
Not Sated about Light,1463,19005,local
Others Type of Light,489,19005,local
Solar,3045,19005,local
Bio-Gas,280,19008,local
Electricity,61859,19008,local
Kerosene,65667,19008,local
Not Sated about Light,1463,19008,local
Others Type of Light,489,19008,local
Solar,3045,19008,local
Bio-Gas,280,19016,local
Electricity,61859,19016,local
Kerosene,65667,19016,local
Not Sated about Light,1463,19016,local
Others Type of Light,489,19016,local
Solar,3045,19016,local
Bio-Gas,280,19012,local
Electricity,61859,19012,local
Kerosene,65667,19012,local
Not Sated about Light,1463,19012,local
Others Type of Light,489,19012,local
Solar,3045,19012,local
Bio-Gas,280,19009,local
Electricity,61859,19009,local
Kerosene,65667,19009,local
Not Sated about Light,1463,19009,local
Others Type of Light,489,19009,local
Solar,3045,19009,local
Bio-Gas,280,19010,local
Electricity,61859,19010,local
Kerosene,65667,19010,local
Not Sated about Light,1463,19010,local
Others Type of Light,489,19010,local
Solar,3045,19010,local
Bio-Gas,280,19013,local
Electricity,61859,19013,local
Kerosene,65667,19013,local
Not Sated about Light,1463,19013,local
Others Type of Light,489,19013,local
Solar,3045,19013,local
Bio-Gas,280,19007,local
Electricity,61859,19007,local
Kerosene,65667,19007,local
Not Sated about Light,1463,19007,local
Others Type of Light,489,19007,local
Solar,3045,19007,local
Bio-Gas,280,19017,local
Electricity,61859,19017,local
Kerosene,65667,19017,local
Not Sated about Light,1463,19017,local
Others Type of Light,489,19017,local
Solar,3045,19017,local
Bio-Gas,280,19018,local
Electricity,61859,19018,local
Kerosene,65667,19018,local
Not Sated about Light,1463,19018,local
Others Type of Light,489,19018,local
Solar,3045,19018,local
Bio-Gas,280,19011,local
Electricity,61859,19011,local
Kerosene,65667,19011,local
Not Sated about Light,1463,19011,local
Others Type of Light,489,19011,local
Solar,3045,19011,local
Bio-Gas,280,19001,local
Electricity,61859,19001,local
Kerosene,65667,19001,local
Not Sated about Light,1463,19001,local
Others Type of Light,489,19001,local
Solar,3045,19001,local
Bio-Gas,280,19014,local
Electricity,61859,19014,local
Kerosene,65667,19014,local
Not Sated about Light,1463,19014,local
Others Type of Light,489,19014,local
Solar,3045,19014,local
Bio-Gas,280,19015,local
Electricity,61859,19015,local
Kerosene,65667,19015,local
Not Sated about Light,1463,19015,local
Others Type of Light,489,19015,local
Solar,3045,19015,local
Bio-Gas,280,19003,local
Electricity,61859,19003,local
Kerosene,65667,19003,local
Not Sated about Light,1463,19003,local
Others Type of Light,489,19003,local
Solar,3045,19003,local
Bio-Gas,280,19004,local
Electricity,61859,19004,local
Kerosene,65667,19004,local
Not Sated about Light,1463,19004,local
Others Type of Light,489,19004,local
Solar,3045,19004,local
Bio-Gas,280,19019,local
Electricity,61859,19019,local
Kerosene,65667,19019,local
Not Sated about Light,1463,19019,local
Others Type of Light,489,19019,local
Solar,3045,19019,local
Bio-Gas,280,19006,local
Electricity,61859,19006,local
Kerosene,65667,19006,local
Not Sated about Light,1463,19006,local
Others Type of Light,489,19006,local
Solar,3045,19006,local
Bio-Gas,280,19002,local
Electricity,61859,19002,local
Kerosene,65667,19002,local
Not Sated about Light,1463,19002,local
Others Type of Light,489,19002,local
Solar,3045,19002,local
Bio-Gas,263,67,district
Electricity,79335,67,district
Kerosene,35604,67,district
Not Sated about Light,986,67,district
Others Type of Light,376,67,district
Solar,1365,67,district
Bio-Gas,263,16011,local
Electricity,79335,16011,local
Kerosene,35604,16011,local
Not Sated about Light,986,16011,local
Others Type of Light,376,16011,local
Solar,1365,16011,local
Bio-Gas,263,16007,local
Electricity,79335,16007,local
Kerosene,35604,16007,local
Not Sated about Light,986,16007,local
Others Type of Light,376,16007,local
Solar,1365,16007,local
Bio-Gas,263,16015,local
Electricity,79335,16015,local
Kerosene,35604,16015,local
Not Sated about Light,986,16015,local
Others Type of Light,376,16015,local
Solar,1365,16015,local
Bio-Gas,263,16010,local
Electricity,79335,16010,local
Kerosene,35604,16010,local
Not Sated about Light,986,16010,local
Others Type of Light,376,16010,local
Solar,1365,16010,local
Bio-Gas,263,16008,local
Electricity,79335,16008,local
Kerosene,35604,16008,local
Not Sated about Light,986,16008,local
Others Type of Light,376,16008,local
Solar,1365,16008,local
Bio-Gas,263,16009,local
Electricity,79335,16009,local
Kerosene,35604,16009,local
Not Sated about Light,986,16009,local
Others Type of Light,376,16009,local
Solar,1365,16009,local
Bio-Gas,263,16014,local
Electricity,79335,16014,local
Kerosene,35604,16014,local
Not Sated about Light,986,16014,local
Others Type of Light,376,16014,local
Solar,1365,16014,local
Bio-Gas,263,16003,local
Electricity,79335,16003,local
Kerosene,35604,16003,local
Not Sated about Light,986,16003,local
Others Type of Light,376,16003,local
Solar,1365,16003,local
Bio-Gas,263,16004,local
Electricity,79335,16004,local
Kerosene,35604,16004,local
Not Sated about Light,986,16004,local
Others Type of Light,376,16004,local
Solar,1365,16004,local
Bio-Gas,263,16005,local
Electricity,79335,16005,local
Kerosene,35604,16005,local
Not Sated about Light,986,16005,local
Others Type of Light,376,16005,local
Solar,1365,16005,local
Bio-Gas,263,16001,local
Electricity,79335,16001,local
Kerosene,35604,16001,local
Not Sated about Light,986,16001,local
Others Type of Light,376,16001,local
Solar,1365,16001,local
Bio-Gas,263,16006,local
Electricity,79335,16006,local
Kerosene,35604,16006,local
Not Sated about Light,986,16006,local
Others Type of Light,376,16006,local
Solar,1365,16006,local
Bio-Gas,263,16012,local
Electricity,79335,16012,local
Kerosene,35604,16012,local
Not Sated about Light,986,16012,local
Others Type of Light,376,16012,local
Solar,1365,16012,local
Bio-Gas,263,16013,local
Electricity,79335,16013,local
Kerosene,35604,16013,local
Not Sated about Light,986,16013,local
Others Type of Light,376,16013,local
Solar,1365,16013,local
Bio-Gas,263,16016,local
Electricity,79335,16016,local
Kerosene,35604,16016,local
Not Sated about Light,986,16016,local
Others Type of Light,376,16016,local
Solar,1365,16016,local
Bio-Gas,263,16002,local
Electricity,79335,16002,local
Kerosene,35604,16002,local
Not Sated about Light,986,16002,local
Others Type of Light,376,16002,local
Solar,1365,16002,local
Bio-Gas,263,16017,local
Electricity,79335,16017,local
Kerosene,35604,16017,local
Not Sated about Light,986,16017,local
Others Type of Light,376,16017,local
Solar,1365,16017,local
Bio-Gas,209,40,district
Electricity,70339,40,district
Kerosene,38737,40,district
Not Sated about Light,637,40,district
Others Type of Light,161,40,district
Solar,1215,40,district
Bio-Gas,209,18012,local
Electricity,70339,18012,local
Kerosene,38737,18012,local
Not Sated about Light,637,18012,local
Others Type of Light,161,18012,local
Solar,1215,18012,local
Bio-Gas,209,18002,local
Electricity,70339,18002,local
Kerosene,38737,18002,local
Not Sated about Light,637,18002,local
Others Type of Light,161,18002,local
Solar,1215,18002,local
Bio-Gas,209,18014,local
Electricity,70339,18014,local
Kerosene,38737,18014,local
Not Sated about Light,637,18014,local
Others Type of Light,161,18014,local
Solar,1215,18014,local
Bio-Gas,209,18013,local
Electricity,70339,18013,local
Kerosene,38737,18013,local
Not Sated about Light,637,18013,local
Others Type of Light,161,18013,local
Solar,1215,18013,local
Bio-Gas,209,18003,local
Electricity,70339,18003,local
Kerosene,38737,18003,local
Not Sated about Light,637,18003,local
Others Type of Light,161,18003,local
Solar,1215,18003,local
Bio-Gas,209,18007,local
Electricity,70339,18007,local
Kerosene,38737,18007,local
Not Sated about Light,637,18007,local
Others Type of Light,161,18007,local
Solar,1215,18007,local
Bio-Gas,209,18005,local
Electricity,70339,18005,local
Kerosene,38737,18005,local
Not Sated about Light,637,18005,local
Others Type of Light,161,18005,local
Solar,1215,18005,local
Bio-Gas,209,18008,local
Electricity,70339,18008,local
Kerosene,38737,18008,local
Not Sated about Light,637,18008,local
Others Type of Light,161,18008,local
Solar,1215,18008,local
Bio-Gas,209,18009,local
Electricity,70339,18009,local
Kerosene,38737,18009,local
Not Sated about Light,637,18009,local
Others Type of Light,161,18009,local
Solar,1215,18009,local
Bio-Gas,209,18004,local
Electricity,70339,18004,local
Kerosene,38737,18004,local
Not Sated about Light,637,18004,local
Others Type of Light,161,18004,local
Solar,1215,18004,local
Bio-Gas,209,18006,local
Electricity,70339,18006,local
Kerosene,38737,18006,local
Not Sated about Light,637,18006,local
Others Type of Light,161,18006,local
Solar,1215,18006,local
Bio-Gas,209,18011,local
Electricity,70339,18011,local
Kerosene,38737,18011,local
Not Sated about Light,637,18011,local
Others Type of Light,161,18011,local
Solar,1215,18011,local
Bio-Gas,209,18015,local
Electricity,70339,18015,local
Kerosene,38737,18015,local
Not Sated about Light,637,18015,local
Others Type of Light,161,18015,local
Solar,1215,18015,local
Bio-Gas,209,18010,local
Electricity,70339,18010,local
Kerosene,38737,18010,local
Not Sated about Light,637,18010,local
Others Type of Light,161,18010,local
Solar,1215,18010,local
Bio-Gas,209,18001,local
Electricity,70339,18001,local
Kerosene,38737,18001,local
Not Sated about Light,637,18001,local
Others Type of Light,161,18001,local
Solar,1215,18001,local
Bio-Gas,169,53,district
Electricity,69000,53,district
Kerosene,22959,53,district
Not Sated about Light,1118,53,district
Others Type of Light,308,53,district
Solar,1962,53,district
Bio-Gas,169,34008,local
Electricity,69000,34008,local
Kerosene,22959,34008,local
Not Sated about Light,1118,34008,local
Others Type of Light,308,34008,local
Solar,1962,34008,local
Bio-Gas,169,34006,local
Electricity,69000,34006,local
Kerosene,22959,34006,local
Not Sated about Light,1118,34006,local
Others Type of Light,308,34006,local
Solar,1962,34006,local
Bio-Gas,169,34005,local
Electricity,69000,34005,local
Kerosene,22959,34005,local
Not Sated about Light,1118,34005,local
Others Type of Light,308,34005,local
Solar,1962,34005,local
Bio-Gas,169,34007,local
Electricity,69000,34007,local
Kerosene,22959,34007,local
Not Sated about Light,1118,34007,local
Others Type of Light,308,34007,local
Solar,1962,34007,local
Bio-Gas,169,34003,local
Electricity,69000,34003,local
Kerosene,22959,34003,local
Not Sated about Light,1118,34003,local
Others Type of Light,308,34003,local
Solar,1962,34003,local
Bio-Gas,169,34011,local
Electricity,69000,34011,local
Kerosene,22959,34011,local
Not Sated about Light,1118,34011,local
Others Type of Light,308,34011,local
Solar,1962,34011,local
Bio-Gas,169,34012,local
Electricity,69000,34012,local
Kerosene,22959,34012,local
Not Sated about Light,1118,34012,local
Others Type of Light,308,34012,local
Solar,1962,34012,local
Bio-Gas,169,34002,local
Electricity,69000,34002,local
Kerosene,22959,34002,local
Not Sated about Light,1118,34002,local
Others Type of Light,308,34002,local
Solar,1962,34002,local
Bio-Gas,169,34014,local
Electricity,69000,34014,local
Kerosene,22959,34014,local
Not Sated about Light,1118,34014,local
Others Type of Light,308,34014,local
Solar,1962,34014,local
Bio-Gas,169,34004,local
Electricity,69000,34004,local
Kerosene,22959,34004,local
Not Sated about Light,1118,34004,local
Others Type of Light,308,34004,local
Solar,1962,34004,local
Bio-Gas,169,34001,local
Electricity,69000,34001,local
Kerosene,22959,34001,local
Not Sated about Light,1118,34001,local
Others Type of Light,308,34001,local
Solar,1962,34001,local
Bio-Gas,169,34010,local
Electricity,69000,34010,local
Kerosene,22959,34010,local
Not Sated about Light,1118,34010,local
Others Type of Light,308,34010,local
Solar,1962,34010,local
Bio-Gas,169,34013,local
Electricity,69000,34013,local
Kerosene,22959,34013,local
Not Sated about Light,1118,34013,local
Others Type of Light,308,34013,local
Solar,1962,34013,local
Bio-Gas,169,34009,local
Electricity,69000,34009,local
Kerosene,22959,34009,local
Not Sated about Light,1118,34009,local
Others Type of Light,308,34009,local
Solar,1962,34009,local
Bio-Gas,277,63,district
Electricity,50747,63,district
Kerosene,66975,63,district
Not Sated about Light,1696,63,district
Others Type of Light,156,63,district
Solar,1213,63,district
Bio-Gas,277,15002,local
Electricity,50747,15002,local
Kerosene,66975,15002,local
Not Sated about Light,1696,15002,local
Others Type of Light,156,15002,local
Solar,1213,15002,local
Bio-Gas,277,15005,local
Electricity,50747,15005,local
Kerosene,66975,15005,local
Not Sated about Light,1696,15005,local
Others Type of Light,156,15005,local
Solar,1213,15005,local
Bio-Gas,277,15007,local
Electricity,50747,15007,local
Kerosene,66975,15007,local
Not Sated about Light,1696,15007,local
Others Type of Light,156,15007,local
Solar,1213,15007,local
Bio-Gas,277,15010,local
Electricity,50747,15010,local
Kerosene,66975,15010,local
Not Sated about Light,1696,15010,local
Others Type of Light,156,15010,local
Solar,1213,15010,local
Bio-Gas,277,15004,local
Electricity,50747,15004,local
Kerosene,66975,15004,local
Not Sated about Light,1696,15004,local
Others Type of Light,156,15004,local
Solar,1213,15004,local
Bio-Gas,277,15008,local
Electricity,50747,15008,local
Kerosene,66975,15008,local
Not Sated about Light,1696,15008,local
Others Type of Light,156,15008,local
Solar,1213,15008,local
Bio-Gas,277,15003,local
Electricity,50747,15003,local
Kerosene,66975,15003,local
Not Sated about Light,1696,15003,local
Others Type of Light,156,15003,local
Solar,1213,15003,local
Bio-Gas,277,15018,local
Electricity,50747,15018,local
Kerosene,66975,15018,local
Not Sated about Light,1696,15018,local
Others Type of Light,156,15018,local
Solar,1213,15018,local
Bio-Gas,277,15012,local
Electricity,50747,15012,local
Kerosene,66975,15012,local
Not Sated about Light,1696,15012,local
Others Type of Light,156,15012,local
Solar,1213,15012,local
Bio-Gas,277,15001,local
Electricity,50747,15001,local
Kerosene,66975,15001,local
Not Sated about Light,1696,15001,local
Others Type of Light,156,15001,local
Solar,1213,15001,local
Bio-Gas,277,15016,local
Electricity,50747,15016,local
Kerosene,66975,15016,local
Not Sated about Light,1696,15016,local
Others Type of Light,156,15016,local
Solar,1213,15016,local
Bio-Gas,277,15013,local
Electricity,50747,15013,local
Kerosene,66975,15013,local
Not Sated about Light,1696,15013,local
Others Type of Light,156,15013,local
Solar,1213,15013,local
Bio-Gas,277,15017,local
Electricity,50747,15017,local
Kerosene,66975,15017,local
Not Sated about Light,1696,15017,local
Others Type of Light,156,15017,local
Solar,1213,15017,local
Bio-Gas,277,15015,local
Electricity,50747,15015,local
Kerosene,66975,15015,local
Not Sated about Light,1696,15015,local
Others Type of Light,156,15015,local
Solar,1213,15015,local
Bio-Gas,277,15014,local
Electricity,50747,15014,local
Kerosene,66975,15014,local
Not Sated about Light,1696,15014,local
Others Type of Light,156,15014,local
Solar,1213,15014,local
Bio-Gas,277,15011,local
Electricity,50747,15011,local
Kerosene,66975,15011,local
Not Sated about Light,1696,15011,local
Others Type of Light,156,15011,local
Solar,1213,15011,local
Bio-Gas,277,15009,local
Electricity,50747,15009,local
Kerosene,66975,15009,local
Not Sated about Light,1696,15009,local
Others Type of Light,156,15009,local
Solar,1213,15009,local
Bio-Gas,277,15006,local
Electricity,50747,15006,local
Kerosene,66975,15006,local
Not Sated about Light,1696,15006,local
Others Type of Light,156,15006,local
Solar,1213,15006,local
Bio-Gas,201,57,district
Electricity,49667,57,district
Kerosene,53839,57,district
Not Sated about Light,1668,57,district
Others Type of Light,298,57,district
Solar,979,57,district
Bio-Gas,201,32002,local
Electricity,49667,32002,local
Kerosene,53839,32002,local
Not Sated about Light,1668,32002,local
Others Type of Light,298,32002,local
Solar,979,32002,local
Bio-Gas,201,32001,local
Electricity,49667,32001,local
Kerosene,53839,32001,local
Not Sated about Light,1668,32001,local
Others Type of Light,298,32001,local
Solar,979,32001,local
Bio-Gas,201,32005,local
Electricity,49667,32005,local
Kerosene,53839,32005,local
Not Sated about Light,1668,32005,local
Others Type of Light,298,32005,local
Solar,979,32005,local
Bio-Gas,201,32003,local
Electricity,49667,32003,local
Kerosene,53839,32003,local
Not Sated about Light,1668,32003,local
Others Type of Light,298,32003,local
Solar,979,32003,local
Bio-Gas,201,32010,local
Electricity,49667,32010,local
Kerosene,53839,32010,local
Not Sated about Light,1668,32010,local
Others Type of Light,298,32010,local
Solar,979,32010,local
Bio-Gas,201,32015,local
Electricity,49667,32015,local
Kerosene,53839,32015,local
Not Sated about Light,1668,32015,local
Others Type of Light,298,32015,local
Solar,979,32015,local
Bio-Gas,201,32011,local
Electricity,49667,32011,local
Kerosene,53839,32011,local
Not Sated about Light,1668,32011,local
Others Type of Light,298,32011,local
Solar,979,32011,local
Bio-Gas,201,32006,local
Electricity,49667,32006,local
Kerosene,53839,32006,local
Not Sated about Light,1668,32006,local
Others Type of Light,298,32006,local
Solar,979,32006,local
Bio-Gas,201,32016,local
Electricity,49667,32016,local
Kerosene,53839,32016,local
Not Sated about Light,1668,32016,local
Others Type of Light,298,32016,local
Solar,979,32016,local
Bio-Gas,201,32017,local
Electricity,49667,32017,local
Kerosene,53839,32017,local
Not Sated about Light,1668,32017,local
Others Type of Light,298,32017,local
Solar,979,32017,local
Bio-Gas,201,32018,local
Electricity,49667,32018,local
Kerosene,53839,32018,local
Not Sated about Light,1668,32018,local
Others Type of Light,298,32018,local
Solar,979,32018,local
Bio-Gas,201,32007,local
Electricity,49667,32007,local
Kerosene,53839,32007,local
Not Sated about Light,1668,32007,local
Others Type of Light,298,32007,local
Solar,979,32007,local
Bio-Gas,201,32014,local
Electricity,49667,32014,local
Kerosene,53839,32014,local
Not Sated about Light,1668,32014,local
Others Type of Light,298,32014,local
Solar,979,32014,local
Bio-Gas,201,32004,local
Electricity,49667,32004,local
Kerosene,53839,32004,local
Not Sated about Light,1668,32004,local
Others Type of Light,298,32004,local
Solar,979,32004,local
Bio-Gas,201,32009,local
Electricity,49667,32009,local
Kerosene,53839,32009,local
Not Sated about Light,1668,32009,local
Others Type of Light,298,32009,local
Solar,979,32009,local
Bio-Gas,201,32012,local
Electricity,49667,32012,local
Kerosene,53839,32012,local
Not Sated about Light,1668,32012,local
Others Type of Light,298,32012,local
Solar,979,32012,local
Bio-Gas,201,32013,local
Electricity,49667,32013,local
Kerosene,53839,32013,local
Not Sated about Light,1668,32013,local
Others Type of Light,298,32013,local
Solar,979,32013,local
Bio-Gas,201,32008,local
Electricity,49667,32008,local
Kerosene,53839,32008,local
Not Sated about Light,1668,32008,local
Others Type of Light,298,32008,local
Solar,979,32008,local
Bio-Gas,179,08,district
Electricity,74169,08,district
Kerosene,31934,08,district
Not Sated about Light,1166,08,district
Others Type of Light,226,08,district
Solar,926,08,district
Bio-Gas,179,33014,local
Electricity,74169,33014,local
Kerosene,31934,33014,local
Not Sated about Light,1166,33014,local
Others Type of Light,226,33014,local
Solar,926,33014,local
Bio-Gas,179,33016,local
Electricity,74169,33016,local
Kerosene,31934,33016,local
Not Sated about Light,1166,33016,local
Others Type of Light,226,33016,local
Solar,926,33016,local
Bio-Gas,179,33012,local
Electricity,74169,33012,local
Kerosene,31934,33012,local
Not Sated about Light,1166,33012,local
Others Type of Light,226,33012,local
Solar,926,33012,local
Bio-Gas,179,33007,local
Electricity,74169,33007,local
Kerosene,31934,33007,local
Not Sated about Light,1166,33007,local
Others Type of Light,226,33007,local
Solar,926,33007,local
Bio-Gas,179,33004,local
Electricity,74169,33004,local
Kerosene,31934,33004,local
Not Sated about Light,1166,33004,local
Others Type of Light,226,33004,local
Solar,926,33004,local
Bio-Gas,179,33010,local
Electricity,74169,33010,local
Kerosene,31934,33010,local
Not Sated about Light,1166,33010,local
Others Type of Light,226,33010,local
Solar,926,33010,local
Bio-Gas,179,33002,local
Electricity,74169,33002,local
Kerosene,31934,33002,local
Not Sated about Light,1166,33002,local
Others Type of Light,226,33002,local
Solar,926,33002,local
Bio-Gas,179,33005,local
Electricity,74169,33005,local
Kerosene,31934,33005,local
Not Sated about Light,1166,33005,local
Others Type of Light,226,33005,local
Solar,926,33005,local
Bio-Gas,179,33001,local
Electricity,74169,33001,local
Kerosene,31934,33001,local
Not Sated about Light,1166,33001,local
Others Type of Light,226,33001,local
Solar,926,33001,local
Bio-Gas,179,33013,local
Electricity,74169,33013,local
Kerosene,31934,33013,local
Not Sated about Light,1166,33013,local
Others Type of Light,226,33013,local
Solar,926,33013,local
Bio-Gas,179,33011,local
Electricity,74169,33011,local
Kerosene,31934,33011,local
Not Sated about Light,1166,33011,local
Others Type of Light,226,33011,local
Solar,926,33011,local
Bio-Gas,179,33009,local
Electricity,74169,33009,local
Kerosene,31934,33009,local
Not Sated about Light,1166,33009,local
Others Type of Light,226,33009,local
Solar,926,33009,local
Bio-Gas,179,33006,local
Electricity,74169,33006,local
Kerosene,31934,33006,local
Not Sated about Light,1166,33006,local
Others Type of Light,226,33006,local
Solar,926,33006,local
Bio-Gas,179,33003,local
Electricity,74169,33003,local
Kerosene,31934,33003,local
Not Sated about Light,1166,33003,local
Others Type of Light,226,33003,local
Solar,926,33003,local
Bio-Gas,179,33008,local
Electricity,74169,33008,local
Kerosene,31934,33008,local
Not Sated about Light,1166,33008,local
Others Type of Light,226,33008,local
Solar,926,33008,local
Bio-Gas,179,33015,local
Electricity,74169,33015,local
Kerosene,31934,33015,local
Not Sated about Light,1166,33015,local
Others Type of Light,226,33015,local
Solar,926,33015,local
Bio-Gas,407,19,district
Electricity,101226,19,district
Kerosene,32517,19,district
Not Sated about Light,2354,19,district
Others Type of Light,192,19,district
Solar,1529,19,district
Bio-Gas,407,17013,local
Electricity,101226,17013,local
Kerosene,32517,17013,local
Not Sated about Light,2354,17013,local
Others Type of Light,192,17013,local
Solar,1529,17013,local
Bio-Gas,407,17017,local
Electricity,101226,17017,local
Kerosene,32517,17017,local
Not Sated about Light,2354,17017,local
Others Type of Light,192,17017,local
Solar,1529,17017,local
Bio-Gas,407,17004,local
Electricity,101226,17004,local
Kerosene,32517,17004,local
Not Sated about Light,2354,17004,local
Others Type of Light,192,17004,local
Solar,1529,17004,local
Bio-Gas,407,17015,local
Electricity,101226,17015,local
Kerosene,32517,17015,local
Not Sated about Light,2354,17015,local
Others Type of Light,192,17015,local
Solar,1529,17015,local
Bio-Gas,407,17011,local
Electricity,101226,17011,local
Kerosene,32517,17011,local
Not Sated about Light,2354,17011,local
Others Type of Light,192,17011,local
Solar,1529,17011,local
Bio-Gas,407,17016,local
Electricity,101226,17016,local
Kerosene,32517,17016,local
Not Sated about Light,2354,17016,local
Others Type of Light,192,17016,local
Solar,1529,17016,local
Bio-Gas,407,17006,local
Electricity,101226,17006,local
Kerosene,32517,17006,local
Not Sated about Light,2354,17006,local
Others Type of Light,192,17006,local
Solar,1529,17006,local
Bio-Gas,407,17018,local
Electricity,101226,17018,local
Kerosene,32517,17018,local
Not Sated about Light,2354,17018,local
Others Type of Light,192,17018,local
Solar,1529,17018,local
Bio-Gas,407,17007,local
Electricity,101226,17007,local
Kerosene,32517,17007,local
Not Sated about Light,2354,17007,local
Others Type of Light,192,17007,local
Solar,1529,17007,local
Bio-Gas,407,17014,local
Electricity,101226,17014,local
Kerosene,32517,17014,local
Not Sated about Light,2354,17014,local
Others Type of Light,192,17014,local
Solar,1529,17014,local
Bio-Gas,407,17012,local
Electricity,101226,17012,local
Kerosene,32517,17012,local
Not Sated about Light,2354,17012,local
Others Type of Light,192,17012,local
Solar,1529,17012,local
Bio-Gas,407,17005,local
Electricity,101226,17005,local
Kerosene,32517,17005,local
Not Sated about Light,2354,17005,local
Others Type of Light,192,17005,local
Solar,1529,17005,local
Bio-Gas,407,17001,local
Electricity,101226,17001,local
Kerosene,32517,17001,local
Not Sated about Light,2354,17001,local
Others Type of Light,192,17001,local
Solar,1529,17001,local
Bio-Gas,407,17009,local
Electricity,101226,17009,local
