geo_code,geo_level,literacy,sex,total,geo_version
25001,local,Not Read/Write,Male,1153,2016
25001,local,Not Stated,Female,8,2016
25001,local,Not Stated,Male,8,2016
25001,local,Read Only,Female,133,2016
25001,local,Read Only,Male,117,2016
25003,local,Literate,Female,2341,2016
25003,local,Literate,Male,2937,2016
25003,local,Not Read/Write,Female,2117,2016
25003,local,Not Read/Write,Male,1036,2016
25003,local,Not Stated,Female,28,2016
25003,local,Not Stated,Male,10,2016
25003,local,Read Only,Female,234,2016
25003,local,Read Only,Male,241,2016
25006,local,Literate,Female,2814,2016
25006,local,Literate,Male,3383,2016
25006,local,Not Read/Write,Female,1577,2016
25006,local,Not Read/Write,Male,679,2016
25006,local,Not Stated,Female,2,2016
25006,local,Not Stated,Male,0,2016
25006,local,Read Only,Female,119,2016
25006,local,Read Only,Male,131,2016
25004,local,Literate,Female,103912,2016
25004,local,Literate,Male,126295,2016
25004,local,Not Read/Write,Female,24504,2016
25004,local,Not Read/Write,Male,8753,2016
25004,local,Not Stated,Female,54,2016
25004,local,Not Stated,Male,31,2016
25004,local,Read Only,Female,2514,2016
25004,local,Read Only,Male,1724,2016
10,district,Literate,Female,101474,2016
10,district,Literate,Male,125407,2016
10,district,Not Read/Write,Female,35458,2016
10,district,Not Read/Write,Male,11543,2016
10,district,Not Stated,Female,103,2016
10,district,Not Stated,Male,54,2016
10,district,Read Only,Female,2803,2016
10,district,Read Only,Male,2087,2016
26004,local,Literate,Female,26912,2016
26004,local,Literate,Male,32879,2016
26004,local,Not Read/Write,Female,9410,2016
26004,local,Not Read/Write,Male,2617,2016
26004,local,Not Stated,Female,19,2016
26004,local,Not Stated,Male,7,2016
26004,local,Read Only,Female,794,2016
26004,local,Read Only,Male,558,2016
26002,local,Literate,Female,17950,2016
26002,local,Literate,Male,21991,2016
26002,local,Not Read/Write,Female,8104,2016
26002,local,Not Read/Write,Male,2488,2016
26002,local,Not Stated,Female,38,2016
26002,local,Not Stated,Male,24,2016
26002,local,Read Only,Female,605,2016
26002,local,Read Only,Male,472,2016
26003,local,Literate,Female,28860,2016
26003,local,Literate,Male,36006,2016
26003,local,Not Read/Write,Female,7983,2016
26003,local,Not Read/Write,Male,3063,2016
26003,local,Not Stated,Female,21,2016
26003,local,Not Stated,Male,9,2016
26003,local,Read Only,Female,823,2016
26003,local,Read Only,Male,601,2016
26001,local,Literate,Female,27752,2016
26001,local,Literate,Male,34531,2016
26001,local,Not Read/Write,Female,9961,2016
26001,local,Not Read/Write,Male,3375,2016
26001,local,Not Stated,Female,25,2016
26001,local,Not Stated,Male,14,2016
