home ownership,total,geo_code,geo_level,geo_version
Institutional House,9,31001,local,2016
Other Type of House,40,31001,local,2016
Owned House,5572,31001,local,2016
Rental House,110,31001,local,2016
Institutional House,14,31005,local,2016
Other Type of House,19,31005,local,2016
Owned House,2950,31005,local,2016
Rental House,71,31005,local,2016
Institutional House,17,31002,local,2016
Other Type of House,79,31002,local,2016
Owned House,7255,31002,local,2016
Rental House,187,31002,local,2016
Institutional House,5,31008,local,2016
Other Type of House,118,31008,local,2016
Owned House,7386,31008,local,2016
Rental House,382,31008,local,2016
Institutional House,25,31009,local,2016
Other Type of House,23,31009,local,2016
Owned House,4472,31009,local,2016
Rental House,37,31009,local,2016
Institutional House,14,31007,local,2016
Other Type of House,160,31007,local,2016
Owned House,4636,31007,local,2016
Rental House,193,31007,local,2016
Institutional House,712,31004,local,2016
Other Type of House,596,31004,local,2016
Owned House,26121,31004,local,2016
Rental House,6841,31004,local,2016
Institutional House,283,36,district,2016
Other Type of House,548,36,district,2016
Owned House,73363,36,district,2016
Rental House,6457,36,district,2016
Institutional House,48,24001,local,2016
Other Type of House,66,24001,local,2016
Owned House,8942,24001,local,2016
Rental House,3050,24001,local,2016
Institutional House,26,24011,local,2016
Other Type of House,100,24011,local,2016
Owned House,7989,24011,local,2016
Rental House,429,24011,local,2016
Institutional House,11,24007,local,2016
Other Type of House,9,24007,local,2016
Owned House,2865,24007,local,2016
Rental House,25,24007,local,2016
Institutional House,44,24010,local,2016
Other Type of House,66,24010,local,2016
Owned House,9265,24010,local,2016
Rental House,821,24010,local,2016
Institutional House,7,24008,local,2016
Other Type of House,47,24008,local,2016
Owned House,7073,24008,local,2016
Rental House,201,24008,local,2016
Institutional House,3,24002,local,2016
Other Type of House,26,24002,local,2016
Owned House,3504,24002,local,2016
Rental House,68,24002,local,2016
Institutional House,7,24012,local,2016
Other Type of House,32,24012,local,2016
Owned House,5673,24012,local,2016
Rental House,184,24012,local,2016
Institutional House,82,24005,local,2016
Other Type of House,55,24005,local,2016
Owned House,5758,24005,local,2016
Rental House,1166,24005,local,2016
Institutional House,8,24006,local,2016
Other Type of House,13,24006,local,2016
Owned House,2312,24006,local,2016
Rental House,39,24006,local,2016
Institutional House,23,24009,local,2016
Other Type of House,35,24009,local,2016
Owned House,6275,24009,local,2016
Rental House,251,24009,local,2016
Institutional House,7,24004,local,2016
Other Type of House,24,24004,local,2016
Owned House,4576,24004,local,2016
Rental House,57,24004,local,2016
Institutional House,11,24013,local,2016
Other Type of House,23,24013,local,2016
Owned House,4798,24013,local,2016
Rental House,44,24013,local,2016
Institutional House,6,24003,local,2016
Other Type of House,52,24003,local,2016
Owned House,4333,24003,local,2016
Rental House,122,24003,local,2016
Institutional House,4675,35,district,2016
Other Type of House,3597,35,district,2016
Owned House,171828,35,district,2016
Rental House,255444,35,district,2016
Institutional House,3052,27006,local,2016
Other Type of House,2294,27006,local,2016
Owned House,82336,27006,local,2016
Rental House,166610,27006,local,2016
Institutional House,115,27002,local,2016
Other Type of House,115,27002,local,2016
Owned House,12416,27002,local,2016
Rental House,7886,27002,local,2016
Institutional House,55,27005,local,2016
Other Type of House,99,27005,local,2016
Owned House,8796,27005,local,2016
Rental House,5379,27005,local,2016
Institutional House,288,27001,local,2016
Other Type of House,285,27001,local,2016
Owned House,12596,27001,local,2016
Rental House,13316,27001,local,2016
Institutional House,484,27004,local,2016
Other Type of House,272,27004,local,2016
Owned House,9255,27004,local,2016
Rental House,17095,27004,local,2016
Institutional House,143,27003,local,2016
Other Type of House,31,27003,local,2016
Owned House,4754,27003,local,2016
Rental House,560,27003,local,2016
Institutional House,68,27008,local,2016
Other Type of House,96,27008,local,2016
Owned House,8977,27008,local,2016
Rental House,7605,27008,local,2016
Institutional House,14,27009,local,2016
Other Type of House,29,27009,local,2016
Owned House,5001,27009,local,2016
Rental House,362,27009,local,2016
Institutional House,185,27007,local,2016
Other Type of House,82,27007,local,2016
Owned House,8165,27007,local,2016
Rental House,11009,27007,local,2016
Institutional House,71,27010,local,2016
Other Type of House,126,27010,local,2016
Owned House,10140,27010,local,2016
Rental House,9821,27010,local,2016
Institutional House,200,27011,local,2016
Other Type of House,168,27011,local,2016
Owned House,9392,27011,local,2016
Rental House,15801,27011,local,2016
Institutional House,98,55,district,2016
Other Type of House,277,55,district,2016
Owned House,41735,55,district,2016
Rental House,1773,55,district,2016
Institutional House,5,21008,local,2016
Other Type of House,106,21008,local,2016
Owned House,3616,21008,local,2016
Rental House,142,21008,local,2016
Institutional House,37,21005,local,2016
Other Type of House,40,21005,local,2016
Owned House,9018,21005,local,2016
Rental House,1004,21005,local,2016
Institutional House,11,21001,local,2016
Other Type of House,28,21001,local,2016
Owned House,4916,21001,local,2016
Rental House,38,21001,local,2016
Institutional House,9,21002,local,2016
Other Type of House,39,21002,local,2016
Owned House,4263,21002,local,2016
Rental House,135,21002,local,2016
Institutional House,1,21007,local,2016
Other Type of House,7,21007,local,2016
Owned House,4005,21007,local,2016
Rental House,37,21007,local,2016
Institutional House,3,21004,local,2016
Other Type of House,23,21004,local,2016
Owned House,4780,21004,local,2016
Rental House,122,21004,local,2016
Institutional House,7,21003,local,2016
Other Type of House,14,21003,local,2016
Owned House,5277,21003,local,2016
Rental House,74,21003,local,2016
Institutional House,25,21006,local,2016
Other Type of House,20,21006,local,2016
Owned House,5860,21006,local,2016
Rental House,221,21006,local,2016
Institutional House,394,48,district,2016
Other Type of House,624,48,district,2016
Owned House,55981,48,district,2016
Rental House,2195,48,district,2016
Institutional House,6,28009,local,2016
Other Type of House,103,28009,local,2016
Owned House,4531,28009,local,2016
Rental House,36,28009,local,2016
Institutional House,337,28002,local,2016
Other Type of House,118,28002,local,2016
Owned House,10565,28002,local,2016
Rental House,1485,28002,local,2016
Institutional House,4,28008,local,2016
Other Type of House,48,28008,local,2016
Owned House,3235,28008,local,2016
Rental House,34,28008,local,2016
Institutional House,2,28006,local,2016
Other Type of House,87,28006,local,2016
Owned House,3469,28006,local,2016
Rental House,71,28006,local,2016
Institutional House,6,28011,local,2016
Other Type of House,61,28011,local,2016
Owned House,3453,28011,local,2016
Rental House,62,28011,local,2016
Institutional House,2,28012,local,2016
Other Type of House,19,28012,local,2016
Owned House,3457,28012,local,2016
Rental House,33,28012,local,2016
Institutional House,8,28003,local,2016
Other Type of House,26,28003,local,2016
Owned House,4351,28003,local,2016
Rental House,66,28003,local,2016
Institutional House,2,28005,local,2016
Other Type of House,40,28005,local,2016
Owned House,3262,28005,local,2016
Rental House,36,28005,local,2016
